EpochTime,3.feed_1.PM25B_UG_M3..3.feed_1.PM25T_UG_M3
1477891800,6
1477895400,4
1477899000,3
1477902600,2
1477906200,3
1477909800,3
1477913400,1
1477917000,3
1477920600,4
1477924200,3
1477927800,1
1477931400,0
1477935000,4
1477938600,6
1477942200,4
1477945800,4
1477949400,2
1477953000,0
1477956600,-2
1477960200,6
1477963800,20
1477967400,16
1477971000,8
1477974600,6
1477978200,4
1477981800,5
1477985400,5
1477989000,6
1477992600,3
1477996200,6
1477999800,16
1478003400,8
1478007000,14
1478010600,16
1478014200,23
1478017800,18
1478021400,11
1478025000,11
1478028600,13
1478032200,8
1478035800,7
1478039400,7
1478043000,12
1478046600,11
1478050200,12
1478053800,15
1478057400,12
1478061000,13
1478064600,13
1478068200,17
1478071800,21
1478075400,18
1478079000,20
1478082600,16
1478086200,19
1478089800,20
1478093400,24
1478097000,26
1478100600,17
1478104200,22
1478107800,24
1478111400,10
1478115000,11
1478118600,8
1478122200,7
1478125800,7
1478129400,6
1478133000,20
1478136600,13
1478140200,15
1478143800,13
1478147400,15
1478151000,17
1478154600,18
1478158200,12
1478161800,11
1478165400,10
1478169000,10
1478172600,7
1478176200,7
1478179800,5
1478183400,12
1478187000,9
1478190600,5
1478194200,1
1478197800,-1
1478201400,0
1478205000,0
1478215800,0
1478219400,0
1478223000,0
1478226600,0
1478230200,0
1478233800,0
1478237400,2
1478241000,1
1478244600,0
1478248200,7
1478251800,5
1478255400,2
1478259000,1
1478262600,1
1478266200,0
1478269800,0
1478273400,0
1478277000,3
1478280600,4
1478284200,9
1478287800,9
1478291400,4
1478295000,1
1478298600,0
1478302200,-2
1478305800,7
1478309400,23
1478313000,14
1478316600,9
1478320200,14
1478323800,12
1478327400,10
1478331000,9
1478334600,12
1478338200,10
1478341800,12
1478345400,9
1478349000,12
1478352600,12
1478356200,31
1478359800,21
1478363400,11
1478367000,5
1478370600,0
1478374200,1
1478377800,0
1478381400,0
1478385000,5
1478388600,5
1478392200,4
1478395800,4
1478399400,9
1478403000,11
1478406600,16
1478410200,12
1478413800,12
1478417400,9
1478421000,9
1478424600,8
1478428200,6
1478431800,9
1478435400,10
1478439000,12
1478442600,15
1478446200,16
1478449800,23
1478453400,15
1478457000,4
1478460600,2
1478464200,0
1478467800,1
1478471400,2
1478475000,6
1478478600,4
1478482200,5
1478485800,8
1478489400,13
1478493000,9
1478496600,9
1478500200,15
1478503800,13
1478507400,12
1478511000,10
1478514600,9
1478518200,6
1478521800,19
1478525400,18
1478529000,27
1478532600,20
1478536200,17
1478539800,16
1478543400,6
1478547000,4
1478550600,2
1478554200,3
1478557800,0
1478561400,0
1478565000,3
1478568600,9
1478572200,11
1478575800,10
1478579400,10
1478583000,7
1478586600,9
1478590200,11
1478593800,9
1478597400,3
1478601000,8
1478604600,13
1478608200,14
1478611800,25
1478615400,27
1478619000,16
1478622600,20
1478626200,13
1478629800,21
1478633400,18
1478637000,16
1478640600,19
1478644200,23
1478647800,22
1478651400,21
1478655000,28
1478658600,32
1478662200,25
1478665800,34
1478669400,27
1478673000,21
1478676600,17
1478680200,13
1478683800,7
1478687400,1
1478691000,3
1478694600,4
1478698200,4
1478701800,2
1478705400,1
1478709000,1
1478712600,0
1478716200,1
1478719800,1
1478723400,-1
1478727000,-2
1478730600,-1
1478734200,-1
1478737800,0
1478741400,2
1478745000,4
1478748600,6
1478752200,4
1478755800,3
1478759400,5
1478763000,5
1478766600,4
1478770200,9
1478773800,12
1478777400,10
1478781000,12
1478784600,9
1478788200,9
1478791800,14
1478795400,10
1478799000,5
1478802600,1
1478806200,1
1478809800,1
1478813400,1
1478817000,4
1478820600,3
1478824200,2
1478827800,2
1478831400,1
1478835000,2
1478838600,2
1478842200,1
1478845800,2
1478849400,3
1478853000,3
1478856600,6
1478860200,3
1478863800,2
1478867400,8
1478871000,9
1478874600,7
1478878200,3
1478881800,0
1478885400,0
1478899800,-2
1478903400,-1
1478907000,2
1478910600,3
1478914200,3
1478917800,5
1478921400,13
1478925000,9
1478928600,5
1478932200,3
1478935800,7
1478939400,7
1478943000,3
1478946600,17
1478950200,9
1478953800,5
1478957400,8
1478961000,15
1478964600,7
1478968200,5
1478971800,7
1478975400,5
1478979000,2
1478982600,5
1478986200,7
1478989800,5
1478993400,3
1478997000,5
1479000600,3
1479004200,9
1479007800,7
1479011400,20
1479015000,20
1479018600,17
1479022200,21
1479025800,16
1479029400,18
1479033000,15
1479036600,12
1479040200,12
1479043800,11
1479047400,9
1479051000,11
1479054600,13
1479058200,7
1479061800,3
1479065400,2
1479069000,1
1479072600,1
1479076200,3
1479079800,5
1479083400,6
1479087000,9
1479090600,13
1479094200,15
1479097800,15
1479101400,10
1479105000,8
1479108600,12
1479112200,15
1479115800,16
1479119400,17
1479123000,12
1479126600,23
1479130200,24
1479133800,25
1479137400,26
1479141000,15
1479144600,9
1479148200,6
1479151800,4
1479155400,2
1479159000,1
1479162600,8
1479166200,8
1479169800,7
1479173400,8
1479177000,11
1479180600,14
1479184200,12
1479187800,12
1479191400,14
1479195000,16
1479198600,13
1479202200,11
1479205800,14
1479209400,14
1479213000,14
1479216600,18
1479220200,33
1479223800,30
1479227400,17
1479231000,14
1479234600,12
1479238200,9
1479241800,10
1479245400,10
1479249000,12
1479252600,11
1479256200,16
1479259800,16
1479263400,15
1479267000,19
1479270600,21
1479274200,16
1479277800,17
1479281400,18
1479285000,20
1479288600,23
1479292200,21
1479295800,18
1479299400,18
1479303000,18
1479306600,28
1479310200,22
1479313800,21
1479317400,20
1479321000,12
1479324600,16
1479328200,12
1479331800,14
1479335400,13
1479339000,16
1479342600,18
1479346200,19
1479349800,21
1479353400,19
1479357000,16
1479360600,22
1479364200,16
1479367800,27
1479371400,19
1479375000,18
1479378600,17
1479382200,18
1479385800,23
1479389400,23
1479393000,22
1479396600,34
1479400200,48
1479403800,47
1479407400,24
1479411000,19
1479414600,13
1479418200,13
1479421800,15
1479425400,19
1479429000,17
1479432600,19
1479436200,22
1479439800,24
1479443400,26
1479447000,22
1479450600,23
1479454200,26
1479457800,27
1479461400,23
1479465000,24
1479468600,22
1479472200,25
1479475800,34
1479486600,25
1479490200,14
1479493800,14
1479497400,9
1479501000,12
1479504600,10
1479508200,12
1479511800,14
1479515400,15
1479519000,12
1479522600,20
1479526200,36
1479529800,55
1479533400,33
1479537000,35
1479540600,30
1479544200,17
1479547800,9
1479551400,10
1479555000,8
1479558600,6
1479562200,10
1479565800,7
1479569400,0
1479583800,0
1479587400,2
1479591000,2
1479594600,1
1479598200,1
1479601800,1
1479605400,0
1479609000,0
1479612600,0
1479616200,0
1479619800,3
1479623400,3
1479627000,2
1479630600,3
1479634200,3
1479637800,2
1479641400,2
1479645000,2
1479648600,4
1479652200,7
1479655800,4
1479659400,2
1479663000,2
1479666600,1
1479670200,2
1479673800,2
1479677400,0
1479681000,2
1479684600,3
1479688200,1
1479691800,0
1479695400,3
1479699000,3
1479702600,2
1479706200,2
1479709800,2
1479713400,4
1479717000,3
1479720600,7
1479724200,2
1479727800,0
1479731400,0
1479735000,0
1479738600,2
1479742200,1
1479745800,2
1479749400,3
1479753000,3
1479756600,2
1479760200,4
1479763800,3
1479767400,1
1479771000,1
1479774600,2
1479778200,5
1479781800,7
1479785400,4
1479789000,5
1479792600,5
1479796200,11
1479799800,8
1479803400,8
1479807000,5
1479810600,8
1479814200,8
1479817800,12
1479821400,11
1479825000,10
1479828600,6
1479832200,1
1479835800,15
1479839400,2
1479843000,4
1479846600,5
1479850200,4
1479853800,3
1479857400,7
1479861000,5
1479864600,7
1479868200,10
1479871800,12
1479875400,9
1479879000,11
1479882600,14
1479886200,14
1479889800,14
1479893400,14
1479897000,13
1479900600,15
1479904200,16
1479907800,15
1479911400,38
1479915000,23
1479918600,22
1479922200,10
1479925800,12
1479929400,7
1479933000,10
1479936600,9
1479940200,10
1479943800,9
1479947400,10
1479951000,12
1479954600,10
1479958200,10
1479961800,13
1479965400,15
1479969000,15
1479972600,12
1479976200,15
1479979800,17
1479983400,16
1479987000,17
1479990600,21
1479994200,26
1479997800,19
1480001400,16
1480005000,18
1480008600,14
1480012200,11
1480015800,8
1480019400,5
1480023000,7
1480026600,5
1480030200,3
1480033800,5
1480037400,3
1480041000,1
1480044600,1
1480048200,4
1480051800,4
1480055400,2
1480059000,3
1480062600,1
1480066200,3
1480069800,7
1480073400,4
1480077000,5
1480080600,3
1480084200,1
1480087800,5
1480091400,6
1480095000,5
1480098600,4
1480102200,6
1480105800,3
1480109400,5
1480113000,5
1480116600,4
1480120200,4
1480123800,4
1480127400,4
1480131000,3
1480134600,4
1480138200,4
1480141800,4
1480145400,4
1480149000,3
1480152600,5
1480156200,8
1480159800,5
1480163400,10
1480167000,11
1480170600,10
1480174200,12
1480177800,13
1480181400,12
1480185000,14
1480188600,9
1480192200,3
1480195800,1
1480199400,1
1480203000,1
1480206600,1
1480210200,4
1480213800,6
1480217400,5
1480221000,4
1480224600,3
1480228200,4
1480231800,2
1480235400,1
1480239000,2
1480242600,3
1480246200,6
1480249800,8
1480253400,7
1480257000,10
1480260600,11
1480264200,17
1480267800,7
1480271400,7
1480275000,10
1480278600,9
1480282200,8
1480285800,10
1480289400,10
1480293000,10
1480296600,17
1480300200,11
1480303800,25
1480307400,15
1480311000,11
1480314600,12
1480318200,18
1480321800,23
1480325400,7
1480329000,11
1480332600,13
1480336200,21
1480339800,20
1480343400,20
1480347000,33
1480350600,32
1480354200,31
1480357800,35
1480361400,21
1480365000,21
1480368600,25
1480372200,12
1480375800,17
1480379400,12
1480383000,10
1480386600,16
1480390200,11
1480393800,11
1480397400,7
1480401000,5
1480404600,5
1480408200,7
1480411800,7
1480415400,8
1480419000,8
1480422600,12
1480426200,15
1480429800,17
1480455000,4
1480458600,5
1480462200,6
1480465800,5
1480469400,7
1480473000,9
1480476600,7
1480480200,15
1480483800,13
1480487400,13
1480491000,20
1480494600,17
1480498200,14
1480501800,17
1480505400,13
1480509000,17
1480512600,17
1480516200,0
1480519800,0
1480527000,6
1480530600,8
1480534200,5
1480537800,4
1480541400,6
1480545000,5
1480548600,4
1480552200,4
1480555800,2
1480559400,3
1480563000,3
1480566600,2
1480570200,6
1480573800,6
1480577400,3
1480581000,0
1480584600,-1
1480588200,1
1480591800,2
1480595400,5
1480599000,5
1480602600,3
1480606200,3
1480609800,1
1480613400,1
1480617000,5
1480620600,2
1480624200,2
1480627800,2
1480631400,0
1480635000,1
1480638600,5
1480642200,4
1480645800,2
1480649400,1
1480653000,3
1480656600,4
1480660200,3
1480663800,4
1480667400,4
1480671000,3
1480674600,4
1480678200,2
1480681800,4
1480685400,5
1480689000,4
1480692600,1
1480696200,0
1480699800,-1
1480703400,0
1480707000,2
1480710600,1
1480714200,3
1480717800,4
1480721400,2
1480725000,3
1480728600,2
1480732200,1
1480735800,6
1480739400,7
1480743000,6
1480746600,2
1480750200,1
1480753800,2
1480757400,3
1480761000,5
1480764600,4
1480768200,2
1480771800,1
1480775400,6
1480779000,5
1480782600,3
1480786200,6
1480789800,9
1480793400,7
1480797000,6
1480800600,5
1480804200,3
1480807800,4
1480811400,5
1480815000,5
1480818600,3
1480822200,4
1480825800,4
1480829400,4
1480833000,3
1480836600,3
1480840200,7
1480843800,8
1480847400,5
1480851000,4
1480854600,7
1480858200,9
1480861800,9
1480865400,9
1480869000,17
1480872600,15
1480876200,8
1480879800,4
1480883400,3
1480887000,5
1480890600,5
1480894200,3
1480897800,2
1480901400,3
1480905000,4
1480908600,6
1480912200,7
1480915800,7
1480919400,7
1480923000,4
1480926600,2
1480930200,1
1480933800,4
1480937400,3
1480941000,0
1480944600,3
1480948200,3
1480951800,3
1480955400,5
1480959000,5
1480962600,4
1480966200,3
1480969800,3
1480973400,5
1480977000,4
1480980600,5
1480984200,3
1480987800,7
1480991400,7
1480995000,4
1480998600,11
1481002200,15
1481005800,9
1481009400,6
1481013000,5
1481016600,11
1481020200,10
1481023800,6
1481027400,9
1481031000,8
1481034600,6
1481038200,5
1481041800,4
1481045400,3
1481049000,1
1481052600,-2
1481056200,-2
1481059800,0
1481063400,2
1481067000,3
1481070600,4
1481074200,1
1481077800,1
1481081400,4
1481085000,3
1481088600,3
1481092200,6
1481095800,9
1481099400,11
1481103000,11
1481106600,16
1481110200,16
1481113800,11
1481117400,13
1481121000,16
1481124600,14
1481128200,15
1481131800,13
1481135400,9
1481139000,6
1481142600,4
1481146200,3
1481149800,3
1481153400,2
1481157000,0
1481160600,1
1481164200,3
1481167800,1
1481171400,0
1481175000,4
1481178600,6
1481182200,7
1481185800,5
1481189400,5
1481193000,5
1481196600,6
1481200200,5
1481203800,3
1481207400,5
1481211000,5
1481214600,5
1481218200,5
1481221800,8
1481225400,8
1481229000,9
1481232600,5
1481236200,4
1481239800,4
1481243400,3
1481247000,3
1481250600,2
1481254200,3
1481257800,5
1481261400,6
1481265000,8
1481268600,7
1481272200,7
1481275800,5
1481279400,5
1481283000,4
1481286600,3
1481290200,13
1481293800,10
1481297400,7
1481301000,9
1481304600,7
1481308200,5
1481311800,5
1481315400,4
1481319000,7
1481322600,8
1481326200,5
1481329800,6
1481333400,6
1481337000,7
1481340600,7
1481344200,7
1481347800,10
1481351400,7
1481355000,13
1481358600,8
1481362200,4
1481365800,4
1481369400,8
1481373000,6
1481376600,7
1481380200,10
1481383800,7
1481387400,6
1481391000,5
1481394600,4
1481398200,9
1481401800,4
1481405400,1
1481409000,9
1481412600,9
1481416200,6
1481419800,10
1481423400,10
1481427000,9
1481430600,10
1481434200,10
1481437800,10
1481441400,14
1481445000,9
1481448600,9
1481452200,8
1481455800,8
1481459400,7
1481463000,6
1481466600,19
1481470200,16
1481473800,6
1481477400,8
1481481000,8
1481484600,7
1481488200,9
1481491800,7
1481495400,8
1481499000,8
1481502600,11
1481506200,8
1481509800,7
1481513400,7
1481517000,8
1481520600,8
1481524200,7
1481527800,7
1481531400,9
1481535000,5
1481538600,4
1481542200,3
1481545800,4
1481549400,5
1481553000,4
1481556600,3
1481560200,4
1481563800,3
1481567400,2
1481571000,3
1481574600,5
1481578200,6
1481581800,9
1481585400,7
1481589000,6
1481592600,5
1481596200,8
1481599800,11
1481603400,11
1481607000,15
1481610600,16
1481614200,13
1481617800,14
1481621400,15
1481625000,18
1481628600,18
1481632200,19
1481635800,21
1481639400,21
1481643000,21
1481646600,23
1481650200,19
1481653800,19
1481657400,20
1481661000,24
1481664600,15
1481668200,13
1481671800,15
1481675400,13
1481679000,12
1481682600,13
1481686200,10
1481689800,7
1481693400,15
1481697000,14
1481700600,18
1481704200,15
1481707800,18
1481711400,14
1481715000,14
1481718600,15
1481722200,12
1481725800,13
1481729400,12
1481733000,9
1481736600,14
1481740200,14
1481743800,8
1481747400,4
1481751000,5
1481754600,5
1481758200,8
1481761800,4
1481765400,2
1481769000,6
1481772600,0
1481776200,14
1481779800,15
1481783400,13
1481787000,8
1481790600,3
1481794200,1
1481797800,0
1481801400,2
1481805000,4
1481808600,7
1481812200,6
1481815800,6
1481819400,5
1481823000,5
1481826600,6
1481830200,7
1481833800,4
1481837400,4
1481841000,3
1481844600,5
1481848200,9
1481851800,9
1481855400,8
1481859000,7
1481862600,8
1481866200,12
1481869800,9
1481873400,9
1481877000,9
1481880600,9
1481884200,9
1481887800,10
1481891400,14
1481895000,12
1481898600,14
1481902200,13
