EpochTime,3.feed_23.CO_PPM,3.feed_23.PM10_UG_M3
1477891800,0.2,7.0
1477895400,0.2,8.0
1477899000,0.2,5.0
1477902600,0.2,3.0
1477906200,0.2,5.0
1477909800,0.2,7.0
1477913400,0.3,7.0
1477917000,0.4,12.0
1477920600,0.4,11.0
1477924200,0.3,8.0
1477927800,0.3,5.0
1477931400,0.2,2.0
1477935000,,4.0
1477938600,0.1,7.0
1477942200,0.1,6.0
1477945800,0.1,10.0
1477949400,0.1,6.0
1477953000,0.2,7.0
1477956600,0.2,8.0
1477960200,0.3,14.0
1477963800,0.3,11.0
1477967400,0.3,13.0
1477971000,0.4,12.0
1477974600,0.4,15.0
1477978200,0.3,12.0
1477981800,0.3,13.0
1477985400,0.3,12.0
1477989000,0.3,11.0
1477992600,0.3,12.0
1477996200,0.4,14.0
1477999800,0.6,20.0
1478003400,0.7,29.0
1478007000,0.7,30.0
1478010600,0.6,38.0
1478014200,0.6,39.0
1478017800,0.7,51.0
1478021400,0.6,57.0
1478025000,0.3,45.0
1478028600,0.2,36.0
1478032200,0.2,35.0
1478035800,0.2,30.0
1478039400,0.2,26.0
1478043000,0.2,27.0
1478046600,0.2,24.0
1478050200,0.3,32.0
1478053800,0.8,41.0
1478057400,0.6,32.0
1478061000,0.6,33.0
1478064600,0.6,30.0
1478068200,0.6,29.0
1478071800,0.5,30.0
1478075400,0.5,33.0
1478079000,0.7,51.0
1478082600,1.0,117.0
1478086200,1.1,84.0
1478089800,1.5,79.0
1478093400,1.5,104.0
1478097000,0.7,52.0
1478100600,0.3,31.0
1478104200,0.3,28.0
1478107800,0.2,26.0
1478111400,0.2,31.0
1478115000,0.2,27.0
1478118600,0.3,31.0
1478122200,0.3,27.0
1478125800,0.2,22.0
1478129400,0.2,27.0
1478133000,0.2,22.0
1478136600,0.2,24.0
1478140200,0.3,31.0
1478143800,0.5,37.0
1478147400,0.5,31.0
1478151000,0.3,22.0
1478154600,0.1,19.0
1478158200,0.1,18.0
1478161800,0.1,21.0
1478165400,0.1,20.0
1478169000,0.1,20.0
1478172600,0.1,23.0
1478176200,0.1,17.0
1478179800,0.1,
1478183400,0.1,
1478187000,0.1,16.0
1478190600,0.1,11.0
1478194200,0.1,8.0
1478197800,0.2,1.0
1478201400,0.2,0.0
1478205000,0.2,4.0
1478208600,0.2,3.0
1478212200,0.2,6.0
1478215800,0.2,9.0
1478219400,0.2,10.0
1478223000,0.1,7.0
1478226600,0.1,9.0
1478230200,0.1,10.0
1478233800,0.1,6.0
1478237400,0.1,5.0
