EpochTime,3.feed_26.OZONE_PPM,3.feed_26.PM25B_UG_M3,3.feed_26.PM10B_UG_M3,3.feed_26.SONICWS_MPH,3.feed_26.SONICWD_DEG,3.feed_26.SIGTHETA_DEG
1477891800,0.026000000000000002,8.0,13.0,4.5,332.0,19.4
1477895400,0.025,8.0,7.0,5.4,333.0,19.4
1477899000,0.023,8.0,2.0,4.8,359.0,29.4
1477902600,0.024,7.0,4.0,3.2,343.0,30.3
1477906200,0.026000000000000002,6.0,5.0,3.0,25.0,30.0
1477909800,0.013000000000000001,4.0,6.0,1.9,350.0,33.5
1477913400,0.009000000000000001,2.0,10.0,1.6,8.0,28.9
1477917000,0.006,7.0,12.0,2.0,343.0,27.9
1477920600,0.013999999999999999,7.0,9.0,2.5,27.0,44.5
1477924200,,4.0,7.0,3.2,32.0,42.3
1477927800,0.027000000000000003,1.0,5.0,3.5,44.0,52.5
1477931400,0.032,0.0,5.0,4.2,33.0,43.1
1477935000,0.031,2.0,4.0,3.7,45.0,46.1
1477938600,0.032,2.0,2.0,4.0,70.0,47.0
1477942200,0.036000000000000004,1.0,2.0,2.9,70.0,54.9
1477945800,0.035,2.0,5.0,2.1,100.0,65.3
1477949400,0.034,1.0,2.0,3.3,38.0,21.8
1477953000,0.027000000000000003,1.0,0.0,2.7,51.0,19.4
1477956600,0.012,11.0,8.0,2.1,16.0,33.5
1477960200,0.005,14.0,17.0,1.9,8.0,18.1
1477963800,0.002,11.0,18.0,2.0,20.0,19.7
1477967400,0.001,12.0,15.0,2.2,19.0,23.1
1477971000,0.0,11.0,13.0,2.5,17.0,26.7
1477974600,0.0,16.0,19.0,2.0,356.0,50.3
1477978200,0.0,11.0,18.0,2.2,1.0,19.4
1477981800,0.001,10.0,14.0,2.3,2.0,17.7
1477985400,0.0,10.0,17.0,2.2,15.0,21.1
1477989000,0.0,8.0,14.0,2.2,11.0,21.6
1477992600,0.0,9.0,17.0,1.9,4.0,24.5
1477996200,0.001,6.0,17.0,2.0,3.0,24.3
1477999800,0.001,7.0,16.0,1.9,8.0,25.7
1478003400,0.001,8.0,17.0,1.8,355.0,23.7
1478007000,0.002,8.0,21.0,2.3,4.0,24.0
1478010600,0.004,13.0,22.0,2.7,358.0,22.5
1478014200,0.006,10.0,32.0,2.8,336.0,16.6
1478017800,0.006,17.0,63.0,2.1,330.0,24.5
1478021400,0.009000000000000001,19.0,54.0,2.1,320.0,35.8
1478025000,0.031,18.0,37.0,3.6,184.0,33.8
1478028600,0.042,17.0,23.0,5.1,141.0,16.4
1478032200,0.048,13.0,29.0,6.3,204.0,22.1
1478035800,0.05,16.0,28.0,6.3,186.0,17.7
1478039400,0.040999999999999995,14.0,28.0,5.6,167.0,14.1
1478043000,0.040999999999999995,15.0,30.0,4.5,176.0,16.4
1478046600,0.033,18.0,26.0,2.5,163.0,25.5
1478050200,0.013000000000000001,14.0,28.0,1.5,55.0,66.3
1478053800,0.004,17.0,29.0,1.0,43.0,64.6
1478057400,0.001,16.0,18.0,1.4,21.0,39.7
1478061000,0.001,17.0,26.0,0.9,24.0,72.1
1478064600,0.001,22.0,20.0,1.5,28.0,28.9
1478068200,0.001,17.0,26.0,0.5,55.0,80.2
1478071800,0.001,17.0,28.0,0.6,168.0,51.8
1478075400,0.0,19.0,27.0,0.5,14.0,50.4
1478079000,0.001,19.0,23.0,0.6,68.0,60.0
1478082600,0.001,16.0,28.0,0.5,198.0,42.7
1478086200,0.001,25.0,42.0,1.0,175.0,39.9
1478089800,0.001,28.0,37.0,0.9,89.0,63.2
1478093400,0.001,31.0,74.0,0.7,40.0,67.7
1478097000,0.004,36.0,71.0,2.6,243.0,43.7
1478100600,0.027000000000000003,23.0,42.0,5.0,232.0,20.2
1478104200,0.042,20.0,26.0,5.4,223.0,19.3
1478107800,0.055999999999999994,15.0,29.0,7.9,232.0,22.3
1478111400,0.06,17.0,27.0,9.7,228.0,17.9
1478115000,0.059000000000000004,6.0,25.0,8.5,238.0,20.8
1478118600,0.06,15.0,23.0,7.1,233.0,19.4
1478122200,0.052000000000000005,14.0,22.0,6.2,232.0,17.6
1478125800,0.04,12.0,36.0,3.6,220.0,16.8
1478129400,0.026000000000000002,19.0,29.0,2.6,213.0,14.4
1478133000,0.026000000000000002,17.0,28.0,1.7,190.0,27.2
1478136600,0.015,20.0,32.0,2.3,143.0,31.4
1478140200,0.015,16.0,27.0,1.8,63.0,55.5
1478143800,0.004,19.0,29.0,0.9,43.0,60.8
1478147400,0.001,20.0,28.0,0.9,182.0,64.4
1478151000,0.004,19.0,28.0,1.5,62.0,54.1
1478154600,0.018000000000000002,18.0,26.0,2.3,222.0,22.0
1478158200,0.031,16.0,30.0,4.3,217.0,19.2
1478161800,0.038,15.0,15.0,5.8,229.0,20.9
1478165400,0.040999999999999995,9.0,19.0,7.5,239.0,20.9
1478169000,0.036000000000000004,12.0,12.0,8.4,241.0,18.1
1478172600,0.034,10.0,8.0,7.0,250.0,21.9
1478176200,0.028999999999999998,7.0,10.0,7.2,227.0,20.1
1478179800,0.03,8.0,11.0,7.4,239.0,22.3
1478183400,0.027999999999999997,7.0,12.0,7.6,232.0,19.0
1478187000,0.024,10.0,11.0,6.8,249.0,19.7
1478190600,0.027000000000000003,8.0,9.0,9.0,264.0,20.9
1478194200,0.024,6.0,3.0,11.4,297.0,18.7
1478197800,0.023,1.0,2.0,9.3,308.0,16.5
1478201400,,1.0,3.0,9.8,317.0,16.8
1478205000,0.027999999999999997,2.0,2.0,8.7,329.0,18.3
1478208600,0.032,1.0,1.0,7.4,318.0,16.3
1478212200,0.03,2.0,1.0,5.0,328.0,16.1
1478215800,0.025,3.0,5.0,3.9,325.0,17.7
1478219400,0.024,4.0,5.0,3.2,329.0,22.9
1478223000,0.027999999999999997,6.0,13.0,4.0,321.0,16.1
1478226600,0.026000000000000002,7.0,7.0,3.1,314.0,19.1
1478230200,0.025,5.0,6.0,4.4,315.0,17.7
1478233800,0.022000000000000002,6.0,7.0,4.2,321.0,16.4
1478237400,0.021,4.0,5.0,3.2,304.0,17.5
1478241000,0.018000000000000002,0.0,8.0,2.9,317.0,14.8
1478244600,0.016,2.0,6.0,3.0,310.0,18.5
1478248200,0.013999999999999999,2.0,8.0,1.6,287.0,33.3
1478251800,0.006,3.0,9.0,1.2,312.0,35.7
1478255400,0.003,3.0,10.0,1.2,307.0,56.5
1478259000,0.001,5.0,15.0,1.3,304.0,43.7
1478262600,0.003,7.0,15.0,0.9,310.0,52.3
1478266200,0.01,10.0,13.0,5.2,324.0,17.7
1478269800,0.019,6.0,10.0,5.1,338.0,25.0
1478273400,0.023,2.0,6.0,5.1,335.0,34.3
1478277000,0.026000000000000002,0.0,8.0,6.4,321.0,29.9
1478280600,0.027999999999999997,4.0,7.0,6.8,326.0,24.5
1478284200,0.027999999999999997,5.0,5.0,8.4,324.0,18.2
1478287800,0.031,1.0,10.0,6.8,313.0,22.7
1478291400,0.032,2.0,8.0,7.0,317.0,19.4
1478295000,0.033,3.0,7.0,5.3,315.0,16.5
1478298600,0.027000000000000003,2.0,7.0,4.4,298.0,10.8
1478302200,0.023,6.0,12.0,3.8,291.0,13.0
1478305800,0.006999999999999999,10.0,17.0,1.2,328.0,52.2
1478309400,0.003,16.0,23.0,1.5,5.0,23.3
1478313000,0.002,13.0,18.0,1.7,2.0,28.3
1478316600,0.001,17.0,25.0,0.9,323.0,11.4
1478320200,0.001,22.0,25.0,0.9,285.0,30.9
1478323800,0.001,17.0,21.0,1.0,358.0,57.1
1478327400,0.001,18.0,20.0,1.8,6.0,31.0
1478331000,0.001,13.0,22.0,0.8,289.0,62.9
1478334600,0.001,17.0,17.0,0.7,336.0,40.1
1478338200,0.001,14.0,16.0,1.2,4.0,20.3
1478341800,0.001,16.0,17.0,0.9,342.0,17.9
1478345400,0.001,13.0,18.0,0.7,345.0,27.0
1478349000,0.001,14.0,,0.5,276.0,55.9
1478352600,0.001,17.0,,1.5,212.0,40.4
1478356200,0.006999999999999999,16.0,,5.2,220.0,14.1
1478359800,0.015,7.0,,5.3,218.0,22.5
1478363400,0.028999999999999998,5.0,,6.3,230.0,25.4
1478367000,0.036000000000000004,4.0,,7.5,236.0,23.6
1478370600,0.040999999999999995,4.0,,7.9,252.0,22.9
1478374200,0.040999999999999995,2.0,,7.2,245.0,23.0
1478377800,0.04,3.0,,7.3,237.0,22.4
1478381400,0.040999999999999995,6.0,,5.8,259.0,23.2
1478385000,0.032,5.0,,4.9,238.0,15.9
1478388600,0.022000000000000002,8.0,,4.1,245.0,14.9
1478392200,0.023,12.0,,3.3,249.0,19.4
1478395800,0.013999999999999999,13.0,,2.3,227.0,19.8
1478399400,0.008,14.0,,2.4,240.0,12.2
1478403000,0.005,13.0,,2.7,216.0,12.5
1478406600,0.006,12.0,,2.9,202.0,13.1
1478410200,0.002,13.0,,2.5,200.0,13.2
1478413800,0.005,15.0,,2.9,199.0,15.4
1478417400,0.002,15.0,,1.6,185.0,23.7
1478421000,0.001,14.0,,0.8,194.0,73.5
1478424600,0.001,13.0,,0.7,14.0,45.1
1478428200,0.001,13.0,,1.3,12.0,36.4
1478431800,0.001,17.0,,1.4,356.0,22.0
1478435400,0.001,16.0,,1.0,335.0,33.7
1478439000,0.003,18.0,,1.0,325.0,30.8
1478442600,0.006,17.0,,1.3,298.0,35.1
1478446200,0.016,23.0,,1.8,314.0,42.7
1478449800,0.019,18.0,,2.1,328.0,58.9
1478453400,0.024,19.0,,3.3,283.0,29.5
1478457000,0.031,12.0,,2.3,276.0,58.8
1478460600,0.038,8.0,,2.5,266.0,60.1
1478464200,0.038,7.0,,2.7,255.0,33.9
1478467800,0.034,6.0,,2.3,218.0,31.5
1478471400,0.018000000000000002,11.0,,1.4,30.0,51.0
1478475000,0.003,16.0,,1.2,357.0,17.8
1478478600,0.001,20.0,,0.9,344.0,45.9
1478482200,0.0,21.0,,1.2,357.0,21.5
1478485800,0.0,24.0,,1.9,3.0,17.0
1478489400,0.0,17.0,,1.7,3.0,23.1
