EpochTime,3.feed_29.PM10_UG_M3,3.feed_29.PM25_UG_M3
1477891800,8.0,8.0
1477895400,8.0,8.0
1477899000,7.0,7.0
1477902600,4.0,4.0
1477906200,5.0,4.0
1477909800,4.0,5.0
1477913400,5.0,5.0
1477917000,9.0,5.0
1477920600,6.0,3.0
1477924200,1.0,2.0
1477927800,3.0,3.0
1477931400,2.0,2.0
1477935000,0.0,0.0
1477938600,1.0,1.0
1477942200,2.0,1.0
1477945800,3.0,2.0
1477949400,4.0,3.0
1477953000,10.0,6.0
1477956600,18.0,7.0
1477960200,15.0,8.0
1477963800,12.0,8.0
1477967400,9.0,5.0
1477971000,7.0,5.0
1477974600,8.0,6.0
1477978200,9.0,7.0
1477981800,11.0,8.0
1477985400,10.0,8.0
1477989000,8.0,6.0
1477992600,11.0,7.0
1477996200,9.0,7.0
1477999800,8.0,6.0
1478003400,9.0,6.0
1478007000,10.0,7.0
1478010600,15.0,9.0
1478014200,36.0,20.0
1478017800,44.0,26.0
1478021400,35.0,19.0
1478025000,28.0,17.0
1478028600,34.0,18.0
1478032200,28.0,15.0
1478035800,27.0,14.0
1478039400,45.0,25.0
1478043000,63.0,34.0
1478046600,84.0,45.0
1478050200,97.0,53.0
1478053800,126.0,64.0
1478057400,99.0,51.0
1478061000,107.0,51.0
1478064600,117.0,54.0
1478068200,124.0,60.0
1478071800,127.0,61.0
1478075400,107.0,53.0
1478079000,94.0,50.0
1478082600,67.0,38.0
1478086200,57.0,34.0
1478089800,34.0,23.0
1478093400,53.0,32.0
1478097000,56.0,33.0
1478100600,49.0,27.0
1478104200,36.0,19.0
1478107800,25.0,13.0
1478111400,24.0,9.0
1478115000,21.0,10.0
1478118600,23.0,11.0
1478122200,22.0,10.0
1478125800,25.0,13.0
1478129400,47.0,25.0
1478133000,62.0,33.0
1478136600,88.0,47.0
1478140200,85.0,52.0
1478143800,55.0,31.0
1478147400,101.0,51.0
1478151000,88.0,47.0
1478154600,61.0,33.0
1478158200,56.0,28.0
1478161800,44.0,25.0
1478165400,19.0,12.0
1478169000,15.0,8.0
1478172600,22.0,9.0
1478176200,12.0,9.0
1478179800,11.0,9.0
1478183400,10.0,9.0
1478187000,12.0,12.0
1478190600,11.0,7.0
1478194200,9.0,6.0
1478197800,3.0,1.0
1478201400,1.0,0.0
1478205000,2.0,3.0
1478208600,3.0,0.0
1478212200,4.0,2.0
1478215800,5.0,3.0
1478219400,4.0,3.0
1478223000,4.0,3.0
1478226600,4.0,3.0
1478230200,4.0,3.0
1478233800,4.0,3.0
1478237400,5.0,3.0
1478241000,4.0,3.0
1478244600,4.0,3.0
1478248200,3.0,3.0
1478251800,5.0,4.0
1478255400,4.0,4.0
1478259000,5.0,3.0
1478262600,4.0,4.0
1478266200,4.0,3.0
1478269800,2.0,3.0
1478273400,4.0,
1478277000,3.0,2.0
1478280600,1.0,1.0
1478284200,4.0,3.0
1478287800,3.0,2.0
1478291400,4.0,3.0
1478295000,4.0,3.0
1478298600,7.0,6.0
1478302200,10.0,8.0
1478305800,10.0,8.0
1478309400,15.0,11.0
1478313000,71.0,40.0
1478316600,27.0,18.0
1478320200,65.0,37.0
1478323800,85.0,50.0
1478327400,75.0,42.0
1478331000,81.0,45.0
1478334600,71.0,38.0
1478338200,86.0,41.0
1478341800,74.0,33.0
1478345400,66.0,30.0
1478349000,70.0,29.0
1478352600,113.0,54.0
1478356200,37.0,23.0
1478359800,11.0,7.0
1478363400,0.0,0.0
1478367000,0.0,-1.0
1478370600,0.0,0.0
1478374200,2.0,1.0
1478377800,4.0,2.0
1478381400,4.0,3.0
1478385000,5.0,3.0
1478388600,6.0,4.0
1478392200,16.0,11.0
1478395800,26.0,16.0
1478399400,68.0,39.0
1478403000,44.0,28.0
1478406600,45.0,29.0
1478410200,75.0,48.0
1478413800,103.0,67.0
1478417400,84.0,51.0
1478421000,74.0,46.0
