EpochTime,3.feed_3508.PM2_5
1477891800,8
1477895400,8
1477899000,7
1477902600,4
1477906200,4
1477909800,5
1477913400,5
1477917000,5
1477920600,2
1477924200,1
1477927800,3
1477931400,2
1477935000,0
1477938600,0
1477942200,1
1477945800,2
1477949400,3
1477953000,6
1477956600,7
1477960200,8
1477963800,8
1477967400,5
1477971000,5
1477974600,6
1477978200,7
1477981800,8
1477985400,8
1477989000,6
1477992600,8
1477996200,7
1477999800,6
1478003400,6
1478007000,7
1478010600,10
1478014200,22
1478017800,29
1478021400,21
1478025000,19
1478028600,20
1478032200,16
1478035800,15
1478039400,27
1478043000,37
1478046600,50
1478050200,59
1478053800,71
1478057400,56
1478061000,57
1478064600,60
1478068200,67
1478071800,68
1478075400,59
1478079000,56
1478082600,42
1478086200,37
1478089800,25
1478093400,35
1478097000,36
1478100600,30
1478104200,21
1478107800,14
1478111400,10
1478115000,11
1478118600,12
1478122200,11
1478125800,14
1478129400,28
1478133000,36
1478136600,52
1478140200,57
1478143800,34
1478147400,57
1478151000,52
1478154600,37
1478158200,31
1478161800,28
1478165400,13
1478169000,9
1478172600,10
1478176200,10
1478179800,9
1478183400,9
1478187000,13
1478190600,8
1478194200,6
1478197800,0
1478201400,0
1478205000,3
1478208600,-1
1478212200,2
1478215800,3
1478219400,3
1478223000,3
1478226600,3
1478230200,3
1478233800,2
1478237400,3
1478241000,3
1478244600,3
1478248200,2
1478251800,4
1478255400,4
1478259000,3
1478262600,4
1478266200,2
1478269800,2
1478273400,2
1478277000,1
1478280600,1
1478284200,3
1478287800,1
1478291400,3
1478295000,3
1478298600,6
1478302200,8
1478305800,8
1478309400,12
1478313000,44
1478316600,20
1478320200,41
1478323800,55
1478327400,47
1478331000,50
1478334600,42
1478338200,45
1478341800,37
1478345400,33
1478349000,32
1478352600,59
1478356200,26
1478359800,7
1478363400,0
1478367000,-1
1478370600,0
1478374200,0
1478377800,2
1478381400,3
1478385000,3
1478388600,4
1478392200,12
1478395800,17
1478399400,44
1478403000,31
1478406600,32
1478410200,53
1478413800,74
1478417400,57
1478421000,51
1478424600,51
1478428200,58
1478431800,58
1478435400,50
1478439000,33
1478442600,31
1478446200,18
1478449800,10
1478453400,-1
1478457000,0
1478460600,4
1478464200,6
1478467800,5
1478471400,6
1478475000,11
1478478600,62
1478482200,48
1478485800,57
1478489400,30
1478493000,18
1478496600,17
1478500200,14
1478503800,14
1478507400,14
1478511000,12
1478514600,24
1478518200,31
1478521800,40
1478525400,25
1478529000,8
1478532600,8
1478536200,10
1478539800,-2
1478543400,0
1478547000,0
1478550600,0
1478554200,2
1478557800,2
1478561400,3
1478565000,5
1478568600,13
1478572200,17
1478575800,8
1478579400,8
1478583000,8
1478586600,55
1478590200,59
1478593800,21
1478597400,46
1478601000,64
1478604600,68
1478608200,58
1478611800,50
1478615400,42
1478619000,33
1478622600,13
1478626200,18
1478629800,13
1478633400,16
1478637000,18
1478640600,19
1478644200,19
1478647800,20
1478651400,23
1478655000,28
1478658600,28
1478662200,31
1478665800,30
1478669400,23
1478673000,16
1478676600,13
1478680200,12
1478683800,9
1478687400,4
1478691000,4
1478694600,2
1478698200,4
1478701800,5
1478705400,6
1478709000,3
1478712600,2
1478716200,2
1478719800,1
1478723400,0
1478727000,0
1478730600,0
1478734200,1
1478737800,2
1478741400,3
1478745000,3
1478748600,6
1478752200,6
1478755800,5
1478759400,5
1478763000,5
1478766600,8
1478770200,7
1478773800,13
1478777400,21
1478781000,20
1478784600,21
1478788200,6
1478791800,1
1478795400,0
1478799000,-1
1478802600,1
1478806200,0
1478809800,1
1478813400,3
1478817000,4
1478820600,5
1478824200,4
1478827800,6
1478831400,13
1478835000,6
1478838600,5
1478842200,3
1478845800,4
1478849400,5
1478853000,4
1478856600,5
1478860200,6
1478863800,6
1478867400,6
1478871000,7
1478874600,7
1478878200,4
1478881800,2
1478885400,3
1478889000,4
1478892600,4
1478896200,2
1478899800,2
1478903400,4
1478907000,5
1478910600,7
1478914200,7
1478917800,6
1478921400,5
1478925000,5
1478928600,5
1478932200,5
1478935800,6
1478939400,6
1478943000,6
1478946600,5
1478950200,7
1478953800,19
1478957400,26
1478961000,5
1478964600,2
1478968200,1
1478971800,1
1478975400,1
1478979000,1
1478982600,2
1478986200,5
1478989800,5
1478993400,6
1478997000,19
1479000600,51
1479004200,57
1479007800,54
1479011400,45
1479015000,29
1479018600,35
1479022200,37
1479025800,43
1479029400,112
1479033000,48
1479036600,56
1479040200,48
1479043800,70
1479047400,37
1479051000,5
1479054600,0
1479058200,-1
1479061800,0
1479065400,0
1479069000,1
1479072600,5
1479076200,7
1479079800,41
1479083400,78
1479087000,60
1479090600,73
1479094200,56
1479097800,76
1479101400,49
1479105000,41
1479108600,47
1479112200,38
1479115800,40
1479119400,46
1479123000,28
1479126600,45
1479130200,88
1479133800,57
1479137400,19
1479141000,6
1479144600,3
1479148200,3
1479151800,4
1479155400,6
1479159000,5
1479162600,9
1479166200,11
1479169800,27
1479173400,46
1479177000,26
1479180600,21
1479184200,23
1479187800,41
1479191400,33
1479195000,19
1479198600,28
1479202200,59
1479205800,52
1479209400,47
1479213000,47
1479216600,53
1479220200,58
1479223800,28
1479227400,21
1479231000,7
1479234600,1
1479238200,5
1479241800,5
1479245400,9
1479249000,8
1479252600,22
1479256200,85
1479259800,73
1479263400,69
1479267000,61
1479270600,55
1479274200,42
1479277800,50
1479281400,53
1479285000,57
1479288600,53
1479292200,49
1479295800,44
1479299400,41
1479303000,25
1479306600,18
1479310200,13
1479313800,9
1479317400,6
1479321000,12
1479324600,13
1479328200,10
1479331800,8
1479335400,10
1479339000,10
1479342600,9
1479346200,11
1479349800,11
1479353400,12
1479357000,50
1479360600,51
1479364200,39
1479367800,28
1479371400,41
1479375000,32
1479378600,28
1479382200,31
1479385800,25
1479389400,27
1479393000,25
1479396600,22
1479400200,11
1479403800,15
1479407400,14
1479411000,8
1479414600,13
1479418200,13
1479421800,11
1479425400,9
1479429000,18
1479432600,25
1479436200,17
1479439800,22
1479443400,35
1479447000,17
1479450600,15
1479454200,16
1479457800,16
1479461400,15
1479465000,29
1479468600,18
1479472200,64
1479475800,68
1479479400,52
1479483000,33
1479486600,21
1479490200,14
1479493800,11
1479497400,10
1479501000,12
1479504600,15
1479508200,11
1479511800,10
1479515400,25
1479519000,31
1479522600,25
1479526200,28
1479529800,23
1479533400,37
1479537000,111
1479540600,42
1479544200,34
1479547800,29
1479551400,27
1479555000,36
1479558600,20
1479562200,23
1479565800,25
1479569400,6
1479573000,0
1479576600,-1
1479587400,-1
1479591000,0
1479594600,5
1479598200,0
1479601800,0
1479605400,0
1479609000,0
1479612600,0
1479616200,2
1479619800,1
1479623400,-1
1479627000,0
1479630600,0
1479634200,0
1479637800,0
1479641400,3
1479645000,1
1479648600,0
1479652200,2
1479655800,2
1479659400,0
1479663000,1
1479666600,1
1479670200,2
1479673800,2
1479677400,2
1479681000,2
1479684600,2
1479688200,2
1479691800,3
1479695400,2
1479699000,2
1479702600,2
1479706200,2
1479709800,1
1479713400,2
1479717000,3
1479720600,0
1479724200,1
1479727800,2
1479731400,2
1479735000,3
1479738600,2
1479742200,2
1479745800,1
1479749400,0
1479753000,2
1479756600,2
1479760200,2
1479763800,4
1479767400,4
1479771000,2
1479774600,4
1479778200,4
1479781800,3
1479785400,4
1479789000,4
1479792600,4
1479796200,4
1479799800,5
1479803400,5
1479807000,5
1479810600,5
1479814200,6
1479817800,6
1479821400,6
1479825000,5
1479828600,2
1479832200,1
1479835800,2
1479839400,2
1479843000,4
1479846600,4
1479850200,5
1479853800,6
1479857400,10
1479861000,11
1479864600,11
1479868200,20
1479871800,48
1479875400,56
1479879000,33
1479882600,16
1479886200,19
1479889800,19
1479893400,14
1479897000,13
1479900600,12
1479904200,13
1479907800,12
1479911400,7
1479915000,7
1479922200,6
1479925800,5
1479929400,5
1479933000,6
1479936600,7
1479940200,9
1479943800,10
1479947400,9
1479951000,11
1479954600,12
1479958200,12
1479961800,11
1479965400,14
1479969000,24
1479972600,30
1479976200,38
1479979800,20
1479983400,42
1479987000,54
1479990600,37
1479994200,32
1479997800,26
1480001400,21
1480005000,13
1480008600,9
1480012200,7
1480015800,9
1480019400,8
1480023000,5
1480026600,5
1480030200,5
1480033800,4
1480037400,2
1480041000,2
1480044600,1
1480048200,2
1480051800,1
1480055400,4
1480059000,8
1480062600,5
1480066200,3
1480069800,3
1480073400,4
1480077000,4
1480080600,7
1480084200,3
1480087800,2
1480091400,1
1480095000,2
1480098600,3
1480102200,3
1480105800,5
1480109400,5
1480113000,6
1480116600,7
1480120200,6
1480123800,6
1480127400,5
1480131000,4
1480134600,3
1480138200,2
1480141800,2
1480145400,3
1480149000,2
1480152600,2
1480156200,2
1480159800,2
1480163400,4
1480167000,5
1480170600,7
1480174200,6
1480177800,5
1480181400,3
1480185000,3
1480188600,3
1480192200,4
1480195800,5
1480199400,4
1480203000,5
1480206600,5
1480210200,5
1480213800,5
1480217400,5
1480221000,5
1480224600,4
1480228200,4
1480231800,3
1480235400,4
1480239000,5
1480242600,5
1480246200,7
1480249800,33
1480253400,36
1480257000,11
1480260600,3
1480264200,3
1480267800,3
1480271400,4
1480275000,6
1480278600,7
1480282200,11
1480285800,8
1480289400,7
1480293000,7
1480296600,9
1480300200,10
1480303800,10
1480307400,11
1480311000,11
1480314600,11
1480318200,11
1480321800,10
1480325400,10
1480329000,13
1480332600,28
1480336200,45
1480339800,28
1480343400,20
1480347000,9
1480350600,32
1480354200,15
1480357800,9
1480361400,8
1480365000,12
1480368600,18
1480372200,12
1480375800,14
1480379400,10
1480383000,11
1480386600,13
1480390200,11
1480393800,10
1480397400,8
1480401000,6
1480404600,9
1480408200,8
1480411800,6
1480415400,5
1480419000,6
1480422600,7
1480426200,7
1480429800,27
1480433400,32
1480437000,21
1480440600,7
1480444200,3
1480447800,3
1480451400,5
1480455000,8
1480458600,7
1480462200,11
1480465800,69
1480469400,61
1480473000,39
1480476600,11
1480480200,20
1480483800,31
1480487400,6
1480491000,13
1480494600,4
1480498200,5
1480501800,35
1480505400,14
1480509000,6
1480512600,5
1480516200,2
1480519800,2
1480523400,10
1480527000,9
1480530600,5
1480534200,4
1480537800,8
1480541400,4
1480545000,3
1480548600,10
1480552200,11
1480555800,4
1480559400,4
1480563000,6
1480566600,4
1480570200,5
1480573800,5
1480577400,4
1480581000,3
1480584600,5
1480588200,5
1480591800,5
1480595400,3
1480599000,5
1480602600,7
1480606200,4
1480609800,3
1480613400,4
1480617000,4
1480620600,4
1480624200,8
1480627800,6
1480631400,6
1480635000,5
1480638600,4
1480642200,3
1480645800,3
1480649400,5
1480653000,5
1480656600,5
1480660200,4
1480663800,5
1480667400,5
1480671000,5
1480674600,6
1480678200,6
1480681800,5
1480685400,5
1480689000,5
1480692600,5
1480696200,5
1480699800,3
1480703400,3
1480707000,4
1480710600,5
1480714200,5
1480717800,5
1480721400,4
1480725000,5
1480728600,5
1480732200,6
1480735800,5
1480739400,6
1480743000,5
1480746600,5
1480750200,5
1480753800,5
1480757400,6
1480761000,5
1480764600,7
1480768200,8
1480771800,7
1480775400,8
1480779000,5
1480782600,4
1480786200,5
1480789800,7
1480793400,9
1480797000,8
1480800600,8
1480804200,7
1480807800,8
1480811400,7
1480815000,6
1480818600,6
1480822200,6
1480825800,7
1480829400,6
1480833000,8
1480836600,7
1480840200,6
1480843800,7
1480847400,12
1480851000,13
1480854600,11
1480858200,9
1480861800,10
1480865400,6
1480869000,6
1480872600,6
1480876200,5
1480879800,5
1480883400,6
1480887000,4
1480890600,5
1480894200,6
1480897800,4
1480901400,8
1480905000,7
1480908600,9
1480912200,7
1480915800,12
1480919400,18
1480923000,7
1480926600,5
1480930200,4
1480933800,7
1480937400,8
1480941000,6
1480944600,5
1480948200,6
1480951800,3
1480955400,5
1480959000,6
1480962600,5
1480973400,8
1480977000,7
1480980600,8
1480984200,9
1480987800,9
1480991400,9
1480995000,10
1480998600,9
1481002200,8
1481005800,7
1481009400,6
1481013000,4
1481016600,7
1481020200,6
1481023800,7
1481027400,5
1481031000,4
1481034600,5
1481038200,4
1481041800,1
1481045400,1
1481049000,4
1481052600,1
1481056200,6
1481059800,5
1481063400,3
1481067000,3
1481070600,3
1481074200,3
1481077800,5
1481081400,9
1481085000,16
1481088600,7
1481092200,10
1481095800,10
1481099400,11
1481103000,11
1481106600,11
1481110200,12
1481113800,11
1481117400,11
1481121000,10
1481124600,7
1481128200,6
1481131800,4
1481135400,6
1481139000,6
1481142600,5
1481146200,6
1481149800,5
1481153400,5
1481157000,5
1481160600,5
1481164200,6
1481167800,6
1481171400,8
1481175000,6
1481178600,8
1481182200,7
1481185800,6
1481189400,5
1481193000,7
1481196600,6
1481200200,7
1481203800,7
1481207400,7
1481211000,7
1481214600,7
1481218200,5
1481221800,7
1481225400,7
1481229000,8
1481232600,6
1481236200,6
1481239800,6
1481243400,5
1481247000,6
1481250600,4
1481254200,4
1481257800,5
1481261400,6
1481265000,6
1481268600,7
1481272200,6
1481275800,6
1481279400,7
1481283000,7
1481286600,7
1481290200,7
1481293800,8
1481297400,8
1481301000,6
1481304600,6
1481308200,7
1481311800,7
1481315400,7
1481319000,7
1481322600,7
1481326200,6
1481329800,5
1481333400,5
1481337000,6
1481340600,8
1481344200,6
1481347800,7
1481351400,6
1481355000,7
1481358600,7
1481362200,7
1481365800,6
1481369400,6
1481373000,6
1481376600,6
1481380200,5
1481383800,5
1481387400,4
1481391000,4
1481394600,6
1481398200,6
1481401800,7
1481405400,6
1481409000,6
1481412600,6
1481416200,8
1481419800,7
1481423400,7
1481427000,11
1481430600,12
1481434200,7
1481437800,10
1481441400,11
1481445000,11
1481448600,10
1481452200,7
1481455800,8
1481459400,7
1481463000,8
1481466600,7
1481470200,7
1481473800,6
1481477400,6
1481481000,5
1481484600,7
1481488200,6
1481491800,8
1481495400,10
1481499000,10
1481502600,8
1481506200,8
1481509800,8
1481513400,9
1481517000,7
1481520600,7
1481524200,8
1481527800,18
1481531400,30
1481535000,10
1481538600,6
1481542200,5
1481545800,5
1481549400,6
1481553000,7
1481556600,7
1481560200,6
1481563800,4
1481567400,6
1481571000,8
1481574600,10
1481578200,9
1481581800,9
1481585400,11
1481589000,11
1481592600,10
1481596200,8
1481599800,10
1481603400,9
1481607000,9
1481610600,9
1481614200,14
1481617800,15
1481621400,20
1481625000,13
1481628600,10
1481632200,15
1481635800,11
1481639400,12
1481643000,15
1481646600,11
1481650200,11
1481653800,12
1481657400,10
1481661000,12
1481664600,13
1481668200,12
1481671800,11
1481675400,11
1481679000,11
1481682600,12
1481686200,11
1481689800,10
1481693400,10
1481697000,9
1481700600,10
1481704200,11
1481707800,11
1481711400,11
1481715000,11
1481718600,10
1481722200,10
1481725800,9
1481729400,7
1481733000,4
1481736600,5
1481740200,4
1481743800,5
1481747400,6
1481751000,5
1481754600,6
1481758200,6
1481761800,6
1481765400,6
1481769000,2
1481772600,5
1481776200,9
1481779800,9
1481783400,8
1481787000,8
1481790600,8
1481794200,7
1481797800,6
1481801400,8
1481805000,7
1481808600,8
1481812200,6
1481815800,4
1481819400,5
1481823000,5
1481826600,4
1481830200,4
1481833800,7
1481837400,7
1481841000,7
1481844600,7
1481848200,9
1481851800,8
1481855400,7
1481859000,8
1481862600,7
1481866200,7
1481869800,8
1481873400,8
1481877000,8
1481880600,7
1481884200,8
1481887800,10
1481891400,9
1481895000,8
1481898600,8
1481902200,7
1481905800,4
1481909400,4
1481913000,6
1481916600,6
1481920200,4
1481923800,7
1481927400,7
1481931000,8
1481934600,6
