EpochTime,3.feed_11067.CO_PPB..3.feed_43.CO_PPB,3.feed_11067.NO2_PPB..3.feed_43.NO2_PPB,3.feed_11067.NOX_PPB..3.feed_43.NOX_PPB,3.feed_11067.NO_PPB..3.feed_43.NO_PPB,3.feed_11067.PM25T_UG_M3..3.feed_43.PM25T_UG_M3,3.feed_11067.SIGTHETA_DEG..3.feed_43.SIGTHETA_DEG,3.feed_11067.SONICWD_DEG..3.feed_43.SONICWD_DEG,3.feed_11067.SONICWS_MPH..3.feed_43.SONICWS_MPH
1492525800,513.3,14.1,30.5,16.4,7.0,73.8,72.0,2.3
1492529400,410.1,8.8,15.3,6.5,6.0,79.0,191.0,2.6
1492533000,401.1,9.1,18.0,8.9,1.0,57.4,208.0,3.6
1492536600,568.7,11.6,22.3,10.6,5.0,45.5,305.0,4.2
1492540200,521.7,11.8,21.5,9.5,3.0,69.1,5.0,3.8
1492543800,385.5,7.1,11.5,4.3,4.0,62.2,223.0,3.4
1492547400,531.7,9.0,16.1,7.0,1.0,62.5,243.0,3.4
1492551000,441.6,8.1,14.7,6.5,3.0,50.3,195.0,3.5
1492554600,252.4,4.3,5.1,0.7,4.0,56.0,187.0,1.8
1492558200,186.3,3.0,3.1,0.1,4.0,44.2,96.0,0.6
1492561800,241.2,5.9,6.1,0.1,3.0,34.5,97.0,0.7
1492565400,220.2,6.9,7.1,0.1,7.0,56.6,133.0,0.5
1492569000,192.6,5.5,5.7,0.1,6.0,47.8,127.0,1.4
1492572600,150.5,4.7,4.9,0.1,4.0,18.4,128.0,1.5
1492576200,173.7,4.7,4.9,0.1,6.0,23.3,129.0,1.5
1492579800,135.5,3.5,3.6,0.1,,29.7,158.0,2.8
1492583400,,3.0,3.2,0.1,,29.9,159.0,3.0
1492587000,133.4,,,,12.0,27.1,157.0,2.5
1492590600,138.4,3.4,3.7,0.2,8.0,32.1,165.0,3.0
1492594200,137.3,2.8,3.0,0.1,8.0,32.2,150.0,2.1
1492597800,140.3,3.9,4.1,0.2,7.0,28.7,150.0,2.1
1492601400,149.6,6.0,6.4,0.4,7.0,30.3,141.0,1.9
1492605000,158.6,5.8,6.5,0.6,10.0,27.9,157.0,2.9
1492608600,169.3,8.4,10.0,1.5,,25.6,178.0,4.1
1492612200,174.9,10.8,13.1,2.3,5.0,17.9,202.0,8.7
1492615800,149.5,6.2,7.0,0.8,10.0,17.6,206.0,6.6
1492619400,159.5,4.9,5.9,1.0,8.0,22.4,207.0,6.8
1492623000,160.4,4.3,5.3,1.0,7.0,18.4,206.0,8.2
1492626600,169.6,5.2,7.2,2.0,5.0,23.9,213.0,7.0
1492630200,242.2,5.4,7.1,1.6,5.0,24.2,222.0,8.2
1492633800,348.7,7.0,9.1,2.0,7.0,26.0,240.0,7.4
1492637400,244.7,4.9,6.3,1.4,5.0,22.6,220.0,8.8
1492641000,230.4,4.9,5.8,0.9,7.0,24.6,221.0,7.2
1492644600,203.3,5.1,5.4,0.3,12.0,19.4,214.0,7.3
