EpochTime,feelings_symptoms,smell_description,smell_value,zipcode
1477935134,,,1,15221
1477956180,,Woodsmoke,2,15218
1477956293,,Wood smoke,3,15218
1477973293,"Eye irritation, nose burns, headache, woke me up",Industrial ,5,15207
1478001989,,Industrial smoke,2,15213
1478003840,,Industrial ,3,15218
1478005371,,Coke oven,3,15213
1478006679,,Smell fine,1,15206
1478014118,,Industrial,4,15206
1478014136,,Industrial,4,15206
1478014162,,Industrial ,4,15206
1478014317,,Industrial ,4,15206
1478015537,,Chemical smell. Like hair dye and rotten eggs.,3,15206
1478015548,None,Chemical smell. Like hair dye and rotten eggs.,3,15206
1478015587,None,Chemical smell. Like hair dye and rotten eggs.,3,15206
1478015928,,Industrial,3,15206
1478017765,,Industrial,2,15217
1478017774,,Industrial,2,15217
1478018212,,Industrial irritant,3,15218
1478019258,,Chemical smell. Like hair dye and rotten eggs.,3,15206
1478019747,,Acrid odor,2,15222
1478019756,,Acrid odor,2,15222
1478019763,,Acrid odor,2,15222
1478019881,"Leaves bad taste in mouth, sore throat after being outside",Chemical,4,15206
1478019891,"Leaves bad taste in mouth, sore throat after being outside",Chemical,4,15206
1478019898,"Leaves bad taste in mouth, sore throat after being outside",Chemical,4,15206
1478019933,"Sore throat, bad taste in mouth",Chemical,4,15206
1478019952,"Sore throat, bad taste in mouth",Chemical,4,15206
1478020266,,metallic,2,15217
1478025243,,Acrid Air Continues To Persist.,3,15218
1478049176,,,3,15208
1478053079,,Horrible sulfur smell. VERY strong.,5,15217
1478054935,,sulfur,2,15217
1478054939,,sulfur,2,15217
1478054945,,sulfur,2,15217
1478054945,,sulfur,2,15217
1478054958,,sulfur,2,15217
1478054958,,sulfur,2,15217
1478077536,Nasal irritation,"Industrial, acrid",3,15206
1478079003,Bad enough to avoid outdoor activity ,Acrid and foul smell ,3,15206
1478079351,Headache,Industrial like burning tire,4,15221
1478080237,,"Not fresh, rotten eggs, hard it identify since it has entered house and we have normalized to it. PM inside is high. Co. Airport reports S winds all night.",4,15218
1478080327,,,3,15217
1478080724,,Industrial - sulfur,3,15219
1478081954,Burns the throat and nasal passages,"Industrial, acrid ",4,15206
1478082087,,Coke oven or industrial,4,15213
1478082413,Runny nose,Rotten eggs,4,15208
1478082539,,,4,15208
1478083112,,Industrial,3,15218
1478083311,,Eggs,4,15217
1478083335,,Industrial,4,15218
1478083928,instant stuffy nose. ,Wow. As bad as I have ever smelled it. Incredibly strong coke plant smell.,5,15217
1478085087,Sore throat,Smoke and a little rotten egg,4,15217
1478085214,"Sore throat, bad taste in moith","Industrial, the air is thick with it",5,15206
1478085320,,Industrial (coal burning?),4,15217
1478085370,,Industrial (coal burning?),4,15217
1478085605,,,5,15206
1478085901,,,4,15208
1478085953,,"Chemical, burning rubber",3,15217
1478086169,,"Industrial, sulfur",5,15206
1478086177,,"Industrial, sulfur",5,15206
1478086178,,Sulphur egg smell,3,15206
1478086320,,Industrial,4,15206
1478086525,Sore throat,Acrid and foul smell,3,15206
1478086526,,Industrial,4,15207
1478086750,,"Steel mill, ugh!",4,15218
1478087003,,Super smelly outside,4,15206
1478087248,Headache,Industrial like burning tire,4,15221
