EpochTime,3.feed_1.SO2_PPM,3.feed_1.H2S_PPM,3.feed_1.SIGTHETA_DEG,3.feed_1.SONICWD_DEG,3.feed_1.SONICWS_MPH
1477891800,0.0,0.0,51.7,343.0,3.6
1477895400,0.0,0.0,52.7,351.0,3.5
1477899000,0.0,0.0,52.6,359.0,3.4
1477902600,0.0,0.0,48.3,5.0,2.1
1477906200,0.0,0.0,31.1,41.0,2.2
1477909800,0.0,0.0,30.9,25.0,2.6
1477913400,0.0,0.0,61.2,9.0,1.7
1477917000,0.0,0.0,77.4,263.0,1.8
1477920600,0.0,0.0,35.3,84.0,3.9
1477924200,0.0,,,,
1477927800,0.0,0.0,,,
1477931400,0.0,0.0,44.8,115.0,4.2
1477935000,0.001,0.0,50.4,117.0,3.8
1477938600,0.003,0.0,38.7,97.0,4.1
1477942200,0.002,0.0,54.0,141.0,3.1
1477945800,0.001,0.0,61.7,165.0,2.3
1477949400,0.0,0.0,25.3,75.0,2.8
1477953000,0.0,0.0,17.4,59.0,2.6
1477956600,0.0,0.0,18.5,40.0,2.4
1477960200,0.0,0.0,51.3,2.0,1.8
1477963800,0.0,0.0,35.7,79.0,1.8
1477967400,0.0,0.0,56.2,82.0,1.7
1477971000,0.0,0.0,68.8,28.0,1.4
1477974600,0.0,0.0,67.9,67.0,1.4
1477978200,0.0,0.0,54.6,299.0,1.3
1477981800,0.0,0.0,35.2,114.0,1.4
1477985400,0.0,0.0,49.5,121.0,1.2
1477989000,0.0,0.0,47.9,93.0,1.4
1477992600,0.0,0.0,53.8,147.0,1.5
1477996200,0.0,0.0,40.8,138.0,1.7
1477999800,0.0,0.0,35.4,147.0,1.8
1478003400,0.0,0.0,31.4,145.0,1.9
1478007000,0.001,0.001,37.5,171.0,2.4
1478010600,0.001,0.001,44.5,185.0,2.3
1478014200,0.002,0.001,42.1,165.0,2.8
1478017800,0.002,0.0,40.7,128.0,3.1
1478021400,0.002,0.0,35.5,162.0,3.3
1478025000,0.001,0.0,35.6,148.0,3.6
1478028600,0.001,0.0,37.3,173.0,4.2
1478032200,0.001,0.0,35.6,238.0,6.1
1478035800,0.001,0.0,34.8,188.0,3.7
1478039400,0.001,0.0,31.6,194.0,3.4
1478043000,0.001,0.0,58.2,128.0,1.6
1478046600,0.0,0.0,31.2,68.0,1.9
1478050200,0.0,0.0,25.7,59.0,1.9
1478053800,0.0,0.0,53.3,91.0,1.3
1478057400,0.0,0.0,38.9,60.0,1.5
1478061000,0.0,0.0,51.0,75.0,1.8
1478064600,0.0,0.0,61.4,84.0,1.3
1478068200,0.0,0.0,40.4,107.0,1.2
1478071800,0.0,0.0,18.0,128.0,2.0
1478075400,0.0,0.0,18.6,95.0,2.3
1478079000,0.0,0.0,24.9,109.0,2.4
1478082600,0.0,0.0,23.9,109.0,2.5
1478086200,0.0,0.0,22.2,100.0,2.2
1478089800,0.0,0.0,19.3,99.0,2.0
1478093400,0.0,0.0,25.2,126.0,3.2
1478097000,0.0,0.0,43.7,125.0,2.5
1478100600,,,50.1,238.0,2.9
1478104200,0.001,0.0,31.4,256.0,4.8
1478107800,0.001,0.0,34.4,254.0,6.0
1478111400,0.001,0.0,33.9,249.0,7.7
1478115000,0.001,0.0,30.0,259.0,7.2
1478118600,0.001,0.0,29.4,256.0,5.4
1478122200,0.001,0.0,20.9,243.0,4.8
1478125800,0.001,0.0,34.9,212.0,3.2
1478129400,0.0,0.0,53.1,129.0,2.0
1478133000,0.0,0.0,43.1,85.0,1.8
1478136600,0.0,0.0,23.1,103.0,2.7
1478140200,0.0,0.0,41.7,64.0,2.0
1478143800,0.0,0.0,42.1,32.0,1.6
1478147400,0.0,0.0,16.8,78.0,2.2
1478151000,0.0,0.0,24.6,84.0,2.6
1478154600,0.0,0.0,35.8,111.0,2.6
1478158200,0.0,0.0,50.3,166.0,2.8
1478161800,0.0,0.0,26.8,236.0,5.8
1478165400,0.0,0.0,23.8,252.0,7.1
1478169000,0.0,0.0,27.4,257.0,7.1
1478172600,0.0,0.0,27.2,260.0,5.8
1478176200,0.0,0.0,36.3,240.0,4.9
1478179800,0.0,0.0,32.3,248.0,6.3
1478183400,0.0,0.0,25.6,251.0,6.0
1478187000,,,32.8,277.0,5.3
1478190600,0.0,0.0,29.6,288.0,6.3
1478194200,0.0,0.0,35.9,317.0,6.5
1478197800,0.0,0.0,38.9,329.0,6.1
1478201400,0.0,0.0,42.5,331.0,6.0
1478205000,0.0,0.0,44.8,330.0,5.5
1478208600,0.0,0.0,47.9,335.0,4.3
1478212200,0.0,0.0,39.2,338.0,2.7
1478215800,0.0,0.0,34.5,3.0,2.4
1478219400,0.0,0.0,36.8,331.0,3.2
1478223000,0.0,0.0,29.5,312.0,3.1
1478226600,0.0,0.0,20.7,313.0,3.0
1478230200,0.0,0.0,32.3,324.0,3.0
1478233800,0.0,0.0,29.0,321.0,2.3
1478237400,0.0,0.0,21.3,321.0,2.7
1478241000,0.0,0.0,31.7,333.0,2.0
1478244600,0.0,0.0,25.7,319.0,2.2
1478248200,0.0,0.0,27.1,343.0,2.3
1478251800,0.0,0.0,26.4,349.0,2.0
1478255400,0.0,0.0,33.2,1.0,1.6
1478259000,0.0,0.0,29.1,0.0,1.7
1478262600,0.0,0.0,27.7,326.0,2.3
1478266200,0.0,0.0,32.5,317.0,3.4
1478269800,0.0,0.0,54.1,349.0,4.3
1478273400,0.0,0.0,52.7,345.0,4.8
1478277000,0.0,0.0,55.1,324.0,5.1
1478280600,0.0,0.0,49.8,330.0,5.3
1478284200,0.0,0.0,43.8,328.0,6.2
1478287800,0.0,0.0,34.8,307.0,6.6
1478291400,0.0,0.0,43.1,314.0,5.4
1478295000,0.0,0.0,35.1,318.0,4.3
1478298600,0.0,0.0,22.4,317.0,3.2
1478302200,0.0,0.0,27.1,350.0,2.1
1478305800,0.0,0.0,22.0,45.0,1.7
1478309400,0.0,0.0,22.8,32.0,1.6
1478313000,0.0,0.0,50.2,334.0,1.6
1478316600,0.0,0.0,48.8,347.0,1.5
1478320200,0.0,0.0,59.5,359.0,0.9
1478323800,0.0,0.0,24.8,46.0,1.7
1478327400,0.0,0.0,40.2,42.0,1.8
1478331000,0.0,0.0,34.6,25.0,1.3
1478334600,0.0,0.0,16.7,58.0,1.6
1478338200,0.0,0.0,19.9,54.0,1.5
1478341800,0.0,0.0,25.8,66.0,1.4
1478345400,0.0,0.0,18.7,54.0,1.7
1478349000,0.0,0.0,37.3,82.0,1.4
1478352600,0.0,0.0,27.7,239.0,1.8
1478356200,0.0,0.0,23.1,244.0,2.5
1478359800,0.001,0.0,32.9,261.0,3.4
1478363400,0.0,0.0,27.5,280.0,5.2
1478367000,0.0,0.0,27.0,282.0,5.7
1478370600,0.001,0.0,29.0,261.0,6.0
1478374200,0.001,0.0,31.3,251.0,6.0
1478377800,0.0,0.0,32.4,256.0,5.7
1478381400,0.0,0.0,30.7,261.0,4.7
1478385000,0.0,0.0,29.2,322.0,2.5
1478388600,0.0,0.0,43.2,0.0,1.7
1478392200,0.0,0.0,60.6,9.0,1.9
1478395800,0.0,0.0,82.8,26.0,1.4
1478399400,0.0,0.0,69.4,66.0,1.1
1478403000,0.0,0.0,44.3,65.0,1.0
1478406600,0.0,0.0,51.5,66.0,1.1
1478410200,0.0,0.0,60.5,70.0,1.3
1478413800,0.0,0.0,70.9,67.0,1.2
1478417400,0.0,0.0,57.4,43.0,1.0
1478421000,0.0,0.0,61.9,22.0,1.2
1478424600,0.0,0.0,31.7,40.0,1.0
1478428200,0.0,0.0,32.3,32.0,1.1
1478431800,0.0,0.0,62.4,349.0,1.1
1478435400,0.0,0.0,49.0,344.0,1.3
1478439000,0.0,0.0,44.6,241.0,1.9
1478442600,0.0,0.0,26.3,209.0,2.4
1478446200,0.001,0.0,26.8,222.0,2.8
1478449800,0.001,0.0,30.4,199.0,3.4
1478453400,0.001,0.0,35.9,209.0,3.3
1478457000,0.001,0.0,35.3,208.0,3.4
1478460600,0.001,0.0,36.3,233.0,3.2
1478464200,0.001,0.0,26.6,231.0,3.3
1478467800,0.001,0.0,26.6,213.0,2.3
1478471400,0.0,0.0,31.0,56.0,2.2
1478475000,0.0,0.0,22.8,53.0,2.1
1478478600,0.0,0.0,38.2,40.0,1.6
1478482200,0.0,0.0,29.5,50.0,1.6
1478485800,0.0,0.0,40.4,38.0,1.4
1478489400,0.0,0.0,44.4,347.0,1.2
1478493000,0.0,0.0,24.2,30.0,1.3
1478496600,0.0,0.0,56.2,52.0,1.2
1478500200,0.0,0.0,49.3,27.0,1.4
1478503800,0.0,0.0,65.3,13.0,1.1
1478507400,0.0,0.0,19.3,61.0,1.4
1478511000,0.0,0.0,42.9,321.0,1.5
1478514600,0.0,0.0,55.0,321.0,1.5
1478518200,0.0,0.0,36.0,345.0,1.7
1478521800,0.0,0.001,46.8,75.0,1.5
1478525400,0.0,0.001,47.9,210.0,2.2
1478529000,0.0,0.001,32.0,186.0,2.7
1478532600,0.001,0.0,34.7,185.0,3.0
1478536200,0.002,,27.2,189.0,3.7
1478539800,,,27.8,199.0,3.7
1478543400,0.002,0.001,28.3,194.0,3.8
1478547000,0.002,0.001,29.1,193.0,3.6
1478550600,0.002,0.0,35.0,195.0,3.0
1478554200,0.002,0.0,38.6,203.0,2.1
1478557800,0.001,0.0,10.5,49.0,2.4
1478561400,0.001,0.0,29.9,55.0,1.4
1478565000,0.0,0.001,35.1,71.0,1.6
1478568600,0.0,0.001,44.0,47.0,1.3
1478572200,0.0,0.001,40.7,96.0,0.9
1478575800,0.0,0.001,39.2,53.0,1.3
1478579400,0.0,0.001,52.6,79.0,1.4
1478583000,0.0,0.001,56.4,60.0,1.0
1478586600,0.0,0.001,50.4,73.0,1.2
1478590200,0.0,0.001,22.2,76.0,1.3
1478593800,0.0,0.001,23.1,52.0,1.2
1478597400,0.0,0.001,23.1,57.0,1.1
1478601000,0.0,0.001,16.5,91.0,1.3
1478604600,0.0,0.001,15.7,85.0,1.4
1478608200,0.001,0.002,41.8,72.0,1.3
1478611800,0.001,0.002,36.2,212.0,1.9
1478615400,0.001,0.002,45.4,176.0,1.9
1478619000,0.001,0.001,43.9,172.0,2.1
1478622600,0.001,0.001,31.1,201.0,2.4
1478626200,,,33.7,266.0,3.3
1478629800,,,27.6,259.0,6.4
1478633400,0.002,0.0,32.3,255.0,6.7
1478637000,0.002,0.0,28.6,259.0,4.5
1478640600,0.002,0.0,29.0,246.0,4.2
1478644200,0.003,0.0,44.6,210.0,2.4
1478647800,0.003,0.0,25.5,240.0,4.7
1478651400,0.002,0.0,22.3,252.0,6.3
1478655000,0.001,0.0,30.0,285.0,4.7
1478658600,0.0,0.0,24.4,280.0,3.6
1478662200,0.0,0.0,23.8,257.0,3.2
1478665800,0.0,0.0,32.4,264.0,3.2
1478669400,0.0,0.0,30.2,266.0,2.7
1478673000,0.0,0.0,36.3,300.0,3.9
1478676600,0.0,0.0,20.6,308.0,4.7
1478680200,0.0,0.0,18.8,308.0,5.0
1478683800,0.0,0.0,31.2,321.0,4.2
1478687400,0.0,0.0,38.2,337.0,2.8
1478691000,0.0,0.0,26.5,313.0,5.1
1478694600,0.0,0.0,22.2,309.0,5.8
1478698200,0.0,0.0,23.3,312.0,4.9
1478701800,0.0,0.0,22.1,308.0,4.8
1478705400,0.0,0.0,27.6,313.0,8.0
1478709000,0.0,0.0,33.6,321.0,6.7
1478712600,0.0,0.0,38.9,324.0,7.5
1478716200,0.0,0.0,35.8,325.0,6.2
1478719800,0.0,0.0,48.9,328.0,5.1
1478723400,0.0,0.0,34.5,318.0,6.6
