EpochTime,3.feed_27.NO_PPB,3.feed_27.NOY_PPB,3.feed_27.CO_PPB,3.feed_27.SO2_PPB
1477891800,0.1,2.6,,0.2
1477895400,,,106.1,0.0
1477899000,0.2,2.1,105.8,
1477902600,0.1,3.1,111.7,0.0
1477906200,0.1,2.5,127.2,0.0
1477909800,1.8,15.4,175.5,0.0
1477913400,2.7,18.0,200.5,0.0
1477917000,7.5,24.3,251.4,0.0
1477920600,3.9,11.7,188.7,0.1
1477924200,3.1,9.3,168.3,0.2
1477927800,,,153.4,0.1
1477931400,1.3,4.2,135.6,0.3
1477935000,2.0,7.2,140.4,2.6
1477938600,1.7,6.5,140.9,2.4
1477942200,0.9,4.3,142.8,0.2
1477945800,1.0,5.8,167.1,0.0
1477949400,0.4,5.8,168.3,0.0
1477953000,0.3,11.4,206.9,0.4
1477956600,1.4,22.9,323.6,0.3
1477960200,3.0,27.4,363.1,0.4
1477963800,3.7,28.4,369.9,0.8
1477967400,10.3,35.2,427.2,0.8
1477971000,9.8,33.4,392.0,0.7
1477974600,12.5,34.4,376.8,0.5
1477978200,12.6,32.7,,0.4
1477981800,,,327.5,0.4
1477985400,13.4,31.5,317.1,
1477989000,16.4,34.1,313.9,0.4
1477992600,17.0,34.6,327.8,0.4
1477996200,22.4,40.8,358.1,0.6
1477999800,31.9,51.9,423.9,0.7
1478003400,32.8,53.8,471.1,0.9
1478007000,33.6,54.9,436.3,1.0
1478010600,34.1,55.3,485.5,1.7
1478014200,31.3,53.4,560.9,2.3
1478017800,28.0,54.3,558.5,2.5
1478021400,24.2,53.6,456.3,2.2
1478025000,5.2,21.9,280.1,1.4
1478028600,1.6,12.9,234.7,0.9
1478032200,1.0,12.0,226.5,1.2
1478035800,0.5,10.6,222.2,1.4
1478039400,0.6,15.3,238.2,1.3
1478043000,0.2,12.3,244.9,1.2
1478046600,0.3,16.7,286.7,0.9
1478050200,1.6,32.5,476.0,0.6
1478053800,3.2,35.5,493.8,0.4
1478057400,5.2,32.0,531.9,0.2
1478061000,6.9,30.5,540.0,0.2
1478064600,8.9,29.5,,0.1
1478068200,,,571.6,0.4
1478071800,31.2,45.9,596.5,
1478075400,27.2,42.8,563.6,0.5
1478079000,30.7,45.0,592.1,0.4
1478082600,68.2,83.1,678.6,1.0
1478086200,103.8,124.1,1038.2,1.7
1478089800,121.9,142.0,1294.1,2.1
1478093400,103.7,127.1,1393.9,1.9
1478097000,48.4,85.9,800.0,1.5
1478100600,7.6,28.6,286.1,1.6
1478104200,2.3,14.0,215.8,1.6
1478107800,1.1,8.8,175.6,1.6
1478111400,0.8,7.0,157.4,1.0
1478115000,0.8,7.8,160.6,0.9
1478118600,0.5,8.7,176.8,1.1
1478122200,0.3,11.4,189.1,1.0
1478125800,0.2,18.8,282.7,0.8
1478129400,0.3,29.4,354.6,0.6
1478133000,1.1,27.8,362.2,0.5
1478136600,2.6,36.4,343.2,0.4
1478140200,0.6,28.3,358.7,0.3
1478143800,1.9,35.0,437.2,0.3
1478147400,6.9,36.3,490.5,0.2
1478151000,5.3,31.7,,0.2
1478154600,,,296.1,0.6
1478158200,0.1,14.5,188.7,
1478161800,0.0,9.6,152.0,0.8
1478165400,0.0,7.0,124.7,0.8
1478169000,0.1,9.2,127.5,1.2
1478172600,0.2,8.9,133.6,0.6
1478176200,0.6,12.6,159.0,0.2
1478179800,0.7,10.3,159.5,0.1
1478183400,1.3,11.8,168.1,0.2
1478187000,1.5,13.5,163.7,0.3
1478190600,1.4,7.6,142.9,0.3
1478194200,0.9,5.9,164.0,0.0
1478197800,2.3,8.5,205.3,0.0
1478201400,1.6,7.7,195.7,0.1
1478205000,1.1,7.1,189.3,0.1
1478208600,0.5,6.1,189.7,0.0
1478212200,0.2,7.7,211.9,0.0
1478215800,0.3,10.8,222.2,0.0
1478219400,0.1,9.6,218.4,0.0
1478223000,0.1,4.6,173.4,0.0
1478226600,0.1,4.9,174.4,0.0
1478230200,0.0,4.0,156.5,0.0
1478233800,0.0,3.8,156.1,0.0
1478237400,0.0,2.7,,0.0
1478241000,,,165.4,0.0
1478244600,0.3,5.6,172.5,
1478248200,0.4,7.5,170.5,0.0
1478251800,2.8,15.1,206.4,0.0
1478255400,7.4,23.0,249.6,0.0
1478259000,11.3,29.0,279.4,0.1
1478262600,10.5,27.7,284.9,0.1
1478266200,7.3,18.2,284.8,0.2
1478269800,2.8,7.6,232.5,0.3
1478273400,2.1,4.9,221.0,0.4
1478277000,1.4,3.6,137.3,0.5
1478280600,1.4,4.0,130.8,0.3
1478284200,1.7,5.1,130.5,0.2
1478287800,0.8,2.7,125.1,0.1
1478291400,0.6,2.6,129.5,0.1
1478295000,0.3,2.9,133.4,0.0
1478298600,0.4,9.6,186.3,0.1
1478302200,0.5,11.0,207.8,0.1
1478305800,4.1,25.8,352.7,0.1
1478309400,8.9,33.9,462.1,0.2
1478313000,5.4,28.3,413.7,0.0
1478316600,9.5,31.7,467.9,0.1
1478320200,21.7,43.1,559.4,0.3
1478323800,21.9,41.0,,0.3
1478327400,,,490.3,0.2
1478331000,15.7,32.2,438.8,
1478334600,22.8,38.4,458.3,0.3
1478338200,26.4,40.5,458.4,0.3
1478341800,48.4,64.7,528.5,0.6
1478345400,59.9,76.6,675.3,0.9
1478349000,70.6,88.0,706.2,1.1
1478352600,70.4,91.4,619.1,1.1
1478356200,20.0,36.1,308.2,0.4
1478359800,9.9,21.9,260.0,0.3
1478363400,2.8,8.2,171.1,0.1
1478367000,1.3,4.5,154.1,0.2
1478370600,0.8,3.2,137.9,0.1
1478374200,0.8,4.0,146.5,0.3
1478377800,0.8,4.9,159.2,0.6
1478381400,0.3,4.5,175.5,0.2
1478385000,0.3,10.3,195.7,0.5
1478388600,0.6,17.6,281.6,0.5
1478392200,0.5,16.2,279.7,1.3
1478395800,0.9,22.8,345.7,0.9
1478399400,1.7,28.6,381.5,0.4
1478403000,3.2,32.7,412.5,0.2
1478406600,2.8,32.3,329.3,0.2
1478410200,6.1,38.7,,0.2
1478413800,,,320.5,0.3
1478417400,8.7,37.6,399.5,
1478421000,20.1,45.4,477.0,0.4
1478424600,21.0,42.2,467.9,0.3
1478428200,18.7,38.8,435.3,0.2
1478431800,13.8,33.2,448.9,0.1
1478435400,24.9,43.5,533.7,0.3
1478439000,24.8,43.6,537.1,0.3
1478442600,27.0,49.8,539.4,0.8
1478446200,10.8,29.9,364.3,0.8
1478449800,10.1,29.5,434.3,1.3
1478453400,6.4,21.7,408.8,1.8
1478457000,3.7,15.1,340.4,1.6
1478460600,1.5,8.1,256.8,1.1
1478464200,1.2,8.7,251.6,0.9
1478467800,0.8,12.1,290.6,0.8
1478471400,1.1,26.2,439.5,0.7
1478475000,5.4,37.3,593.8,0.5
1478478600,11.6,41.8,649.1,0.4
1478482200,12.7,41.2,646.2,0.3
1478485800,13.9,41.0,573.1,0.3
1478489400,6.9,32.1,512.8,0.1
1478493000,7.1,30.6,490.5,0.1
1478496600,5.8,27.3,,0.0
1478500200,,,429.3,0.0
1478503800,10.5,29.1,411.0,
1478507400,17.1,35.1,395.5,0.2
1478511000,19.0,36.9,389.8,0.1
1478514600,19.9,36.4,428.5,0.2
1478518200,33.0,49.9,495.5,0.4
1478521800,47.3,64.4,564.5,0.6
1478525400,57.8,76.3,648.1,0.9
1478529000,37.9,57.1,515.4,0.7
1478532600,32.0,54.7,564.9,1.1
1478536200,32.9,60.7,604.0,2.2
1478539800,6.8,20.4,288.8,2.0
1478543400,2.7,10.4,291.2,1.4
1478547000,3.1,13.2,343.4,2.4
1478550600,1.9,12.1,262.0,1.0
1478554200,1.9,18.9,329.2,1.1
1478557800,10.2,43.2,509.8,0.9
1478561400,20.9,57.6,724.7,0.8
1478565000,24.8,59.3,628.1,0.7
1478568600,14.2,45.4,533.1,0.4
1478572200,14.0,43.1,511.9,0.3
1478575800,9.1,36.1,461.2,0.2
1478579400,10.8,35.7,491.0,0.2
1478583000,16.2,39.5,,0.2
1478586600,,,409.7,0.3
1478590200,25.4,46.0,428.2,
1478593800,25.1,44.9,380.1,0.4
1478597400,23.0,41.6,382.2,0.3
1478601000,33.0,51.1,421.0,0.5
1478604600,43.6,61.3,564.9,0.7
1478608200,59.0,76.7,630.8,0.9
1478611800,75.5,96.5,829.0,1.3
1478615400,85.7,111.8,948.5,2.1
1478619000,96.3,131.1,,
1478622600,37.9,68.4,518.3,
1478626200,13.4,40.1,394.1,1.7
1478629800,2.4,15.0,285.5,1.6
1478633400,1.1,12.2,246.1,2.1
1478637000,0.5,12.3,268.1,2.1
1478640600,0.6,18.2,321.0,2.8
1478644200,0.5,22.4,360.8,2.8
1478647800,0.2,20.7,353.9,1.9
1478651400,0.1,14.1,311.1,1.6
1478655000,0.1,8.8,274.8,1.9
1478658600,0.1,8.7,282.8,0.8
1478662200,0.2,11.1,309.4,0.3
1478665800,0.2,10.8,301.9,0.3
1478669400,0.3,11.2,,0.3
1478673000,,,266.7,0.2
1478676600,0.2,9.9,254.5,
1478680200,0.1,7.5,220.6,0.1
1478683800,0.1,5.6,169.9,0.1
1478687400,0.3,5.6,148.1,0.1
1478691000,0.7,9.0,156.6,0.0
1478694600,0.9,9.7,152.9,0.3
1478698200,1.8,13.3,188.8,0.3
1478701800,2.6,11.6,202.5,0.4
1478705400,3.4,10.0,170.9,0.3
1478709000,3.7,7.7,140.8,0.3
1478712600,2.4,5.2,133.9,0.2
1478716200,2.8,6.7,132.4,0.0
1478719800,2.4,6.1,134.6,0.0
1478723400,1.2,5.0,138.3,0.0
1478727000,0.8,4.6,137.8,0.0
1478730600,0.4,2.9,131.0,0.0
1478734200,0.3,3.3,138.7,0.0
1478737800,0.3,4.0,141.2,0.0
1478741400,0.4,6.1,152.1,0.0
1478745000,0.3,8.1,158.7,0.0
1478748600,0.5,12.9,182.8,0.0
1478752200,0.6,9.9,157.8,0.0
1478755800,0.5,8.4,,0.1
1478759400,,,170.1,0.0
1478763000,0.8,10.1,166.4,
1478766600,1.9,18.1,207.3,0.1
1478770200,2.6,22.5,227.9,0.1
1478773800,3.7,23.9,228.1,0.1
1478777400,9.1,33.8,258.1,0.4
1478781000,27.4,55.6,358.1,0.8
1478784600,23.8,47.1,355.8,0.8
1478788200,12.0,27.6,253.8,0.6
1478791800,6.3,16.4,207.9,0.5
1478795400,3.2,9.7,181.6,0.4
1478799000,3.3,10.5,190.2,0.6
1478802600,3.0,10.3,178.9,1.0
1478806200,,,175.9,1.3
1478809800,2.1,10.4,187.3,1.0
1478813400,1.0,9.9,181.4,0.3
1478817000,0.6,12.1,216.2,0.2
1478820600,0.6,10.5,200.1,0.2
1478824200,0.7,10.9,186.0,0.6
1478827800,0.6,10.3,181.8,0.8
1478831400,0.5,10.3,181.8,1.0
1478835000,0.4,9.8,173.7,0.9
1478838600,0.4,9.4,156.2,1.0
1478842200,0.4,9.8,,1.4
1478845800,,,162.4,1.7
1478849400,0.5,8.9,157.5,
1478853000,0.4,7.7,158.5,1.5
1478856600,0.5,9.3,163.7,1.1
1478860200,0.9,13.2,169.1,0.7
1478863800,1.0,13.5,175.8,0.6
1478867400,2.3,14.6,197.4,0.6
1478871000,3.9,15.1,202.1,0.9
1478874600,3.6,11.8,183.2,1.4
1478878200,2.0,6.3,136.9,0.7
1478881800,1.7,4.9,128.4,0.2
1478885400,1.9,5.8,135.0,0.1
1478889000,1.5,4.1,122.4,0.0
1478892600,1.4,5.0,133.3,0.0
1478896200,0.8,3.1,127.0,0.0
1478899800,0.5,3.0,138.4,0.0
1478903400,0.5,5.6,152.0,0.0
1478907000,0.5,4.8,140.0,0.3
1478910600,0.4,6.2,149.6,0.8
1478914200,0.3,5.3,144.8,0.5
1478917800,0.2,6.1,152.5,0.2
1478921400,0.2,5.3,148.9,0.1
1478925000,0.2,7.4,174.6,0.0
1478928600,0.3,8.7,,0.0
1478932200,,,187.2,0.0
1478935800,0.4,11.3,221.0,
1478939400,0.2,10.4,185.1,0.0
1478943000,0.5,16.6,223.7,0.0
1478946600,4.2,27.9,302.6,0.0
1478950200,12.0,38.3,350.7,0.0
1478953800,29.7,57.5,352.4,0.3
1478957400,38.3,65.0,358.5,0.6
1478961000,19.1,39.3,279.1,0.4
1478964600,4.0,12.0,175.0,0.2
1478968200,4.4,12.7,179.9,0.3
1478971800,3.7,11.1,173.5,0.5
1478975400,2.0,6.8,147.0,0.4
1478979000,1.6,6.1,154.6,0.5
1478982600,1.0,4.8,158.3,0.6
1478986200,0.6,6.2,164.8,2.7
1478989800,3.1,24.3,269.6,3.3
1478993400,5.6,37.7,396.7,2.0
1478997000,14.5,50.2,465.1,1.4
1479000600,18.2,52.1,506.8,0.9
1479004200,18.5,49.9,598.9,0.7
1479007800,22.7,52.6,654.1,0.6
1479011400,35.9,65.2,776.2,0.7
1479015000,43.8,73.1,,0.8
1479018600,,,773.1,0.9
1479022200,59.8,87.1,843.2,
1479025800,60.0,86.5,803.0,1.0
1479029400,65.0,92.1,778.0,1.1
1479033000,71.9,99.3,807.1,1.2
1479036600,69.8,96.8,868.0,1.2
1479040200,74.4,101.2,843.9,1.2
1479043800,76.3,105.2,849.0,1.3
1479047400,40.3,68.4,529.1,1.1
1479051000,7.2,19.7,234.4,1.3
1479054600,4.1,12.6,212.6,1.3
1479058200,3.1,10.5,207.2,1.1
1479061800,1.8,7.4,200.4,0.9
1479065400,1.3,6.6,202.2,0.6
1479069000,1.0,7.5,212.6,0.4
1479072600,0.7,11.1,242.2,0.3
1479076200,1.0,25.9,369.2,0.4
1479079800,16.8,56.3,462.2,0.5
1479083400,19.9,56.6,661.6,0.7
1479087000,29.8,66.7,692.6,0.7
1479090600,40.6,75.7,740.5,0.8
1479094200,38.8,74.4,681.6,0.7
1479097800,31.7,62.9,610.2,0.5
1479101400,42.1,72.4,,0.7
1479105000,,,819.0,0.7
1479108600,38.4,65.2,788.8,
1479112200,41.6,67.9,856.2,0.7
1479115800,56.1,83.2,945.0,0.9
1479119400,69.5,97.5,1114.5,1.1
1479123000,72.7,102.1,1205.8,1.3
1479126600,91.2,121.2,1186.4,1.5
1479130200,116.2,149.6,1359.2,2.0
1479133800,108.0,148.3,1301.1,3.3
1479137400,39.7,72.1,532.1,2.2
1479141000,13.1,33.3,297.8,2.9
1479144600,8.7,27.4,286.7,3.5
1479148200,3.7,17.1,235.4,1.7
1479151800,3.1,17.9,227.8,1.9
1479155400,2.0,14.4,240.1,1.1
1479159000,2.6,22.8,296.3,0.7
1479162600,7.2,40.5,415.7,0.9
1479166200,37.4,79.9,774.6,1.5
1479169800,53.8,94.2,843.4,1.7
1479173400,42.3,81.6,716.4,1.4
1479177000,32.4,69.4,610.2,1.1
1479180600,34.9,69.4,629.4,1.1
1479184200,36.7,70.1,654.0,1.0
1479187800,39.5,71.3,,1.0
1479191400,,,777.6,0.9
1479195000,47.3,78.5,726.3,
1479198600,45.5,74.4,668.9,1.1
1479202200,41.8,70.2,708.5,1.0
1479205800,50.9,78.0,746.5,1.1
1479209400,55.9,83.0,743.0,1.1
1479213000,86.5,114.9,956.3,1.6
1479216600,75.0,102.0,944.9,1.5
1479220200,95.1,128.4,1141.7,2.5
1479223800,94.9,135.3,1215.8,4.2
1479227400,60.3,104.5,808.3,3.5
1479231000,20.0,52.6,434.7,2.1
1479234600,5.7,24.8,281.0,2.2
1479238200,2.1,15.3,223.7,2.1
1479241800,1.0,12.7,209.6,2.1
1479245400,0.7,14.9,231.6,1.7
1479249000,4.7,41.8,435.8,1.8
1479252600,30.8,79.0,695.3,1.6
1479256200,45.7,88.7,808.5,1.4
1479259800,44.8,84.5,933.7,1.4
1479263400,48.1,86.2,858.4,1.2
1479267000,32.7,70.9,720.8,0.9
1479270600,30.4,67.0,711.7,0.7
1479274200,39.5,75.6,787.7,0.9
1479277800,44.8,79.7,832.8,1.0
1479281400,55.4,89.1,904.7,1.2
1479285000,64.8,98.7,1024.3,1.5
1479288600,70.4,105.7,1191.5,1.6
1479292200,86.4,120.8,1303.8,1.8
1479295800,111.3,146.0,1347.8,2.2
1479299400,165.6,207.8,1483.6,3.2
1479303000,160.5,207.4,1443.5,3.8
1479306600,35.5,72.7,514.3,2.0
1479310200,7.9,30.9,290.5,1.8
1479313800,4.1,19.3,219.4,7.2
1479317400,3.9,17.9,206.3,9.4
1479321000,1.8,12.7,160.2,2.9
1479324600,2.4,13.0,179.4,1.0
1479328200,1.2,10.9,182.0,1.2
1479331800,0.5,9.1,178.1,1.4
1479335400,0.4,13.2,216.9,1.6
1479339000,0.9,17.7,248.2,0.9
1479342600,1.5,18.1,258.8,0.5
1479346200,0.9,16.6,214.5,0.5
1479349800,6.5,36.8,312.6,0.5
1479353400,18.7,49.4,458.4,0.5
1479357000,24.8,49.8,489.8,0.5
1479360600,31.3,53.8,,0.6
1479364200,,,553.5,0.6
1479367800,43.6,62.9,579.5,
1479371400,34.9,53.7,447.5,0.7
1479375000,40.1,58.2,426.4,0.6
1479378600,48.4,66.6,592.1,0.8
1479382200,64.0,84.5,950.6,1.1
1479385800,74.6,96.8,837.6,1.2
1479389400,94.8,119.5,1185.8,1.6
1479393000,88.9,114.6,1200.2,1.5
1479396600,74.3,101.0,1195.3,1.3
1479400200,55.2,83.5,1007.6,1.0
1479403800,31.0,59.8,652.5,2.1
1479407400,9.1,27.9,275.8,3.2
1479411000,3.4,16.5,187.3,1.4
1479414600,3.3,19.2,227.7,1.0
1479418200,3.6,28.4,309.5,1.2
1479421800,18.2,59.9,520.0,1.5
1479425400,18.2,57.3,565.5,1.1
1479429000,21.0,55.6,660.1,1.0
1479432600,24.8,56.1,666.9,0.8
1479436200,33.1,60.3,671.6,0.8
1479439800,38.0,63.7,683.5,0.8
1479443400,36.9,60.6,653.5,0.7
1479447000,39.5,61.1,,0.7
1479450600,,,591.4,0.7
1479454200,43.4,62.0,572.4,
1479457800,39.7,56.3,526.1,0.7
1479461400,39.8,55.5,497.8,0.7
1479465000,48.3,63.5,537.4,0.8
1479468600,66.6,82.8,597.1,1.0
1479472200,82.1,98.9,834.9,1.4
1479475800,83.1,101.9,984.3,1.5
1479479400,83.5,109.3,1245.0,2.2
1479483000,71.5,106.3,1357.9,5.1
1479486600,52.3,95.9,1089.8,5.4
1479490200,21.5,58.8,592.3,2.9
1479493800,1.5,10.7,199.3,1.2
1479497400,1.0,8.3,188.8,0.9
1479501000,0.8,8.8,193.4,0.8
1479504600,0.7,15.2,275.2,0.9
1479508200,0.8,27.0,396.7,1.0
1479511800,7.4,52.8,614.4,1.1
1479515400,5.9,49.2,593.1,1.3
1479519000,12.5,54.1,708.3,1.5
1479522600,15.4,55.6,868.5,2.3
1479526200,22.7,57.9,993.7,1.1
1479529800,21.3,53.7,922.5,0.9
1479533400,26.2,56.9,,1.0
1479537000,,,917.9,1.1
1479540600,30.8,57.7,891.6,
1479544200,24.8,52.8,820.0,0.8
1479547800,5.3,32.9,506.9,0.8
1479551400,0.4,21.9,345.1,1.2
1479555000,0.9,23.2,294.2,1.3
1479558600,1.5,20.8,301.0,1.2
1479562200,14.1,44.7,465.6,1.7
1479565800,2.1,15.0,207.3,1.4
1479569400,1.1,4.9,140.5,0.3
1479573000,1.2,3.6,131.5,0.1
1479576600,1.6,5.5,136.8,0.0
1479580200,1.1,3.3,128.3,0.0
1479583800,1.1,4.0,136.1,0.1
1479587400,1.0,3.7,136.6,0.0
1479591000,0.7,3.4,134.8,0.0
1479594600,0.7,4.6,140.7,0.0
1479598200,0.5,4.1,148.3,0.0
1479601800,0.7,3.6,141.3,0.0
1479605400,0.5,3.1,139.2,0.0
1479609000,0.4,2.9,133.5,0.0
1479612600,0.5,3.3,136.6,0.0
1479616200,0.4,2.8,132.1,0.0
1479619800,0.5,3.4,,0.0
1479623400,,,133.8,0.0
1479627000,0.5,2.9,129.9,
1479630600,0.4,2.8,128.1,0.0
1479634200,0.4,2.1,127.6,0.0
1479637800,0.4,2.1,123.8,0.0
1479641400,0.8,3.0,126.6,0.1
1479645000,0.6,3.3,132.2,0.0
1479648600,0.9,4.2,137.2,0.0
1479652200,1.0,3.7,138.6,0.1
1479655800,1.1,4.0,149.0,0.0
1479659400,1.1,4.2,148.7,0.0
1479663000,1.1,4.3,152.6,0.1
1479666600,1.2,4.5,148.8,0.2
1479670200,0.8,4.4,149.4,0.2
1479673800,0.9,5.1,149.5,0.2
1479677400,0.5,4.4,148.8,0.2
1479681000,0.5,3.6,136.2,0.1
1479684600,0.6,4.2,143.3,0.1
1479688200,0.6,4.3,143.1,0.2
1479691800,0.5,4.1,143.0,0.2
1479695400,0.5,4.8,141.0,0.4
1479699000,0.7,5.4,142.0,0.5
1479702600,0.5,5.1,143.6,0.6
1479706200,0.6,4.4,,0.7
1479709800,,,139.3,0.6
1479713400,0.7,4.8,138.7,
1479717000,0.7,4.9,141.0,0.3
1479720600,0.8,5.4,141.5,0.2
1479724200,0.7,5.1,138.4,0.2
1479727800,1.1,7.4,150.0,0.2
1479731400,1.4,9.5,165.3,0.2
1479735000,2.1,11.1,169.5,0.2
1479738600,2.3,10.7,178.8,0.2
1479742200,2.1,9.5,159.1,0.5
1479745800,2.4,10.3,147.0,0.6
1479749400,2.2,8.3,138.3,0.5
1479753000,1.7,6.6,128.4,0.3
1479756600,2.0,7.1,121.9,0.2
1479760200,1.5,6.2,118.7,0.5
1479763800,0.6,5.3,121.1,1.7
1479767400,0.6,6.0,125.9,0.7
1479771000,0.9,8.4,130.6,0.0
1479774600,0.9,7.9,129.7,0.1
1479778200,1.1,11.2,143.7,0.7
1479781800,0.8,10.3,133.7,0.6
1479785400,0.8,9.8,139.3,0.7
1479789000,1.1,12.1,152.1,0.6
1479792600,1.1,11.3,,0.6
1479796200,,,138.6,0.6
1479799800,1.1,10.0,144.0,
1479803400,1.2,11.6,147.8,0.4
1479807000,2.3,19.1,170.8,0.3
1479810600,4.0,26.9,188.4,0.2
1479814200,4.0,24.9,193.1,0.2
1479817800,4.6,24.9,218.5,0.2
1479821400,9.0,29.0,245.3,0.4
1479825000,10.0,26.5,226.1,0.8
1479828600,4.1,12.7,155.7,0.8
1479832200,2.9,9.5,141.2,0.7
1479835800,2.2,6.5,131.6,0.5
1479839400,2.7,8.7,133.6,1.0
1479843000,3.7,12.8,140.5,2.6
1479846600,2.5,13.8,160.5,4.5
1479850200,1.9,16.6,189.3,4.8
1479853800,1.7,23.1,248.7,1.7
1479857400,6.4,40.1,373.2,1.1
1479861000,34.2,71.9,528.6,1.1
1479864600,40.5,74.3,643.3,0.9
1479868200,40.3,74.1,632.9,0.8
1479871800,37.7,69.9,600.5,0.7
1479875400,40.3,71.5,597.3,0.7
1479879000,44.8,75.6,,0.8
1479882600,,,545.8,0.6
1479886200,39.6,66.9,561.1,
1479889800,46.7,74.2,593.3,0.8
1479893400,44.4,69.5,565.6,0.7
1479897000,50.4,75.6,619.2,0.8
1479900600,65.0,90.4,671.6,1.1
1479904200,80.9,106.8,791.2,1.3
1479907800,76.0,102.6,771.8,1.4
1479911400,49.0,77.0,612.1,1.2
1479915000,26.0,50.7,396.1,1.1
1479918600,9.7,27.3,257.8,2.4
1479922200,5.0,21.3,241.8,2.2
1479925800,10.8,35.0,245.0,9.7
1479929400,10.6,35.6,218.7,11.2
1479933000,4.8,30.4,231.5,8.5
1479936600,15.6,49.7,256.2,15.3
1479940200,17.9,53.0,308.8,17.2
1479943800,14.8,49.5,390.9,10.2
1479947400,13.1,46.3,389.5,6.5
1479951000,13.0,46.3,398.4,4.6
1479954600,22.1,54.6,441.3,3.6
1479958200,23.1,53.8,471.4,2.6
1479961800,23.5,51.8,495.7,2.2
1479965400,27.6,55.7,,2.0
1479969000,,,511.3,2.0
1479972600,30.7,56.4,521.7,
1479976200,32.6,57.6,523.4,1.2
1479979800,25.5,50.9,502.6,0.8
1479983400,24.7,50.9,521.6,0.8
1479987000,34.4,61.9,568.2,1.3
1479990600,16.6,48.7,461.2,1.2
1479994200,8.8,37.7,390.5,0.9
1479997800,6.2,31.3,352.1,0.7
1480001400,3.4,22.3,311.1,0.6
1480005000,2.7,16.6,256.6,0.7
1480008600,1.6,10.8,206.5,0.6
1480012200,2.0,13.3,224.4,0.7
1480015800,1.1,10.5,206.1,0.4
1480019400,1.4,9.7,204.1,0.2
1480023000,1.5,11.7,213.6,0.2
1480026600,1.9,16.1,247.6,0.2
1480030200,1.1,11.2,196.5,0.1
1480033800,1.1,10.3,196.8,0.1
1480037400,0.7,8.3,175.1,0.1
1480041000,0.5,6.4,157.7,0.1
1480044600,0.5,7.3,162.2,0.0
1480048200,0.2,6.5,152.7,0.0
1480051800,0.6,11.5,,0.0
1480055400,,,178.0,0.0
1480059000,3.7,19.9,225.8,
1480062600,14.7,35.7,323.4,0.2
1480066200,8.4,28.9,262.6,0.1
1480069800,1.9,17.2,185.8,0.0
1480073400,1.0,12.8,162.2,0.0
1480077000,1.2,11.8,168.5,0.0
1480080600,2.7,11.8,157.3,0.0
1480084200,1.4,6.9,,
1480087800,1.2,5.7,138.9,
1480091400,1.1,5.2,144.8,0.1
1480095000,0.9,5.3,146.8,0.1
1480098600,1.0,6.0,146.5,0.2
1480102200,1.0,6.1,156.6,0.1
1480105800,1.0,6.3,154.4,0.0
1480109400,0.7,6.3,150.8,0.0
1480113000,0.7,7.3,161.5,0.0
1480116600,0.7,8.2,171.7,0.0
1480120200,0.8,7.8,169.8,0.1
1480123800,0.5,6.8,161.2,0.0
1480127400,0.6,5.8,161.9,0.0
1480131000,0.6,5.4,162.8,0.0
1480134600,0.7,5.1,163.1,0.0
1480138200,0.9,6.1,,0.0
1480141800,,,164.8,0.0
1480145400,0.9,6.2,166.6,
1480149000,1.1,7.8,175.3,0.0
1480152600,1.4,7.8,171.9,-0.1
1480156200,2.0,10.6,172.9,0.0
1480159800,1.7,9.3,172.8,0.0
1480163400,1.8,9.6,177.4,0.0
1480167000,1.8,9.4,174.8,0.0
1480170600,1.9,9.8,179.1,0.0
1480174200,2.4,9.0,174.2,0.0
1480177800,2.2,9.4,177.4,0.0
1480181400,1.9,8.1,175.5,0.0
