EpochTime,3.feed_3506.PM2_5,3.feed_3506.OZONE
1477891800,8.0,26.0
1477895400,8.0,25.0
1477899000,8.0,23.0
1477902600,7.0,24.0
1477906200,6.0,26.0
1477909800,4.0,13.0
1477913400,2.0,9.0
1477917000,7.0,6.0
1477920600,7.0,14.0
1477924200,4.0,
1477927800,1.0,27.0
1477931400,0.0,32.0
1477935000,2.0,31.0
1477938600,2.0,32.0
1477942200,1.0,36.0
1477945800,2.0,35.0
1477949400,1.0,34.0
1477953000,1.0,27.0
1477956600,11.0,12.0
1477960200,14.0,5.0
1477963800,11.0,2.0
1477967400,12.0,1.0
1477971000,11.0,0.0
1477974600,16.0,0.0
1477978200,11.0,0.0
1477981800,10.0,1.0
1477985400,10.0,0.0
1477989000,8.0,0.0
1477992600,9.0,0.0
1477996200,6.0,1.0
1477999800,7.0,1.0
1478003400,8.0,1.0
1478007000,8.0,2.0
1478010600,13.0,4.0
1478014200,10.0,6.0
1478017800,17.0,6.0
1478021400,19.0,9.0
1478025000,18.0,31.0
1478028600,17.0,42.0
1478032200,13.0,48.0
1478035800,16.0,50.0
1478039400,14.0,41.0
1478043000,15.0,41.0
1478046600,18.0,33.0
1478050200,14.0,13.0
1478053800,17.0,4.0
1478057400,16.0,1.0
1478061000,17.0,1.0
1478064600,22.0,1.0
1478068200,17.0,1.0
1478071800,17.0,1.0
1478075400,19.0,0.0
1478079000,19.0,1.0
1478082600,16.0,1.0
1478086200,25.0,1.0
1478089800,28.0,1.0
1478093400,31.0,1.0
1478097000,36.0,4.0
1478100600,23.0,27.0
1478104200,20.0,42.0
1478107800,15.0,56.0
1478111400,17.0,60.0
1478115000,6.0,59.0
1478118600,15.0,60.0
1478122200,14.0,52.0
1478125800,12.0,40.0
1478129400,19.0,26.0
1478133000,17.0,26.0
1478136600,20.0,15.0
1478140200,16.0,15.0
1478143800,19.0,4.0
1478147400,20.0,1.0
1478151000,19.0,4.0
1478154600,18.0,18.0
1478158200,16.0,31.0
1478161800,15.0,38.0
1478165400,9.0,41.0
1478169000,12.0,36.0
1478172600,10.0,34.0
1478176200,7.0,29.0
1478179800,8.0,30.0
1478183400,7.0,28.0
1478187000,10.0,24.0
1478190600,8.0,27.0
1478194200,6.0,24.0
1478197800,1.0,23.0
1478201400,1.0,
1478205000,2.0,28.0
1478208600,1.0,32.0
1478212200,2.0,30.0
1478215800,3.0,25.0
1478219400,4.0,24.0
1478223000,6.0,28.0
1478226600,7.0,26.0
1478230200,5.0,25.0
1478233800,6.0,22.0
1478237400,4.0,21.0
1478241000,0.0,18.0
1478244600,2.0,16.0
1478248200,2.0,14.0
1478251800,3.0,6.0
1478255400,3.0,3.0
1478259000,5.0,1.0
1478262600,7.0,3.0
1478266200,10.0,10.0
1478269800,6.0,19.0
1478273400,2.0,23.0
1478277000,0.0,26.0
1478280600,4.0,28.0
1478284200,5.0,28.0
1478287800,1.0,31.0
1478291400,2.0,32.0
1478295000,3.0,33.0
1478298600,2.0,27.0
1478302200,6.0,23.0
1478305800,10.0,7.0
