EpochTime,3.feed_1.PM25B_UG_M3..3.feed_1.PM25T_UG_M3..3.feed_1.PM25_640_UG_M3
1477891800,6.0
1477895400,4.0
1477899000,3.0
1477902600,2.0
1477906200,3.0
1477909800,3.0
1477913400,1.0
1477917000,3.0
1477920600,4.0
1477924200,3.0
1477927800,1.0
1477931400,0.0
1477935000,4.0
1477938600,6.0
1477942200,4.0
1477945800,4.0
1477949400,2.0
1477953000,0.0
1477956600,-2.0
1477960200,6.0
1477963800,20.0
1477967400,16.0
1477971000,8.0
1477974600,6.0
1477978200,4.0
1477981800,5.0
1477985400,5.0
1477989000,6.0
1477992600,3.0
1477996200,6.0
1477999800,16.0
1478003400,8.0
1478007000,14.0
1478010600,16.0
1478014200,23.0
1478017800,18.0
1478021400,11.0
1478025000,11.0
1478028600,13.0
1478032200,8.0
1478035800,7.0
1478039400,7.0
1478043000,12.0
1478046600,11.0
1478050200,12.0
1478053800,15.0
1478057400,12.0
1478061000,13.0
1478064600,13.0
1478068200,17.0
1478071800,21.0
1478075400,18.0
1478079000,20.0
1478082600,16.0
1478086200,19.0
1478089800,20.0
1478093400,24.0
1478097000,26.0
1478100600,17.0
1478104200,22.0
1478107800,24.0
1478111400,10.0
1478115000,11.0
1478118600,8.0
1478122200,7.0
1478125800,7.0
1478129400,6.0
1478133000,20.0
1478136600,13.0
1478140200,15.0
1478143800,13.0
1478147400,15.0
1478151000,17.0
1478154600,18.0
1478158200,12.0
1478161800,11.0
1478165400,10.0
1478169000,10.0
1478172600,7.0
1478176200,7.0
1478179800,5.0
1478183400,12.0
1478187000,9.0
1478190600,5.0
1478194200,1.0
1478197800,-1.0
1478201400,0.0
1478205000,0.0
1478215800,0.0
1478219400,0.0
1478223000,0.0
1478226600,0.0
1478230200,0.0
1478233800,0.0
1478237400,2.0
1478241000,1.0
1478244600,0.0
1478248200,7.0
1478251800,5.0
1478255400,2.0
1478259000,1.0
1478262600,1.0
1478266200,0.0
1478269800,0.0
1478273400,0.0
1478277000,3.0
1478280600,4.0
1478284200,9.0
1478287800,9.0
1478291400,4.0
1478295000,1.0
1478298600,0.0
1478302200,-2.0
1478305800,7.0
1478309400,23.0
1478313000,14.0
1478316600,9.0
1478320200,14.0
1478323800,12.0
1478327400,10.0
1478331000,9.0
1478334600,12.0
1478338200,10.0
1478341800,12.0
1478345400,9.0
1478349000,12.0
1478352600,12.0
1478356200,31.0
1478359800,21.0
1478363400,11.0
1478367000,5.0
1478370600,0.0
1478374200,1.0
1478377800,0.0
1478381400,0.0
1478385000,5.0
1478388600,5.0
1478392200,4.0
1478395800,4.0
1478399400,9.0
1478403000,11.0
1478406600,16.0
1478410200,12.0
1478413800,12.0
1478417400,9.0
1478421000,9.0
1478424600,8.0
1478428200,6.0
1478431800,9.0
1478435400,10.0
1478439000,12.0
1478442600,15.0
1478446200,16.0
1478449800,23.0
1478453400,15.0
1478457000,4.0
1478460600,2.0
1478464200,0.0
1478467800,1.0
1478471400,2.0
1478475000,6.0
1478478600,4.0
1478482200,5.0
1478485800,8.0
1478489400,13.0
1478493000,9.0
1478496600,9.0
1478500200,15.0
1478503800,13.0
1478507400,12.0
1478511000,10.0
1478514600,9.0
1478518200,6.0
1478521800,19.0
1478525400,18.0
1478529000,27.0
1478532600,20.0
1478536200,17.0
1478539800,16.0
1478543400,6.0
1478547000,4.0
1478550600,2.0
1478554200,3.0
1478557800,0.0
1478561400,0.0
1478565000,3.0
1478568600,9.0
1478572200,11.0
1478575800,10.0
1478579400,10.0
1478583000,7.0
1478586600,9.0
1478590200,11.0
1478593800,9.0
1478597400,3.0
1478601000,8.0
1478604600,13.0
1478608200,14.0
1478611800,25.0
1478615400,27.0
1478619000,16.0
1478622600,20.0
1478626200,13.0
1478629800,21.0
1478633400,18.0
1478637000,16.0
1478640600,19.0
1478644200,23.0
1478647800,22.0
1478651400,21.0
1478655000,28.0
1478658600,32.0
1478662200,25.0
1478665800,34.0
1478669400,27.0
1478673000,21.0
1478676600,17.0
1478680200,13.0
1478683800,7.0
1478687400,1.0
1478691000,3.0
1478694600,4.0
1478698200,4.0
1478701800,2.0
1478705400,1.0
1478709000,1.0
1478712600,0.0
1478716200,1.0
1478719800,1.0
1478723400,-1.0
1478727000,-2.0
1478730600,-1.0
1478734200,-1.0
1478737800,0.0
1478741400,2.0
1478745000,4.0
1478748600,6.0
1478752200,4.0
1478755800,3.0
1478759400,5.0
1478763000,5.0
1478766600,4.0
1478770200,9.0
1478773800,12.0
1478777400,10.0
1478781000,12.0
1478784600,9.0
1478788200,9.0
1478791800,14.0
1478795400,10.0
1478799000,5.0
1478802600,1.0
1478806200,1.0
1478809800,1.0
1478813400,1.0
1478817000,4.0
1478820600,3.0
1478824200,2.0
1478827800,2.0
1478831400,1.0
1478835000,2.0
1478838600,2.0
1478842200,1.0
1478845800,2.0
1478849400,3.0
1478853000,3.0
1478856600,6.0
1478860200,3.0
1478863800,2.0
1478867400,8.0
1478871000,9.0
1478874600,7.0
1478878200,3.0
1478881800,0.0
1478885400,0.0
1478899800,-2.0
1478903400,-1.0
1478907000,2.0
1478910600,3.0
1478914200,3.0
1478917800,5.0
1478921400,13.0
1478925000,9.0
1478928600,5.0
1478932200,3.0
1478935800,7.0
1478939400,7.0
1478943000,3.0
1478946600,17.0
1478950200,9.0
1478953800,5.0
1478957400,8.0
1478961000,15.0
1478964600,7.0
1478968200,5.0
1478971800,7.0
1478975400,5.0
1478979000,2.0
1478982600,5.0
1478986200,7.0
1478989800,5.0
1478993400,3.0
1478997000,5.0
1479000600,3.0
1479004200,9.0
1479007800,7.0
1479011400,20.0
1479015000,20.0
1479018600,17.0
1479022200,21.0
1479025800,16.0
1479029400,18.0
1479033000,15.0
1479036600,12.0
1479040200,12.0
1479043800,11.0
1479047400,9.0
1479051000,11.0
1479054600,13.0
1479058200,7.0
1479061800,3.0
1479065400,2.0
1479069000,1.0
1479072600,1.0
1479076200,3.0
1479079800,5.0
1479083400,6.0
1479087000,9.0
1479090600,13.0
1479094200,15.0
1479097800,15.0
1479101400,10.0
1479105000,8.0
1479108600,12.0
1479112200,15.0
1479115800,16.0
1479119400,17.0
1479123000,12.0
1479126600,23.0
1479130200,24.0
1479133800,25.0
1479137400,26.0
1479141000,15.0
1479144600,9.0
1479148200,6.0
1479151800,4.0
1479155400,2.0
1479159000,1.0
1479162600,8.0
1479166200,8.0
1479169800,7.0
1479173400,8.0
1479177000,11.0
1479180600,14.0
1479184200,12.0
1479187800,12.0
1479191400,14.0
1479195000,16.0
1479198600,13.0
1479202200,11.0
1479205800,14.0
1479209400,14.0
1479213000,14.0
1479216600,18.0
1479220200,33.0
1479223800,30.0
1479227400,17.0
1479231000,14.0
1479234600,12.0
1479238200,9.0
1479241800,10.0
1479245400,10.0
1479249000,12.0
1479252600,11.0
1479256200,16.0
1479259800,16.0
1479263400,15.0
1479267000,19.0
1479270600,21.0
1479274200,16.0
1479277800,17.0
1479281400,18.0
1479285000,20.0
1479288600,23.0
1479292200,21.0
1479295800,18.0
1479299400,18.0
1479303000,18.0
1479306600,28.0
1479310200,22.0
1479313800,21.0
1479317400,20.0
1479321000,12.0
1479324600,16.0
1479328200,12.0
1479331800,14.0
1479335400,13.0
1479339000,16.0
1479342600,18.0
1479346200,19.0
1479349800,21.0
1479353400,19.0
1479357000,16.0
1479360600,22.0
1479364200,16.0
1479367800,27.0
1479371400,19.0
1479375000,18.0
1479378600,17.0
1479382200,18.0
1479385800,23.0
1479389400,23.0
1479393000,22.0
1479396600,34.0
1479400200,48.0
1479403800,47.0
1479407400,24.0
1479411000,19.0
1479414600,13.0
1479418200,13.0
1479421800,15.0
1479425400,19.0
1479429000,17.0
1479432600,19.0
1479436200,22.0
1479439800,24.0
1479443400,26.0
1479447000,22.0
1479450600,23.0
1479454200,26.0
1479457800,27.0
1479461400,23.0
1479465000,24.0
1479468600,22.0
1479472200,25.0
1479475800,34.0
1479486600,25.0
1479490200,14.0
1479493800,14.0
1479497400,9.0
1479501000,12.0
1479504600,10.0
1479508200,12.0
1479511800,14.0
1479515400,15.0
1479519000,12.0
1479522600,20.0
1479526200,36.0
1479529800,55.0
1479533400,33.0
1479537000,35.0
1479540600,30.0
1479544200,17.0
1479547800,9.0
1479551400,10.0
1479555000,8.0
1479558600,6.0
1479562200,10.0
1479565800,7.0
1479569400,0.0
1479583800,0.0
1479587400,2.0
1479591000,2.0
1479594600,1.0
1479598200,1.0
1479601800,1.0
1479605400,0.0
1479609000,0.0
1479612600,0.0
1479616200,0.0
1479619800,3.0
1479623400,3.0
1479627000,2.0
1479630600,3.0
1479634200,3.0
1479637800,2.0
1479641400,2.0
1479645000,2.0
1479648600,4.0
1479652200,7.0
1479655800,4.0
1479659400,2.0
1479663000,2.0
1479666600,1.0
1479670200,2.0
1479673800,2.0
1479677400,0.0
1479681000,2.0
1479684600,3.0
1479688200,1.0
1479691800,0.0
1479695400,3.0
1479699000,3.0
1479702600,2.0
1479706200,2.0
1479709800,2.0
1479713400,4.0
1479717000,3.0
1479720600,7.0
1479724200,2.0
1479727800,0.0
1479731400,0.0
1479735000,0.0
1479738600,2.0
1479742200,1.0
1479745800,2.0
1479749400,3.0
1479753000,3.0
1479756600,2.0
1479760200,4.0
1479763800,3.0
1479767400,1.0
1479771000,1.0
1479774600,2.0
1479778200,5.0
1479781800,7.0
1479785400,4.0
1479789000,5.0
1479792600,5.0
1479796200,11.0
1479799800,8.0
1479803400,8.0
1479807000,5.0
1479810600,8.0
1479814200,8.0
1479817800,12.0
1479821400,11.0
1479825000,10.0
1479828600,6.0
1479832200,1.0
1479835800,15.0
1479839400,2.0
1479843000,4.0
1479846600,5.0
1479850200,4.0
1479853800,3.0
1479857400,7.0
1479861000,5.0
1479864600,7.0
1479868200,10.0
1479871800,12.0
1479875400,9.0
1479879000,11.0
1479882600,14.0
1479886200,14.0
1479889800,14.0
1479893400,14.0
1479897000,13.0
1479900600,15.0
1479904200,16.0
1479907800,15.0
1479911400,38.0
1479915000,23.0
1479918600,22.0
1479922200,10.0
1479925800,12.0
1479929400,7.0
1479933000,10.0
1479936600,9.0
1479940200,10.0
1479943800,9.0
1479947400,10.0
1479951000,12.0
1479954600,10.0
1479958200,10.0
1479961800,13.0
1479965400,15.0
1479969000,15.0
1479972600,12.0
1479976200,15.0
1479979800,17.0
1479983400,16.0
1479987000,17.0
1479990600,21.0
1479994200,26.0
1479997800,19.0
1480001400,16.0
1480005000,18.0
1480008600,14.0
1480012200,11.0
1480015800,8.0
1480019400,5.0
1480023000,7.0
1480026600,5.0
1480030200,3.0
1480033800,5.0
