EpochTime,3.feed_26.PM10B_UG_M3..3.feed_59665.PM10_640_UG_M3
1477891800,13.0
1477895400,7.0
1477899000,2.0
1477902600,4.0
1477906200,5.0
1477909800,6.0
1477913400,10.0
1477917000,12.0
1477920600,9.0
1477924200,7.0
1477927800,5.0
1477931400,5.0
1477935000,4.0
1477938600,2.0
1477942200,2.0
1477945800,5.0
1477949400,2.0
1477953000,0.0
1477956600,8.0
1477960200,17.0
1477963800,18.0
1477967400,15.0
1477971000,13.0
1477974600,19.0
1477978200,18.0
1477981800,14.0
1477985400,17.0
1477989000,14.0
1477992600,17.0
1477996200,17.0
1477999800,16.0
1478003400,17.0
1478007000,21.0
1478010600,22.0
1478014200,32.0
1478017800,63.0
1478021400,54.0
1478025000,37.0
1478028600,23.0
1478032200,29.0
1478035800,28.0
1478039400,28.0
1478043000,30.0
1478046600,26.0
1478050200,28.0
1478053800,29.0
1478057400,18.0
1478061000,26.0
1478064600,20.0
1478068200,26.0
1478071800,28.0
1478075400,27.0
1478079000,23.0
1478082600,28.0
1478086200,42.0
1478089800,37.0
1478093400,74.0
1478097000,71.0
1478100600,42.0
1478104200,26.0
1478107800,29.0
1478111400,27.0
1478115000,25.0
1478118600,23.0
1478122200,22.0
1478125800,36.0
1478129400,29.0
1478133000,28.0
1478136600,32.0
1478140200,27.0
1478143800,29.0
1478147400,28.0
1478151000,28.0
1478154600,26.0
1478158200,30.0
1478161800,15.0
1478165400,19.0
1478169000,12.0
1478172600,8.0
1478176200,10.0
1478179800,11.0
1478183400,12.0
1478187000,11.0
1478190600,9.0
1478194200,3.0
1478197800,2.0
1478201400,3.0
1478205000,2.0
1478208600,1.0
1478212200,1.0
1478215800,5.0
1478219400,5.0
1478223000,13.0
1478226600,7.0
1478230200,6.0
1478233800,7.0
1478237400,5.0
1478241000,8.0
1478244600,6.0
1478248200,8.0
1478251800,9.0
1478255400,10.0
1478259000,15.0
1478262600,15.0
1478266200,13.0
1478269800,10.0
1478273400,6.0
1478277000,8.0
1478280600,7.0
1478284200,5.0
1478287800,10.0
1478291400,8.0
1478295000,7.0
1478298600,7.0
1478302200,12.0
1478305800,17.0
1478309400,23.0
1478313000,18.0
1478316600,25.0
1478320200,25.0
1478323800,21.0
1478327400,20.0
1478331000,22.0
1478334600,17.0
1478338200,16.0
1478341800,17.0
1478345400,18.0
1478539800,10.0
1478543400,10.0
1478547000,10.0
1478550600,8.0
1478554200,14.0
1478557800,13.0
1478561400,24.0
1478565000,17.0
1478572200,17.0
1478575800,17.0
1478579400,12.0
1478583000,11.0
