EpochTime,3.feed_26.PM25B_UG_M3..3.feed_26.PM25T_UG_M3..3.feed_59665.PM25_640_UG_M3
1477891800,8.0
1477895400,8.0
1477899000,8.0
1477902600,7.0
1477906200,6.0
1477909800,4.0
1477913400,2.0
1477917000,7.0
1477920600,7.0
1477924200,4.0
1477927800,1.0
1477931400,0.0
1477935000,2.0
1477938600,2.0
1477942200,1.0
1477945800,2.0
1477949400,1.0
1477953000,1.0
1477956600,11.0
1477960200,14.0
1477963800,11.0
1477967400,12.0
1477971000,11.0
1477974600,16.0
1477978200,11.0
1477981800,10.0
1477985400,10.0
1477989000,8.0
1477992600,9.0
1477996200,6.0
1477999800,7.0
1478003400,8.0
1478007000,8.0
1478010600,13.0
1478014200,10.0
1478017800,17.0
1478021400,19.0
1478025000,18.0
1478028600,17.0
1478032200,13.0
1478035800,16.0
1478039400,14.0
1478043000,15.0
1478046600,18.0
1478050200,14.0
1478053800,17.0
1478057400,16.0
1478061000,17.0
1478064600,22.0
1478068200,17.0
1478071800,17.0
1478075400,19.0
1478079000,19.0
1478082600,16.0
1478086200,25.0
1478089800,28.0
1478093400,31.0
1478097000,36.0
1478100600,23.0
1478104200,20.0
1478107800,15.0
1478111400,17.0
1478115000,6.0
1478118600,15.0
1478122200,14.0
1478125800,12.0
1478129400,19.0
1478133000,17.0
1478136600,20.0
1478140200,16.0
1478143800,19.0
1478147400,20.0
1478151000,19.0
1478154600,18.0
1478158200,16.0
1478161800,15.0
1478165400,9.0
1478169000,12.0
1478172600,10.0
1478176200,7.0
1478179800,8.0
1478183400,7.0
1478187000,10.0
1478190600,8.0
1478194200,6.0
1478197800,1.0
1478201400,1.0
1478205000,2.0
1478208600,1.0
1478212200,2.0
1478215800,3.0
1478219400,4.0
1478223000,6.0
1478226600,7.0
1478230200,5.0
1478233800,6.0
1478237400,4.0
1478241000,0.0
1478244600,2.0
1478248200,2.0
1478251800,3.0
1478255400,3.0
1478259000,5.0
1478262600,7.0
1478266200,10.0
1478269800,6.0
1478273400,2.0
1478277000,0.0
1478280600,4.0
1478284200,5.0
1478287800,1.0
1478291400,2.0
1478295000,3.0
1478298600,2.0
1478302200,6.0
1478305800,10.0
1478309400,16.0
1478313000,13.0
1478316600,17.0
1478320200,22.0
1478323800,17.0
1478327400,18.0
1478331000,13.0
1478334600,17.0
1478338200,14.0
1478341800,16.0
1478345400,13.0
1478349000,14.0
1478352600,17.0
1478356200,16.0
1478359800,7.0
1478363400,5.0
1478367000,4.0
1478370600,4.0
1478374200,2.0
1478377800,3.0
1478381400,6.0
1478385000,5.0
1478388600,8.0
1478392200,12.0
1478395800,13.0
1478399400,14.0
1478403000,13.0
1478406600,12.0
1478410200,13.0
1478413800,15.0
1478417400,15.0
1478421000,14.0
1478424600,13.0
1478428200,13.0
1478431800,17.0
1478435400,16.0
1478439000,18.0
1478442600,17.0
1478446200,23.0
1478449800,18.0
1478453400,19.0
1478457000,12.0
1478460600,8.0
1478464200,7.0
1478467800,6.0
1478471400,11.0
1478475000,16.0
1478478600,20.0
1478482200,21.0
1478485800,24.0
1478489400,17.0
1478493000,14.0
1478496600,16.0
1478500200,11.0
1478503800,13.0
1478507400,14.0
1478511000,12.0
1478514600,13.0
1478518200,13.0
1478521800,15.0
1478525400,17.0
1478529000,18.0
1478532600,12.0
1478536200,15.0
1478539800,5.0
1478543400,8.0
1478547000,5.0
1478550600,2.0
1478554200,6.0
1478557800,7.0
1478561400,5.0
1478565000,10.0
1478568600,11.0
1478572200,9.0
1478575800,8.0
1478579400,13.0
1478583000,10.0
1478586600,6.0
1478590200,14.0
1478593800,11.0
1478597400,8.0
1478601000,7.0
1478604600,13.0
1478608200,10.0
1478611800,15.0
1478615400,21.0
1478619000,29.0
1478622600,18.0
1478626200,23.0
1478629800,25.0
1478633400,23.0
1478637000,22.0
1478640600,26.0
1478644200,26.0
1478647800,22.0
1478651400,24.0
1478655000,31.0
1478658600,27.0
1478662200,37.0
1478665800,40.0
1478669400,32.0
1478673000,28.0
1478676600,24.0
1478680200,18.0
1478683800,14.0
1478687400,10.0
1478691000,9.0
1478694600,12.0
1478698200,8.0
1478701800,6.0
1478705400,7.0
1478709000,4.0
1478712600,5.0
1478716200,5.0
1478719800,3.0
1478723400,5.0
1478727000,5.0
1478730600,4.0
1478734200,5.0
1478737800,5.0
1478741400,5.0
1478745000,7.0
1478748600,5.0
1478752200,7.0
1478755800,8.0
1478759400,4.0
1478763000,5.0
1478766600,7.0
1478770200,11.0
1478773800,7.0
1478777400,11.0
1478781000,14.0
1478784600,12.0
1478788200,8.0
1478791800,7.0
1478795400,6.0
1478799000,7.0
1478802600,7.0
1478806200,8.0
1478809800,8.0
1478813400,6.0
1478817000,4.0
1478820600,4.0
1478824200,6.0
1478827800,9.0
1478831400,5.0
1478835000,8.0
1478838600,7.0
1478845800,3.0
1478849400,3.0
1478853000,7.0
1478856600,8.0
1478860200,6.0
1478863800,7.0
1478867400,10.0
1478871000,8.0
1478874600,9.0
1478878200,7.0
1478881800,5.0
1478885400,3.0
1478889000,3.0
1478892600,5.0
1478896200,3.0
1478899800,4.0
1478903400,6.0
1478907000,9.0
1478910600,8.0
1478914200,9.0
1478917800,8.0
1478921400,8.0
1478925000,7.0
1478932200,10.0
1478935800,11.0
1478939400,8.0
1478943000,9.0
1478946600,7.0
1478950200,7.0
1478953800,10.0
1478957400,12.0
1478961000,12.0
1478964600,7.0
1478968200,4.0
1478971800,2.0
1478975400,2.0
1478979000,4.0
1478982600,5.0
1478986200,6.0
1478989800,9.0
1478993400,12.0
1478997000,13.0
1479000600,15.0
1479004200,19.0
1479007800,23.0
1479011400,23.0
1479018600,19.0
1479022200,25.0
1479025800,23.0
1479029400,21.0
1479033000,24.0
1479036600,23.0
1479040200,18.0
1479043800,20.0
1479047400,18.0
