EpochTime,3.feed_29.PM10_UG_M3
1477891800,8
1477895400,8
1477899000,7
1477902600,4
1477906200,5
1477909800,4
1477913400,5
1477917000,9
1477920600,6
1477924200,1
1477927800,3
1477931400,2
1477935000,0
1477938600,1
1477942200,2
1477945800,3
1477949400,4
1477953000,10
1477956600,18
1477960200,15
1477963800,12
1477967400,9
1477971000,7
1477974600,8
1477978200,9
1477981800,11
1477985400,10
1477989000,8
1477992600,11
1477996200,9
1477999800,8
1478003400,9
1478007000,10
1478010600,15
1478014200,36
1478017800,44
1478021400,35
1478025000,28
1478028600,34
1478032200,28
1478035800,27
1478039400,45
1478043000,63
1478046600,84
1478050200,97
1478053800,126
1478057400,99
1478061000,107
1478064600,117
1478068200,124
1478071800,127
1478075400,107
1478079000,94
1478082600,67
1478086200,57
1478089800,34
1478093400,53
1478097000,56
1478100600,49
1478104200,36
1478107800,25
1478111400,24
1478115000,21
1478118600,23
1478122200,22
1478125800,25
1478129400,47
1478133000,62
1478136600,88
1478140200,85
1478143800,55
1478147400,101
1478151000,88
1478154600,61
1478158200,56
1478161800,44
1478165400,19
1478169000,15
1478172600,22
1478176200,12
1478179800,11
1478183400,10
1478187000,12
1478190600,11
1478194200,9
1478197800,3
1478201400,1
1478205000,2
1478208600,3
1478212200,4
1478215800,5
1478219400,4
1478223000,4
1478226600,4
1478230200,4
1478233800,4
1478237400,5
1478241000,4
1478244600,4
1478248200,3
1478251800,5
1478255400,4
1478259000,5
1478262600,4
1478266200,4
1478269800,2
1478273400,4
1478277000,3
1478280600,1
1478284200,4
1478287800,3
1478291400,4
1478295000,4
1478298600,7
1478302200,10
1478305800,10
1478309400,15
1478313000,71
1478316600,27
1478320200,65
1478323800,85
1478327400,75
1478331000,81
1478334600,71
1478338200,86
1478341800,74
1478345400,66
1478349000,70
1478352600,113
1478356200,37
1478359800,11
1478363400,0
1478367000,0
1478370600,0
1478374200,2
1478377800,4
1478381400,4
1478385000,5
1478388600,6
1478392200,16
1478395800,26
1478399400,68
1478403000,44
1478406600,45
1478410200,75
1478413800,103
1478417400,84
1478421000,74
1478424600,73
1478428200,88
1478431800,98
1478435400,75
1478439000,49
1478442600,47
1478446200,27
1478449800,15
1478453400,0
1478457000,4
1478460600,7
1478464200,8
1478467800,7
1478471400,9
1478475000,14
1478478600,97
1478482200,91
1478485800,109
1478489400,46
1478493000,23
1478496600,19
1478500200,18
1478503800,17
1478507400,17
1478511000,14
1478514600,40
1478518200,48
1478521800,64
1478525400,36
1478529000,12
1478532600,10
1478536200,15
1478539800,-1
1478543400,2
1478547000,1
1478550600,0
1478554200,4
1478557800,3
1478561400,5
1478565000,6
1478568600,27
1478572200,38
1478575800,11
1478579400,11
1478583000,11
1478586600,91
1478590200,95
1478593800,37
1478597400,73
1478601000,101
1478604600,104
1478608200,95
1478611800,83
1478615400,71
1478619000,54
1478622600,26
1478626200,29
1478629800,20
1478633400,22
1478637000,23
1478640600,25
1478644200,25
1478647800,25
1478651400,29
1478655000,33
1478658600,29
1478662200,31
1478665800,29
1478669400,22
1478673000,15
1478676600,12
1478680200,11
1478683800,8
1478687400,4
1478691000,5
1478694600,3
1478698200,9
1478701800,7
1478705400,8
1478709000,4
1478712600,2
1478716200,3
1478719800,2
1478723400,0
1478727000,1
1478730600,0
1478734200,1
1478737800,2
1478741400,5
1478745000,5
1478748600,7
1478752200,7
1478755800,5
1478759400,6
1478763000,6
1478766600,10
1478770200,9
1478773800,19
1478777400,32
1478781000,32
1478784600,31
1478788200,10
1478791800,4
1478795400,2
1478799000,0
1478802600,5
1478806200,4
1478809800,4
1478813400,6
1478817000,6
1478820600,8
1478824200,6
1478827800,8
1478831400,24
1478835000,10
1478838600,6
1478842200,4
1478845800,4
1478849400,6
1478853000,7
1478856600,8
1478860200,8
1478863800,8
1478867400,10
1478871000,10
1478874600,11
1478878200,7
1478881800,4
1478885400,5
1478889000,6
1478892600,5
1478896200,3
1478899800,4
1478903400,6
1478907000,5
1478910600,9
1478914200,10
1478917800,7
1478921400,6
1478925000,6
1478928600,6
1478932200,5
1478935800,6
1478939400,6
1478943000,7
1478946600,4
1478950200,6
1478953800,24
1478957400,42
1478961000,7
1478964600,4
1478968200,2
1478971800,3
1478975400,2
1478979000,3
1478982600,4
1478986200,7
1478989800,7
1478993400,7
1478997000,29
1479000600,78
1479004200,95
1479007800,89
1479011400,75
1479015000,48
1479018600,54
1479022200,58
1479025800,66
1479029400,118
1479033000,77
1479036600,80
1479040200,67
1479043800,97
1479047400,60
1479051000,11
1479054600,-1
1479058200,-1
1479061800,1
1479065400,2
1479069000,2
1479072600,7
1479076200,10
1479079800,65
1479083400,131
1479087000,98
1479090600,137
1479094200,89
1479097800,118
1479101400,76
1479105000,63
1479108600,82
1479112200,63
1479115800,70
1479119400,72
1479123000,40
1479126600,65
1479130200,130
1479133800,76
1479137400,33
1479141000,11
1479144600,8
1479148200,7
1479151800,5
1479155400,9
1479159000,8
1479162600,12
1479166200,19
1479169800,52
1479173400,85
1479177000,49
1479180600,33
1479184200,33
1479187800,69
1479191400,58
1479195000,25
1479198600,39
1479202200,105
1479205800,95
1479209400,85
1479213000,79
1479216600,90
1479220200,94
1479223800,48
1479227400,31
1479231000,15
1479234600,5
1479238200,9
1479245400,9
1479249000,13
1479252600,33
1479256200,138
1479259800,130
1479263400,133
1479267000,106
1479270600,105
1479274200,72
1479277800,96
1479281400,93
1479285000,91
1479288600,89
1479292200,91
1479295800,78
1479299400,75
1479303000,46
1479306600,37
1479310200,26
1479313800,22
1479317400,19
1479321000,22
1479324600,20
1479328200,17
1479331800,17
1479335400,18
1479339000,18
1479342600,18
1479346200,19
1479349800,19
1479353400,20
1479357000,94
1479360600,92
1479364200,73
1479367800,55
1479371400,89
1479375000,55
1479378600,44
1479382200,68
1479385800,48
1479389400,49
1479393000,45
1479396600,25
1479400200,12
1479403800,23
1479407400,25
1479411000,15
1479414600,20
1479418200,18
1479421800,19
1479425400,16
1479429000,26
1479432600,36
1479436200,24
1479439800,30
1479443400,54
1479447000,25
1479450600,21
1479454200,22
1479457800,24
1479461400,20
1479465000,45
1479468600,27
1479472200,110
1479475800,116
1479479400,80
1479483000,54
1479486600,38
1479490200,28
1479493800,27
1479497400,21
1479501000,23
1479504600,25
1479508200,20
1479511800,18
1479515400,37
1479519000,45
1479522600,37
1479526200,37
1479529800,30
1479533400,55
1479537000,154
1479540600,69
1479544200,51
1479547800,49
1479551400,40
1479555000,61
1479558600,31
1479562200,35
1479565800,44
1479569400,7
1479573000,1
1479576600,1
1479580200,-1
1479583800,0
1479587400,1
1479591000,1
1479594600,6
1479598200,0
1479601800,1
1479605400,1
1479609000,0
1479612600,2
1479616200,0
1479619800,2
1479623400,2
1479627000,7
1479630600,0
1479634200,1
1479637800,6
1479641400,7
1479645000,2
1479648600,0
1479652200,5
1479655800,4
1479659400,1
1479663000,0
1479666600,4
1479670200,6
1479673800,4
1479677400,4
1479681000,2
1479684600,4
1479688200,5
1479691800,5
1479695400,0
1479699000,3
1479702600,5
1479706200,4
1479709800,2
1479713400,2
1479717000,7
1479720600,3
1479724200,0
1479727800,3
1479731400,6
1479735000,3
1479738600,1
1479742200,5
1479745800,3
1479749400,3
1479753000,2
1479756600,6
1479760200,5
1479763800,7
1479767400,4
1479771000,4
1479774600,7
1479778200,6
1479781800,5
1479785400,3
1479789000,6
1479792600,7
1479796200,5
1479799800,4
1479803400,6
1479807000,9
1479810600,4
1479814200,8
1479817800,9
1479821400,5
1479825000,8
1479828600,6
1479832200,3
1479835800,6
1479839400,5
1479843000,8
1479846600,6
1479850200,8
1479853800,12
1479857400,18
1479861000,21
1479864600,18
1479868200,27
1479871800,75
1479875400,73
1479879000,49
1479882600,20
1479886200,24
1479889800,26
1479893400,18
1479897000,17
1479900600,14
1479904200,15
1479907800,12
1479911400,11
1479915000,13
1479918600,15
1479922200,13
1479925800,11
1479929400,10
1479933000,11
1479936600,14
1479940200,21
1479943800,22
1479947400,19
1479951000,20
1479954600,21
1479958200,19
1479961800,18
1479965400,23
1479969000,34
1479972600,46
1479976200,51
1479979800,24
1479983400,50
1479987000,69
1479990600,48
1479994200,37
1479997800,29
1480001400,25
1480005000,15
1480008600,11
1480012200,8
1480015800,10
1480019400,8
1480023000,5
1480026600,4
1480030200,5
1480033800,3
1480037400,3
1480041000,2
1480044600,2
1480048200,2
1480051800,1
1480055400,4
1480059000,11
1480062600,5
1480066200,3
1480069800,4
1480073400,3
1480077000,9
1480080600,6
1480084200,5
1480087800,1
1480091400,0
1480095000,5
1480098600,3
1480102200,3
1480105800,8
1480109400,4
1480113000,9
1480116600,7
1480120200,7
1480123800,8
1480127400,5
1480131000,5
1480134600,5
1480138200,5
1480141800,0
1480145400,5
1480149000,3
1480152600,4
1480156200,0
1480159800,4
1480163400,5
1480167000,6
1480170600,7
1480174200,5
1480177800,6
1480181400,5
1480185000,2
1480188600,4
1480192200,2
1480195800,6
1480199400,4
1480203000,7
1480206600,7
1480210200,3
1480213800,7
1480217400,6
1480221000,7
1480224600,2
1480228200,5
1480231800,5
1480235400,4
1480239000,3
1480242600,6
1480246200,9
1480249800,45
1480253400,45
1480257000,11
1480260600,2
1480264200,4
1480267800,3
1480271400,6
1480275000,9
1480278600,9
1480282200,11
1480285800,10
1480289400,7
1480293000,10
1480296600,12
1480300200,9
1480303800,8
1480307400,14
1480311000,14
1480314600,14
1480318200,9
1480321800,7
1480325400,13
1480329000,18
1480332600,39
1480336200,58
1480339800,37
1480343400,28
1480347000,11
1480350600,41
1480354200,21
1480357800,12
1480361400,9
1480365000,15
1480368600,21
1480372200,15
1480375800,17
1480379400,13
1480383000,16
1480386600,16
1480390200,15
1480393800,15
1480397400,14
1480401000,15
1480404600,6
1480408200,17
1480411800,6
1480415400,5
1480419000,7
1480422600,8
1480426200,8
1480429800,34
1480433400,42
1480437000,28
1480440600,11
1480444200,4
1480447800,4
1480451400,10
1480455000,13
1480458600,8
1480462200,14
1480465800,101
1480469400,89
1480473000,61
1480476600,15
1480480200,29
1480483800,44
1480487400,9
1480491000,18
1480494600,7
1480498200,7
1480501800,53
1480505400,25
1480509000,10
1480512600,8
1480516200,5
1480519800,5
1480523400,15
1480527000,15
1480530600,9
1480534200,7
1480537800,13
1480541400,10
1480545000,5
1480548600,16
1480552200,17
1480555800,7
1480559400,3
1480563000,6
1480566600,3
1480570200,6
1481059800,5
1481063400,2
1481067000,2
1481070600,4
1481074200,2
1481077800,5
1481081400,10
1481085000,17
1481088600,4
1481092200,10
1481095800,7
1481099400,9
1481103000,12
1481106600,9
1481110200,10
1481113800,12
1481117400,11
1481121000,8
1481124600,8
1481128200,6
1481131800,3
1481135400,7
1481139000,8
1481142600,4
1481146200,7
1481149800,7
1481153400,5
1481157000,6
1481160600,8
1481164200,6
1481167800,6
1481171400,10
1481175000,7
1481178600,7
1481182200,7
1481185800,8
1481189400,7
1481193000,6
1481196600,7
1481200200,8
1481203800,8
1481207400,7
1481211000,8
1481214600,8
1481218200,7
1481221800,6
1481225400,8
1481229000,10
1481232600,8
1481236200,9
1481239800,8
1481243400,8
1481247000,8
1481250600,6
1481254200,5
1481257800,7
1481261400,10
1481265000,6
1481268600,9
1481272200,5
1481275800,8
1481279400,7
1481283000,8
1481286600,9
1481290200,6
1481293800,8
1481297400,9
1481301000,9
1481304600,7
1481308200,9
1481311800,7
1481315400,8
1481319000,9
1481322600,6
1481326200,6
1481329800,6
1481333400,3
1481337000,6
1481340600,7
1481344200,6
1481347800,8
1481351400,5
1481355000,8
1481358600,6
1481362200,9
1481365800,7
1481369400,7
1481373000,7
1481376600,5
1481380200,7
1481383800,5
1481387400,7
1481391000,6
1481394600,6
1481398200,7
1481401800,9
1481405400,6
1481409000,6
1481412600,9
1481416200,8
1481419800,9
1481423400,10
1481427000,12
1481430600,14
1481434200,8
1481437800,11
1481441400,13
1481445000,12
1481448600,11
1481452200,9
1481455800,6
1481459400,7
1481463000,8
1481466600,6
1481470200,7
1481473800,7
1481477400,5
1481481000,6
1481484600,8
1481488200,8
1481491800,9
1481495400,11
1481499000,14
1481502600,10
1481506200,9
1481509800,9
1481513400,9
1481517000,7
1481520600,7
1481524200,6
1481527800,20
1481531400,35
1481535000,10
1481538600,4
1481542200,4
1481545800,5
1481549400,5
1481553000,5
1481556600,7
1481560200,4
1481563800,2
1481567400,6
1481571000,8
1481574600,9
1481578200,9
1481581800,8
1481585400,10
1481589000,9
1481592600,10
1481596200,8
1481599800,9
1481603400,7
1481607000,9
1481610600,9
1481614200,13
1481617800,17
1481621400,26
1481625000,13
1481628600,11
1481632200,16
1481635800,11
1481639400,13
1481643000,18
1481646600,14
1481650200,11
1481653800,11
1481657400,9
1481661000,11
1481664600,10
1481668200,10
1481671800,10
1481675400,10
1481679000,8
1481682600,10
1481686200,11
1481689800,8
1481693400,8
1481697000,8
1481700600,10
1481704200,10
1481707800,10
1481711400,11
1481715000,12
1481718600,13
1481722200,10
1481725800,6
1481729400,7
1481733000,5
1481736600,4
1481740200,5
1481743800,6
1481747400,8
1481751000,7
1481754600,9
1481758200,9
1481761800,6
1481765400,7
1481769000,3
1481772600,4
1481776200,15
1481779800,10
1481783400,14
1481787000,9
1481790600,7
1481794200,14
1481797800,7
1481801400,10
1481805000,10
1481808600,10
1481812200,10
1481815800,9
1481819400,8
1481823000,11
1481826600,8
1481830200,7
1481833800,8
1481837400,9
1481841000,9
1481844600,9
1481848200,11
1481851800,11
1481855400,9
1481859000,11
1481862600,10
1481866200,9
1481869800,10
1481873400,11
1481877000,10
1481880600,10
1481884200,10
1481887800,14
1481891400,14
1481895000,13
1481898600,19
1481902200,14
1481905800,12
1481909400,10
1481913000,12
1481916600,16
1481920200,16
1481923800,18
1481927400,19
1481931000,20
1481934600,17
1481938200,18
1481941800,25
1481945400,17
1481949000,14
1481952600,14
1481956200,9
1481959800,12
1481963400,6
1481967000,6
1481970600,5
1481974200,3
1481977800,5
1481981400,4
1481985000,3
1481988600,4
1481992200,7
1481995800,10
1481999400,27
1482003000,86
1482006600,89
1482010200,46
1482013800,40
1482017400,32
1482021000,31
1482024600,24
1482028200,31
1482031800,18
1482035400,29
1482039000,26
1482042600,20
1482046200,12
1482049800,16
1482053400,1
1482057000,0
1482060600,1
1482064200,6
1482067800,9
1482071400,11
1482075000,10
1482078600,8
1482082200,9
1482085800,8
1482089400,7
1482093000,8
1482096600,9
1482100200,7
1482103800,5
1482107400,9
1482111000,7
1482114600,5
1482118200,4
1482121800,5
1482125400,2
1482129000,5
1482132600,2
1482136200,5
1482139800,3
1482143400,5
1482147000,8
1482150600,8
1482154200,7
1482157800,6
1482161400,4
1482165000,5
1482168600,9
1482172200,11
1482175800,12
1482179400,12
1482183000,13
1482186600,13
1482190200,15
1482193800,16
1482197400,12
1482201000,16
1482204600,29
1482208200,23
1482211800,36
1482215400,62
1482219000,65
1482222600,38
1482226200,37
1482229800,34
1482233400,47
1482237000,30
1482240600,28
1482244200,30
1482247800,38
1482251400,17
1482255000,9
1482258600,10
1482262200,13
1482265800,15
1482269400,19
1482273000,18
1482276600,9
1482280200,20
1482283800,8
1482287400,10
1482291000,10
1482294600,10
1482298200,11
1482301800,10
1482305400,13
1482309000,20
1482312600,27
1482316200,20
1482319800,26
1482323400,19
1482327000,20
1482330600,15
1482334200,10
1482337800,11
1482341400,14
1482345000,16
1482348600,12
1482352200,16
1482355800,16
1482359400,13
1482363000,23
1482366600,29
1482370200,12
1482373800,16
1482377400,29
1482381000,23
1482384600,38
1482388200,48
1482391800,34
1482395400,14
1482399000,8
1482402600,10
1482406200,12
