EpochTime,3.feed_29.PM25_UG_M3..3.feed_29.PM25T_UG_M3
1477891800,8
1477895400,8
1477899000,7
1477902600,4
1477906200,4
1477909800,5
1477913400,5
1477917000,5
1477920600,3
1477924200,2
1477927800,3
1477931400,2
1477935000,0
1477938600,1
1477942200,1
1477945800,2
1477949400,3
1477953000,6
1477956600,7
1477960200,8
1477963800,8
1477967400,5
1477971000,5
1477974600,6
1477978200,7
1477981800,8
1477985400,8
1477989000,6
1477992600,7
1477996200,7
1477999800,6
1478003400,6
1478007000,7
1478010600,9
1478014200,20
1478017800,26
1478021400,19
1478025000,17
1478028600,18
1478032200,15
1478035800,14
1478039400,25
1478043000,34
1478046600,45
1478050200,53
1478053800,64
1478057400,51
1478061000,51
1478064600,54
1478068200,60
1478071800,61
1478075400,53
1478079000,50
1478082600,38
1478086200,34
1478089800,23
1478093400,32
1478097000,33
1478100600,27
1478104200,19
1478107800,13
1478111400,9
1478115000,10
1478118600,11
1478122200,10
1478125800,13
1478129400,25
1478133000,33
1478136600,47
1478140200,52
1478143800,31
1478147400,51
1478151000,47
1478154600,33
1478158200,28
1478161800,25
1478165400,12
1478169000,8
1478172600,9
1478176200,9
1478179800,9
1478183400,9
1478187000,12
1478190600,7
1478194200,6
1478197800,1
1478201400,0
1478205000,3
1478208600,0
1478212200,2
1478215800,3
1478219400,3
1478223000,3
1478226600,3
1478230200,3
1478233800,3
1478237400,3
1478241000,3
1478244600,3
1478248200,3
1478251800,4
1478255400,4
1478259000,3
1478262600,4
1478266200,3
1478269800,3
1478277000,2
1478280600,1
1478284200,3
1478287800,2
1478291400,3
1478295000,3
1478298600,6
1478302200,8
1478305800,8
1478309400,11
1478313000,40
1478316600,18
1478320200,37
1478323800,50
1478327400,42
1478331000,45
1478334600,38
1478338200,41
1478341800,33
1478345400,30
1478349000,29
1478352600,54
1478356200,23
1478359800,7
1478363400,0
1478367000,-1
1478370600,0
1478374200,1
1478377800,2
1478381400,3
1478385000,3
1478388600,4
1478392200,11
1478395800,16
1478399400,39
1478403000,28
1478406600,29
1478410200,48
1478413800,67
1478417400,51
1478421000,46
1478424600,46
1478428200,52
1478431800,52
1478435400,45
1478439000,30
1478442600,28
1478446200,17
1478449800,9
1478453400,0
1478457000,1
1478460600,4
1478464200,5
1478467800,5
1478471400,6
1478475000,11
1478478600,56
1478482200,43
1478485800,51
1478489400,28
1478493000,17
1478496600,15
1478500200,13
1478503800,13
1478507400,13
1478511000,12
1478514600,22
1478518200,29
1478521800,36
1478525400,23
1478529000,8
1478532600,8
1478536200,10
1478539800,-1
1478543400,0
1478547000,0
1478550600,0
1478554200,2
1478557800,2
1478561400,3
1478565000,5
1478568600,13
1478572200,16
1478575800,7
1478579400,8
1478583000,8
1478586600,50
1478590200,53
1478593800,20
1478597400,42
1478601000,58
1478604600,61
1478608200,53
1478611800,45
1478615400,38
1478619000,30
1478622600,12
1478626200,16
1478629800,12
1478633400,15
1478637000,16
1478640600,17
1478644200,17
1478647800,18
1478651400,22
1478655000,26
1478658600,25
1478662200,28
1478665800,27
1478669400,21
1478673000,14
1478676600,12
1478680200,11
1478683800,8
1478687400,4
1478691000,4
1478694600,2
1478698200,4
1478701800,5
1478705400,6
1478709000,4
1478712600,2
1478716200,3
1478719800,1
1478723400,0
1478727000,1
1478730600,1
1478734200,1
1478737800,2
1478741400,3
1478745000,4
1478748600,6
1478752200,6
1478755800,5
1478759400,5
1478763000,5
1478766600,7
1478770200,6
1478773800,12
1478777400,19
1478781000,19
1478784600,19
1478788200,5
1478791800,1
1478795400,0
1478799000,0
1478802600,1
1478806200,0
1478809800,1
1478813400,3
1478817000,4
1478820600,5
1478824200,4
1478827800,5
1478831400,12
1478835000,6
1478838600,5
1478842200,3
1478845800,4
1478849400,5
1478853000,5
1478856600,5
1478860200,6
1478863800,6
1478867400,6
1478871000,7
1478874600,6
1478878200,4
1478881800,2
1478885400,3
1478889000,4
1478892600,4
1478896200,3
1478899800,3
1478903400,4
1478907000,5
1478910600,7
1478914200,6
1478917800,6
1478921400,5
1478925000,5
1478928600,5
1478932200,5
1478935800,6
1478939400,6
1478943000,6
1478946600,5
1478950200,7
1478953800,17
1478957400,24
1478961000,5
1478964600,2
1478968200,1
1478971800,1
1478975400,1
1478979000,2
1478982600,2
1478986200,5
1478989800,5
1478993400,6
1478997000,17
1479000600,46
1479004200,51
1479007800,48
1479011400,41
1479015000,26
1479018600,31
1479022200,34
1479025800,39
1479029400,101
1479033000,43
1479036600,51
1479040200,43
1479043800,63
1479047400,34
1479051000,5
1479054600,0
1479058200,0
1479061800,0
1479065400,0
1479069000,2
1479072600,5
1479076200,7
1479079800,37
1479083400,70
1479087000,54
1479090600,66
1479094200,51
1479097800,68
1479101400,45
1479105000,37
1479108600,42
1479112200,34
1479115800,36
1479119400,42
1479123000,26
1479126600,41
1479130200,79
1479133800,51
1479137400,18
1479141000,6
1479144600,3
1479148200,3
1479151800,4
1479155400,6
1479159000,5
1479162600,8
1479166200,11
1479169800,25
1479173400,41
1479177000,24
1479180600,19
1479184200,21
1479187800,37
1479191400,30
1479195000,18
1479198600,26
1479202200,53
1479205800,47
1479209400,43
1479213000,43
1479216600,48
1479220200,52
1479223800,26
1479227400,20
1479231000,7
1479234600,2
1479238200,5
1479241800,5
1479245400,9
1479249000,8
1479252600,20
1479256200,77
1479259800,66
1479263400,62
1479267000,55
1479270600,50
1479274200,38
1479277800,45
1479281400,48
1479285000,51
1479288600,48
1479292200,44
1479295800,40
1479299400,37
1479303000,23
1479306600,17
1479310200,12
1479313800,9
1479317400,6
1479321000,11
1479324600,12
1479328200,9
1479331800,8
1479335400,9
1479339000,9
1479342600,9
1479346200,10
1479349800,10
1479353400,11
1479357000,45
1479360600,46
1479364200,35
1479367800,25
1479371400,38
1479375000,29
1479378600,25
1479382200,29
1479385800,23
1479389400,25
1479393000,23
1479396600,20
1479400200,10
1479403800,14
1479407400,13
1479411000,7
1479414600,12
1479418200,12
1479421800,11
1479425400,9
1479429000,17
1479432600,23
1479436200,16
1479439800,20
1479443400,31
1479447000,15
1479450600,14
1479454200,15
1479457800,15
1479461400,14
1479465000,26
1479468600,16
1479472200,58
1479475800,61
1479479400,47
1479483000,30
1479486600,19
1479490200,13
1479493800,10
1479497400,10
1479501000,11
1479504600,14
1479508200,10
1479511800,10
1479515400,23
1479519000,28
1479522600,23
1479526200,25
1479529800,21
1479533400,34
1479537000,100
1479540600,38
1479544200,30
1479547800,26
1479551400,24
1479555000,33
1479558600,18
1479562200,21
1479565800,23
1479569400,6
1479573000,0
1479576600,0
1479580200,-2
1479583800,-2
1479587400,0
1479591000,0
1479594600,5
1479598200,0
1479601800,0
1479605400,0
1479609000,0
1479612600,0
1479616200,3
1479619800,1
1479623400,0
1479627000,0
1479630600,0
1479634200,0
1479637800,1
1479641400,3
1479645000,1
1479648600,1
1479652200,2
1479655800,3
1479659400,1
1479663000,1
1479666600,1
1479670200,2
1479673800,2
1479677400,3
1479681000,3
1479684600,2
1479688200,2
1479691800,3
1479695400,2
1479699000,2
1479702600,3
1479706200,3
1479709800,2
1479713400,2
1479717000,3
1479720600,1
1479724200,1
1479727800,2
1479731400,2
1479735000,3
1479738600,2
1479742200,2
1479745800,1
1479749400,0
1479753000,2
1479756600,2
1479760200,2
1479763800,5
1479767400,4
1479771000,3
1479774600,4
1479778200,4
1479781800,3
1479785400,4
1479789000,4
1479792600,4
1479796200,5
1479799800,5
1479803400,5
1479807000,5
1479810600,5
1479814200,6
1479817800,6
1479821400,6
1479825000,5
1479828600,2
1479832200,2
1479835800,2
1479839400,3
1479843000,4
1479846600,4
1479850200,5
1479853800,6
1479857400,10
1479861000,11
1479864600,11
1479868200,18
1479871800,44
1479875400,50
1479879000,30
1479882600,14
1479886200,17
1479889800,18
1479893400,13
1479897000,12
1479900600,12
1479904200,12
1479907800,11
1479911400,7
1479915000,7
1479922200,6
1479925800,5
1479929400,5
1479933000,6
1479936600,6
1479940200,9
1479943800,10
1479947400,8
1479951000,10
1479954600,11
1479958200,11
1479961800,11
1479965400,13
1479969000,22
1479972600,28
1479976200,35
1479979800,18
1479983400,38
1479987000,49
1479990600,33
1479994200,29
1479997800,24
1480001400,19
1480005000,12
1480008600,9
1480012200,7
1480015800,9
1480019400,8
1480023000,5
1480026600,5
1480030200,5
1480033800,4
1480037400,2
1480041000,2
1480044600,2
1480048200,2
1480051800,1
1480055400,4
1480059000,7
1480062600,5
1480066200,3
1480069800,3
1480073400,4
1480077000,4
1480080600,7
1480084200,3
1480087800,2
1480091400,1
1480095000,2
1480098600,3
1480102200,3
1480105800,5
1480109400,5
1480113000,6
1480116600,6
1480120200,6
1480123800,6
1480127400,5
1480131000,4
1480134600,4
1480138200,2
1480141800,3
1480145400,3
1480149000,2
1480152600,3
1480156200,2
1480159800,3
1480163400,4
1480167000,5
1480170600,7
1480174200,6
1480177800,5
1480181400,3
1480185000,3
1480188600,3
1480192200,4
1480195800,5
1480199400,4
1480203000,5
1480206600,5
1480210200,5
1480213800,5
1480217400,5
1480221000,5
1480224600,4
1480228200,4
1480231800,3
1480235400,4
1480239000,5
1480242600,5
1480246200,6
1480249800,30
1480253400,33
1480257000,10
1480260600,3
1480264200,3
1480267800,3
1480271400,4
1480275000,6
1480278600,7
1480282200,10
1480285800,8
1480289400,6
1480293000,7
1480296600,8
1480300200,9
1480303800,9
1480307400,10
1480311000,10
1480314600,11
1480318200,10
1480321800,10
1480325400,10
1480329000,12
1480332600,26
1480336200,40
1480339800,25
1480343400,19
1480347000,9
1480350600,29
1480354200,14
1480357800,8
1480361400,7
1480365000,11
1480368600,17
1480372200,11
1480375800,13
1480379400,10
1480383000,11
1480386600,12
1480390200,10
1480393800,9
1480397400,7
1480401000,6
1480404600,9
1480408200,7
1480411800,6
1480415400,5
1480419000,6
1480422600,7
1480426200,7
1480429800,24
1480433400,29
1480437000,19
1480440600,7
1480444200,4
1480447800,3
1480451400,5
1480455000,8
1480458600,6
1480462200,11
1480465800,62
1480469400,55
1480473000,35
1480476600,10
1480480200,18
1480483800,28
1480487400,6
1480491000,12
1480494600,4
1480498200,5
1480501800,32
1480505400,13
1480509000,6
1480512600,5
1480516200,3
1480519800,2
1480523400,9
1480527000,9
1480530600,5
1480534200,4
1480537800,8
1480541400,4
1480545000,3
1480548600,9
1480552200,10
1480555800,4
1480559400,4
1480563000,6
1480566600,4
1480570200,5
1480573800,5
1480577400,4
1480581000,3
1480584600,5
1480588200,5
1480591800,5
1480595400,3
1480599000,4
1480602600,5
1480606200,2
1480609800,1
1480613400,3
1480617000,2
1480620600,2
1480624200,6
1480627800,4
1480631400,4
1480635000,3
1480638600,2
1480642200,2
1480645800,2
1480649400,3
1480653000,3
1480656600,3
1480660200,3
1480663800,3
1480667400,3
1480671000,3
1480674600,4
1480678200,4
1480681800,3
1480685400,3
1480689000,3
1480692600,3
1480696200,3
1480699800,2
1480703400,2
1480707000,2
1480710600,3
1480714200,3
1480717800,3
1480721400,3
1480725000,3
1480728600,4
1480732200,4
1480735800,4
1480739400,4
1480743000,3
1480746600,3
1480750200,3
1480753800,4
1480757400,4
1480761000,3
1480764600,5
1480768200,5
1480771800,5
1480775400,6
1480779000,3
1480782600,3
1480786200,3
1480789800,5
1480793400,6
1480797000,6
1480800600,6
1480804200,5
1480807800,5
1480811400,4
1480815000,4
1480818600,4
1480822200,4
1480825800,5
1480829400,4
1480833000,5
1480836600,5
1480840200,4
1480843800,5
1480847400,9
1480851000,10
1480854600,8
1480858200,6
1480861800,8
1480865400,4
1480869000,4
1480872600,4
1480876200,3
1480879800,3
1480883400,4
1480887000,3
1480890600,3
1480894200,4
1480897800,2
1480901400,6
1480905000,5
1480908600,7
1480912200,5
1480915800,9
1480919400,14
1480923000,5
1480926600,4
1480930200,3
1480933800,4
1480937400,5
1480941000,4
1480944600,4
1480948200,4
1480955400,3
1480959000,4
1480962600,3
1480973400,6
1480977000,5
1480980600,5
1480984200,6
1480987800,7
1480991400,6
1480995000,7
1480998600,6
1481002200,6
1481005800,5
1481009400,4
1481013000,2
1481016600,5
1481020200,4
1481023800,5
1481027400,3
1481031000,3
1481034600,3
1481038200,2
1481041800,0
1481045400,0
1481049000,2
1481052600,0
1481056200,4
1481059800,3
1481063400,2
1481067000,2
1481070600,2
1481074200,1
1481077800,3
1481081400,6
1481085000,12
1481088600,5
1481092200,7
1481095800,7
1481099400,8
1481103000,8
1481106600,8
1481110200,9
1481113800,8
1481117400,8
1481121000,7
1481124600,5
1481128200,4
1481131800,3
1481135400,4
1481139000,4
1481142600,3
1481146200,4
1481149800,3
1481153400,3
1481157000,3
1481160600,3
1481164200,4
1481167800,4
1481171400,6
1481175000,4
1481178600,6
1481182200,5
1481185800,4
1481189400,4
1481193000,5
1481196600,4
1481200200,4
1481203800,5
1481207400,5
1481211000,5
1481214600,4
1481218200,4
1481221800,5
1481225400,5
1481229000,6
1481232600,4
1481236200,4
1481239800,4
1481243400,4
1481247000,4
1481250600,2
1481254200,3
1481257800,3
1481261400,4
1481265000,4
1481268600,5
1481272200,4
1481275800,4
1481279400,5
1481283000,5
1481286600,5
1481290200,5
1481293800,6
1481297400,6
1481301000,4
1481304600,4
1481308200,5
1481311800,5
1481315400,5
1481319000,5
1481322600,5
1481326200,4
1481329800,3
1481333400,3
1481337000,4
1481340600,6
1481344200,4
1481347800,5
1481351400,4
1481355000,5
1481358600,5
1481362200,5
1481365800,4
1481369400,4
1481373000,4
1481376600,4
1481380200,3
1481383800,3
1481387400,2
1481391000,3
1481394600,4
1481398200,4
1481401800,5
1481405400,4
1481409000,4
1481412600,4
1481416200,5
1481419800,4
1481423400,5
1481427000,8
1481430600,9
1481434200,5
1481437800,7
1481441400,8
1481445000,8
1481448600,7
1481452200,5
1481455800,6
1481459400,5
1481463000,6
1481466600,5
1481470200,5
1481473800,4
1481477400,4
1481481000,4
1481484600,5
1481488200,4
1481491800,6
1481495400,7
1481499000,7
1481502600,6
1481506200,6
1481509800,6
1481513400,7
1481517000,5
1481520600,5
1481524200,6
1481527800,14
1481531400,24
1481535000,7
1481538600,4
1481542200,3
1481545800,3
1481549400,4
1481553000,5
1481556600,5
1481560200,4
1481563800,3
1481567400,4
1481571000,5
1481574600,8
1481578200,7
1481581800,6
1481585400,8
1481589000,8
1481592600,7
1481596200,6
1481599800,7
1481603400,7
1481607000,7
1481610600,6
1481614200,11
1481617800,11
1481621400,16
1481625000,10
1481628600,7
1481632200,12
1481635800,8
1481639400,9
1481643000,11
1481646600,8
1481650200,8
1481653800,9
1481657400,8
1481661000,9
1481664600,10
1481668200,9
1481671800,8
1481675400,8
1481679000,8
1481682600,9
1481686200,9
1481689800,8
1481693400,7
1481697000,7
1481700600,8
1481704200,8
1481707800,8
1481711400,8
1481715000,8
1481718600,8
1481722200,7
1481725800,6
1481729400,5
1481733000,2
1481736600,3
1481740200,3
1481743800,3
1481747400,4
1481751000,3
1481754600,4
1481758200,4
1481761800,4
1481765400,4
1481769000,1
1481772600,3
1481776200,7
1481779800,7
1481783400,5
1481787000,5
1481790600,5
1481794200,5
1481797800,4
1481801400,5
1481805000,5
1481808600,6
1481812200,4
1481815800,3
1481819400,3
1481823000,4
1481826600,3
1481830200,3
1481833800,4
1481837400,5
1481841000,5
1481844600,5
1481848200,6
1481851800,6
1481855400,5
1481859000,5
1481862600,5
1481866200,5
1481869800,5
1481873400,6
1481877000,5
1481880600,5
1481884200,5
1481887800,7
1481891400,6
1481895000,6
1481898600,6
1481902200,5
1481905800,3
1481909400,2
1481913000,4
1481916600,4
1481920200,3
1481923800,5
