EpochTime,3.feed_3.SO2_PPM,3.feed_3.SONICWD_DEG,3.feed_3.SONICWS_MPH,3.feed_3.SIGTHETA_DEG
1477891800,0.0,344.0,2.9,43.0
1477895400,0.0,330.0,2.5,43.6
1477899000,0.0,0.0,3.1,40.9
1477902600,0.0,325.0,1.9,40.0
1477906200,0.0,347.0,1.4,45.1
1477909800,0.0,66.0,1.6,28.0
1477913400,0.0,51.0,1.7,29.4
1477917000,0.0,58.0,1.6,43.4
1477920600,0.0,55.0,1.8,65.7
1477924200,0.0,61.0,2.1,76.5
1477927800,0.0,88.0,2.6,68.3
1477931400,0.002,113.0,3.3,62.4
1477935000,0.0,118.0,2.7,71.3
1477938600,0.0,147.0,3.3,43.1
1477942200,0.0,154.0,3.1,40.3
1477945800,0.0,112.0,2.0,56.9
1477949400,0.0,71.0,2.0,22.1
1477953000,0.0,70.0,2.6,10.8
1477956600,0.0,71.0,2.2,16.4
1477960200,0.0,65.0,1.0,35.3
1477963800,0.0,65.0,1.0,45.0
1477967400,0.0,117.0,0.9,77.5
1477971000,0.0,75.0,1.2,72.0
1477974600,0.0,331.0,0.5,70.2
1477978200,0.0,2.0,0.6,77.5
1477981800,0.0,341.0,0.6,62.4
1477985400,0.0,334.0,0.6,47.9
1477989000,0.0,317.0,0.8,30.0
1477992600,0.0,305.0,0.9,33.4
1477996200,0.001,305.0,1.1,34.4
1477999800,0.002,297.0,0.7,43.9
1478003400,0.002,247.0,0.8,71.8
1478007000,0.002,152.0,1.0,51.9
1478010600,0.002,167.0,1.7,38.8
1478014200,,134.0,3.5,25.2
1478017800,0.009,135.0,3.4,35.4
1478021400,0.006,155.0,3.9,29.2
1478025000,0.005,156.0,3.4,32.3
1478028600,0.006,146.0,3.5,30.3
1478032200,0.003,216.0,3.7,46.6
1478035800,0.002,187.0,2.9,35.1
1478039400,0.005,145.0,2.7,31.3
1478043000,0.003,136.0,1.9,25.6
1478046600,0.008,129.0,1.8,39.6
1478050200,0.011,129.0,2.0,35.3
1478053800,0.004,38.0,0.8,65.5
1478057400,0.001,79.0,0.9,57.2
1478061000,0.001,98.0,1.4,69.0
1478064600,0.0,22.0,0.5,78.3
1478068200,0.0,89.0,0.8,58.2
1478071800,0.0,95.0,0.9,75.3
1478075400,0.0,137.0,1.4,40.9
1478079000,0.0,141.0,2.3,17.6
1478082600,0.0,134.0,2.5,14.3
1478086200,0.0,136.0,2.8,16.5
1478089800,0.0,128.0,2.8,16.7
1478093400,0.0,118.0,2.6,25.2
1478097000,0.001,121.0,3.2,22.9
1478100600,0.005,142.0,3.2,19.7
1478104200,0.008,184.0,1.5,57.0
1478107800,0.002,263.0,4.5,38.2
1478111400,0.001,274.0,6.0,33.8
1478115000,0.001,264.0,4.7,39.1
1478118600,0.001,253.0,5.1,35.9
1478122200,0.001,257.0,2.7,45.9
1478125800,0.001,199.0,1.6,56.1
1478129400,0.003,141.0,1.9,28.7
1478133000,0.014,122.0,2.8,19.3
1478136600,0.024,115.0,2.6,25.9
1478140200,0.016,110.0,1.7,39.1
1478143800,0.004,126.0,0.7,45.9
1478147400,0.002,136.0,1.4,29.0
1478151000,0.024,125.0,2.7,24.3
1478154600,0.048,118.0,3.1,30.0
1478158200,0.028,126.0,4.0,19.6
1478161800,0.015,151.0,3.4,30.7
1478165400,0.005,259.0,2.8,54.1
1478169000,0.002,253.0,3.0,48.1
1478172600,0.001,260.0,4.5,47.9
1478176200,0.001,189.0,3.4,42.8
1478179800,0.0,196.0,3.4,49.8
1478183400,0.0,226.0,3.4,45.6
1478187000,0.0,260.0,3.8,36.8
1478190600,0.0,270.0,4.2,33.9
1478194200,0.0,295.0,6.2,26.3
1478197800,0.0,312.0,5.3,22.4
1478201400,0.0,316.0,6.0,27.5
1478205000,0.0,319.0,6.5,28.7
1478208600,0.0,321.0,4.5,29.6
1478212200,0.0,358.0,1.8,33.6
1478215800,0.0,337.0,1.8,40.4
1478219400,0.0,328.0,1.6,40.8
1478223000,0.0,331.0,1.3,32.6
1478226600,0.0,330.0,1.4,34.0
1478230200,0.0,321.0,3.1,23.8
1478233800,0.0,326.0,2.2,26.2
1478237400,0.0,344.0,1.6,28.4
1478241000,0.0,347.0,1.4,34.0
1478244600,0.0,350.0,1.3,31.9
1478248200,0.0,11.0,1.2,31.7
1478251800,0.0,0.0,1.2,27.1
1478255400,0.0,14.0,1.2,36.9
1478259000,0.0,36.0,1.1,35.2
1478262600,0.0,358.0,1.1,35.3
1478266200,0.0,317.0,3.9,28.1
1478269800,0.0,328.0,3.5,45.8
1478273400,0.0,318.0,4.6,32.7
1478277000,0.0,312.0,4.6,35.2
1478280600,0.0,310.0,5.4,28.8
1478284200,0.0,323.0,5.3,36.9
1478287800,0.0,310.0,5.7,29.5
1478291400,0.0,321.0,4.7,39.9
1478295000,0.0,312.0,4.0,28.4
1478298600,0.0,353.0,1.4,32.9
1478302200,0.0,44.0,1.4,20.1
1478305800,0.0,61.0,1.6,20.1
1478309400,0.0,75.0,1.0,32.3
1478313000,0.0,71.0,0.7,49.1
1478316600,0.0,58.0,0.7,51.6
1478320200,0.0,76.0,0.8,42.4
1478323800,0.0,121.0,1.0,41.0
1478327400,0.0,114.0,1.2,40.4
1478331000,0.0,100.0,0.8,58.3
1478334600,0.0,124.0,2.2,22.8
1478338200,0.0,114.0,2.3,35.4
1478341800,0.0,121.0,2.5,28.6
1478345400,0.0,125.0,2.5,26.3
1478349000,0.0,128.0,2.8,23.4
1478352600,0.0,130.0,3.0,19.1
1478356200,0.002,150.0,2.6,26.0
1478359800,0.014,183.0,2.2,48.5
1478363400,0.002,271.0,3.9,39.1
1478367000,0.001,280.0,4.6,34.4
1478370600,0.0,273.0,5.0,36.8
