EpochTime,3.feed_3.PM10B_UG_M3..3.feed_3.PM10_640_UG_M3
1477891800,9.0
1477895400,13.0
1477899000,7.0
1477902600,11.0
1477906200,10.0
1477909800,7.0
1477913400,9.0
1477917000,12.0
1477920600,20.0
1477924200,9.0
1477927800,14.0
1477931400,12.0
1477935000,12.0
1477938600,10.0
1477942200,5.0
1477945800,6.0
1477949400,3.0
1477953000,0.0
1477956600,2.0
1477960200,9.0
1477963800,9.0
1477967400,20.0
1477971000,11.0
1477974600,21.0
1477978200,14.0
1477981800,21.0
1477985400,6.0
1477989000,16.0
1477992600,32.0
1477996200,29.0
1477999800,33.0
1478003400,33.0
1478007000,36.0
1478010600,72.0
1478014200,67.0
1478017800,57.0
1478021400,47.0
1478025000,39.0
1478028600,36.0
1478032200,29.0
1478035800,26.0
1478039400,31.0
1478043000,39.0
1478046600,34.0
1478050200,70.0
1478053800,35.0
1478057400,43.0
1478061000,63.0
1478064600,87.0
1478068200,42.0
1478071800,96.0
1478075400,102.0
1478079000,64.0
1478082600,45.0
1478086200,129.0
1478089800,128.0
1478093400,71.0
1478097000,100.0
1478100600,93.0
1478104200,82.0
1478107800,50.0
1478111400,33.0
1478115000,24.0
1478118600,20.0
1478122200,14.0
1478125800,17.0
1478129400,57.0
1478133000,50.0
1478136600,49.0
1478140200,56.0
1478143800,52.0
1478147400,64.0
1478151000,97.0
1478154600,71.0
1478158200,63.0
1478161800,57.0
1478165400,29.0
1478169000,22.0
1478172600,15.0
1478176200,9.0
1478179800,14.0
1478183400,18.0
1478187000,18.0
1478190600,19.0
1478194200,16.0
1478197800,-1.0
1478201400,-1.0
1478205000,8.0
1478208600,9.0
1478212200,8.0
1478215800,8.0
1478219400,5.0
1478223000,7.0
1478226600,9.0
1478230200,9.0
1478233800,6.0
1478237400,6.0
1478241000,11.0
1478244600,6.0
1478248200,9.0
1478251800,12.0
1478255400,11.0
1478259000,8.0
1478262600,15.0
1478266200,6.0
1478269800,10.0
1478273400,9.0
1478277000,7.0
1478280600,10.0
1478284200,8.0
1478287800,6.0
1478291400,5.0
1478295000,7.0
1478298600,6.0
1478302200,6.0
1478305800,7.0
1478309400,15.0
1478313000,13.0
1478316600,19.0
1478320200,23.0
1478323800,76.0
1478327400,85.0
1478331000,74.0
1478334600,68.0
1478338200,58.0
1478341800,58.0
1478345400,62.0
1478349000,75.0
1478352600,61.0
1478356200,77.0
1478359800,66.0
1478363400,16.0
1478367000,15.0
1478370600,22.0
1478374200,9.0
1478377800,10.0
1478381400,7.0
1478385000,2.0
1478388600,4.0
1478392200,7.0
1478395800,8.0
1478399400,21.0
1478403000,53.0
1478406600,88.0
1478410200,112.0
1478413800,105.0
1478417400,98.0
1478421000,74.0
1478424600,49.0
1478428200,51.0
1478431800,21.0
1478435400,42.0
1478439000,64.0
1478442600,72.0
1478446200,65.0
1478449800,43.0
1478453400,56.0
1478457000,31.0
1478460600,11.0
1478464200,6.0
1478467800,4.0
1478471400,38.0
1478475000,16.0
1478478600,29.0
1478482200,34.0
1478485800,55.0
1478489400,45.0
1478493000,42.0
1478496600,31.0
1478500200,42.0
1478503800,57.0
1478507400,45.0
1478511000,20.0
1478514600,37.0
1478518200,31.0
1478521800,38.0
1478525400,102.0
1478529000,117.0
1478532600,90.0
1478536200,41.0
1478539800,48.0
1478543400,29.0
1478547000,14.0
1478550600,10.0
1478554200,6.0
1478557800,2.0
1478565000,5.0
1478568600,24.0
1478572200,18.0
1478575800,21.0
1478579400,18.0
1478583000,15.0
1478586600,14.0
1478590200,34.0
1478593800,34.0
1478597400,27.0
1478601000,23.0
1478604600,19.0
1478608200,20.0
1478611800,101.0
1478615400,44.0
1478619000,54.0
1478622600,56.0
1478626200,79.0
1478629800,42.0
1478633400,35.0
1478637000,32.0
1478640600,34.0
1478644200,30.0
1478647800,32.0
1478651400,30.0
1478655000,28.0
1478658600,19.0
1478662200,40.0
1478665800,38.0
1478669400,35.0
1478673000,23.0
1478676600,23.0
1478680200,22.0
1478683800,17.0
1478687400,18.0
1478691000,9.0
1478694600,9.0
1478698200,8.0
1478701800,11.0
1478705400,11.0
1478709000,11.0
1478712600,8.0
1478716200,8.0
1478719800,7.0
1478723400,3.0
