EpochTime,3.feed_5975.PM2_5
1477891800,0.0
1477895400,5.0
1477899000,9.0
1477902600,3.0
1477906200,9.0
1477909800,5.0
1477913400,11.0
1477917000,12.0
1477920600,18.0
1477924200,12.0
1477927800,9.0
1477931400,8.0
1477935000,2.0
1477938600,2.0
1477942200,1.0
1477945800,2.0
1477949400,-1.0
1477953000,-2.0
1477956600,4.0
1477960200,6.0
1477963800,7.0
1477967400,8.0
1477971000,5.0
1477974600,6.0
1477978200,7.0
1477981800,12.0
1477985400,7.0
1477989000,7.0
1477992600,8.0
1477996200,6.0
1477999800,6.0
1478003400,7.0
1478007000,5.0
1478010600,12.0
1478014200,16.0
1478017800,22.0
1478021400,22.0
1478025000,20.0
1478028600,17.0
1478032200,16.0
1478035800,17.0
1478039400,18.0
1478043000,20.0
1478046600,17.0
1478050200,19.0
1478053800,20.0
1478057400,22.0
1478061000,24.0
1478064600,26.0
1478068200,26.0
1478071800,25.0
1478075400,28.0
1478079000,25.0
1478082600,24.0
1478086200,23.0
1478089800,25.0
1478093400,25.0
1478097000,25.0
1478100600,25.0
1478104200,20.0
1478107800,17.0
1478111400,13.0
1478115000,15.0
1478118600,13.0
1478122200,8.0
1478125800,12.0
1478129400,18.0
1478133000,18.0
1478136600,20.0
1478140200,23.0
1478143800,23.0
1478147400,19.0
1478151000,26.0
1478154600,27.0
1478158200,22.0
1478161800,22.0
1478165400,16.0
1478169000,11.0
1478172600,10.0
1478176200,12.0
1478179800,5.0
1478183400,7.0
1478187000,15.0
1478190600,12.0
1478194200,9.0
1478197800,6.0
1478201400,6.0
1478205000,2.0
1478208600,1.0
1478212200,-1.0
1478215800,2.0
1478219400,4.0
1478223000,6.0
1478226600,6.0
1478230200,6.0
1478233800,4.0
1478237400,14.0
1478241000,10.0
1478244600,4.0
1478248200,7.0
1478251800,6.0
1478255400,4.0
1478259000,9.0
1478262600,9.0
1478266200,11.0
1478269800,12.0
1478273400,4.0
1478277000,7.0
1478280600,1.0
1478284200,0.0
1478287800,3.0
1478291400,3.0
1478295000,3.0
1478298600,4.0
1478302200,5.0
1478305800,13.0
1478309400,8.0
1478313000,12.0
1478316600,10.0
1478320200,10.0
1478323800,17.0
1478327400,27.0
1478331000,40.0
1478334600,39.0
1478338200,50.0
1478341800,46.0
1478345400,40.0
1478349000,35.0
1478352600,31.0
1478356200,31.0
1478359800,20.0
1478363400,8.0
1478367000,0.0
1478370600,0.0
1478374200,1.0
1478377800,0.0
1478381400,1.0
1478385000,-1.0
1478388600,8.0
1478392200,10.0
1478395800,10.0
1478399400,13.0
1478403000,12.0
1478406600,7.0
1478410200,10.0
1478413800,12.0
1478417400,12.0
1478421000,27.0
1478424600,28.0
1478428200,31.0
1478431800,34.0
1478435400,35.0
1478439000,33.0
1478442600,35.0
1478446200,28.0
1478449800,22.0
1478453400,8.0
1478457000,8.0
1478460600,3.0
1478464200,2.0
1478467800,5.0
1478471400,5.0
1478475000,11.0
1478478600,10.0
1478482200,11.0
1478485800,14.0
1478489400,19.0
1478493000,16.0
1478496600,15.0
1478500200,8.0
1478503800,1.0
1478507400,2.0
1478511000,5.0
1478514600,9.0
1478518200,9.0
1478521800,31.0
1478525400,25.0
1478529000,10.0
1478532600,8.0
1478536200,5.0
1478539800,6.0
1478543400,5.0
1478547000,1.0
1478550600,1.0
1478554200,-2.0
1478561400,-1.0
1478565000,5.0
1478568600,3.0
1478572200,10.0
1478575800,10.0
1478579400,6.0
1478583000,7.0
1478586600,12.0
1478590200,18.0
1478593800,22.0
1478597400,19.0
1478601000,12.0
1478604600,11.0
1478608200,12.0
1478611800,16.0
1478615400,20.0
1478619000,23.0
1478622600,20.0
1478626200,17.0
1478629800,18.0
1478633400,18.0
1478637000,21.0
1478640600,26.0
1478644200,27.0
1478647800,29.0
1478651400,30.0
1478655000,29.0
1478658600,38.0
1478662200,39.0
1478665800,38.0
1478669400,43.0
1478673000,38.0
1478676600,24.0
1478680200,22.0
1478683800,17.0
1478687400,12.0
1478691000,13.0
1478694600,7.0
1478698200,3.0
1478701800,9.0
1478705400,13.0
1478709000,9.0
1478712600,7.0
1478716200,2.0
1478719800,0.0
1478723400,0.0
1478727000,0.0
1478730600,0.0
1478734200,-1.0
1478737800,3.0
1478741400,0.0
1478745000,6.0
1478748600,1.0
1478752200,9.0
1478755800,8.0
1478759400,5.0
1478763000,11.0
1478766600,10.0
1478770200,12.0
1478773800,10.0
1478777400,8.0
1478781000,11.0
1478784600,16.0
1478788200,13.0
1478791800,10.0
1478795400,12.0
1478799000,6.0
1478802600,1.0
1478806200,4.0
1478809800,1.0
1478813400,1.0
1478817000,5.0
1478820600,9.0
1478824200,8.0
1478827800,8.0
1478831400,5.0
1478835000,7.0
1478838600,5.0
1478842200,10.0
1478845800,5.0
1478849400,4.0
1478853000,6.0
1478856600,8.0
1478860200,9.0
1478863800,8.0
1478867400,9.0
1478871000,11.0
1478874600,14.0
1478878200,17.0
1478881800,6.0
1478885400,1.0
1478889000,0.0
1478892600,0.0
1478896200,2.0
1478899800,3.0
1478903400,2.0
1478907000,3.0
1478910600,4.0
1478914200,7.0
1478917800,3.0
1478921400,7.0
1478925000,4.0
1478928600,15.0
1478932200,3.0
1478935800,9.0
1478939400,11.0
1478943000,12.0
1478946600,10.0
1478950200,8.0
1478953800,8.0
1478957400,20.0
1478961000,18.0
1478964600,14.0
1478968200,8.0
1478971800,4.0
1478975400,3.0
1478979000,2.0
1478982600,5.0
1478986200,0.0
1478989800,3.0
1478993400,9.0
1478997000,12.0
1479000600,11.0
1479004200,15.0
1479007800,18.0
1479011400,39.0
1479015000,42.0
1479018600,54.0
1479022200,36.0
1479025800,33.0
1479029400,35.0
1479033000,34.0
1479036600,33.0
1479040200,35.0
1479043800,33.0
1479047400,28.0
1479051000,24.0
1479054600,10.0
1479058200,4.0
1479061800,5.0
1479065400,0.0
1479069000,1.0
1479072600,3.0
1479076200,2.0
1479079800,11.0
1479083400,11.0
1479087000,16.0
1479090600,18.0
1479094200,19.0
1479097800,23.0
1479101400,32.0
1479105000,37.0
1479108600,24.0
1479112200,19.0
1479115800,21.0
1479119400,31.0
1479123000,25.0
1479126600,21.0
1479130200,21.0
1479133800,38.0
1479137400,30.0
1479141000,20.0
1479144600,12.0
1479148200,11.0
1479151800,8.0
1479155400,10.0
1479159000,10.0
1479162600,16.0
1479166200,16.0
1479169800,19.0
1479173400,16.0
1479177000,17.0
1479180600,21.0
1479184200,29.0
1479187800,20.0
1479191400,27.0
1479195000,27.0
1479198600,24.0
1479202200,26.0
1479205800,24.0
1479209400,21.0
1479213000,26.0
1479216600,26.0
1479220200,36.0
1479223800,35.0
1479227400,24.0
1479231000,23.0
1479234600,20.0
1479238200,12.0
1479241800,10.0
1479245400,5.0
1479249000,10.0
1479252600,16.0
1479256200,18.0
1479259800,20.0
1479263400,27.0
1479267000,25.0
1479270600,28.0
1479274200,27.0
1479277800,30.0
1479281400,45.0
1479285000,41.0
1479288600,34.0
