EpochTime,3.feed_24.PM10_UG_M3
1477891800,7
1477895400,8
1477899000,7
1477902600,2
1477906200,5
1477909800,3
1477913400,6
1477917000,9
1477920600,5
1477924200,4
1477927800,5
1477931400,10
1477935000,2
1477938600,1
1477942200,2
1477945800,4
1477949400,4
1477953000,4
1477956600,6
1477960200,8
1477963800,9
1477967400,6
1477971000,6
1477974600,6
1477978200,19
1477981800,14
1477985400,8
1477989000,8
1477992600,8
1477996200,8
1477999800,8
1478003400,14
1478007000,19
1478010600,55
1478014200,51
1478017800,36
1478021400,30
1478025000,29
1478028600,28
1478032200,21
1478035800,31
1478039400,24
1478043000,23
1478046600,22
1478050200,23
1478053800,28
1478057400,61
1478061000,69
1478064600,50
1478068200,43
1478071800,44
1478075400,34
1478079000,35
1478082600,36
1478086200,35
1478089800,33
1478093400,31
1478097000,29
1478100600,26
1478104200,31
1478107800,20
1478111400,21
1478115000,21
1478118600,22
1478122200,24
1478125800,25
1478129400,23
1478133000,21
1478136600,22
1478140200,20
1478143800,22
1478147400,21
1478151000,28
1478154600,21
1478158200,21
1478161800,19
1478165400,18
1478169000,17
1478172600,25
1478176200,12
1478179800,11
1478183400,11
1478187000,14
1478190600,13
1478194200,9
1478197800,0
1478201400,0
1478205000,0
1478208600,1
1478212200,3
1478215800,4
1478219400,4
1478223000,5
1478226600,5
1478230200,5
1478233800,4
1478237400,5
1478241000,4
1478244600,3
1478248200,3
1478251800,5
1478255400,5
1478259000,5
1478262600,8
1478266200,6
1478269800,6
1478273400,6
1478277000,4
1478280600,2
1478284200,5
1478287800,3
1478291400,5
1478295000,4
1478298600,6
1478302200,9
1478305800,9
1478309400,10
1478313000,16
1478316600,17
1478320200,15
1478323800,43
1478327400,24
1478331000,35
1478334600,24
1478338200,41
1478341800,42
1478345400,43
1478349000,40
1478352600,33
1478356200,19
1478359800,11
1478363400,4
1478367000,1
1478370600,2
1478374200,3
1478377800,5
1478381400,5
1478385000,5
1478388600,5
1478392200,8
1478395800,10
1478399400,12
1478403000,12
1478406600,12
1478410200,12
1478413800,22
1478417400,20
1478421000,21
1478424600,25
1478428200,38
1478431800,44
1478435400,37
1478439000,46
1478442600,25
1478446200,20
1478449800,21
1478453400,12
1478457000,1
1478460600,7
1478464200,8
1478467800,9
1478471400,5
1478475000,11
1478478600,37
1478482200,19
1478485800,51
1478489400,32
1478493000,19
1478496600,15
1478500200,15
1478503800,25
1478507400,42
1478511000,8
1478514600,8
1478518200,43
1478521800,59
1478525400,29
1478529000,17
1478532600,28
1478536200,38
1478539800,14
1478543400,3
1478547000,3
1478550600,0
1478554200,3
1478557800,4
1478561400,3
1478565000,7
1478568600,4
1478572200,13
1478575800,20
1478579400,35
1478583000,30
1478586600,91
1478590200,67
1478593800,32
1478597400,110
1478601000,96
1478604600,82
1478608200,82
1478611800,85
1478615400,51
1478619000,18
1478622600,19
1478626200,24
1478629800,23
1478633400,25
1478637000,25
1478640600,25
1478644200,26
1478647800,26
1478651400,30
1478655000,38
1478658600,31
1478662200,31
1478665800,29
1478669400,25
1478673000,14
1478676600,13
1478680200,13
1478683800,8
1478687400,6
1478691000,6
1478694600,5
1478698200,11
1478701800,13
1478705400,10
1478709000,5
1478712600,3
1478716200,3
1478719800,1
1478723400,0
1478727000,2
1478730600,0
1478734200,2
1478737800,3
1478741400,4
1478745000,6
1478748600,9
1478752200,8
1478755800,8
1478759400,7
1478763000,9
1478766600,6
1478770200,5
1478773800,5
1478777400,6
1478781000,8
1478784600,6
1478788200,9
1478791800,9
1478795400,6
1478799000,2
1478802600,6
1478806200,5
1478809800,8
1478813400,8
1478817000,6
1478820600,6
1478824200,5
1478827800,6
1478831400,5
1478835000,5
1478838600,8
1478842200,6
1478845800,6
1478849400,8
1478853000,8
1478856600,9
1478860200,9
1478863800,10
1478867400,11
1478871000,13
1478874600,18
1478878200,11
1478881800,6
1478885400,16
1478889000,9
1478892600,5
1478896200,1
1478899800,2
1478903400,4
1478907000,5
1478910600,9
1478914200,8
1478917800,7
1478921400,6
1478925000,7
1478928600,5
1478932200,6
1478935800,7
1478939400,7
1478943000,6
1478946600,5
1478950200,9
1478953800,8
1478957400,6
1478961000,9
1478964600,8
1478968200,6
1478971800,6
1478975400,5
1478979000,4
1478982600,6
1478986200,6
1478989800,7
1478993400,8
1478997000,10
1479000600,19
1479004200,25
1479007800,36
1479011400,29
1479015000,28
1479018600,31
1479022200,30
1479025800,34
1479029400,30
1479033000,35
1479036600,34
1479040200,32
1479043800,26
1479047400,11
1479051000,10
1479054600,5
1479058200,3
1479061800,5
1479065400,5
1479069000,4
1479072600,7
1479076200,6
1479079800,11
1479083400,21
1479087000,16
1479090600,30
1479094200,26
1479097800,53
1479101400,54
1479105000,58
1479108600,55
1479112200,50
1479115800,53
1479119400,42
1479123000,13
1479126600,65
1479130200,100
1479133800,25
1479137400,13
1479141000,13
1479144600,12
1479148200,18
1479151800,14
1479155400,10
1479159000,14
1479162600,13
1479166200,13
1479169800,19
1479173400,33
1479177000,55
1479180600,53
1479184200,62
1479187800,35
1479191400,34
1479195000,47
1479198600,48
1479202200,80
1479205800,76
1479209400,59
1479213000,69
1479216600,69
1479220200,41
1479223800,36
1479227400,15
1479231000,15
1479234600,8
1479238200,10
1479241800,11
1479245400,15
1479249000,14
1479252600,22
1479256200,40
1479259800,59
1479263400,28
1479267000,40
1479270600,46
1479274200,37
1479277800,52
1479281400,33
1479285000,39
1479288600,44
1479292200,37
1479295800,33
1479299400,23
1479303000,23
1479306600,27
1479313800,16
1479317400,17
1479321000,23
1479324600,17
1479328200,15
1479331800,14
1479335400,14
1479339000,15
1479342600,14
1479346200,17
1479349800,20
1479353400,15
1479357000,20
1479360600,28
1479364200,20
1479367800,13
1479371400,34
1479375000,56
1479378600,64
1479382200,47
1479385800,50
1479389400,52
1479393000,76
1479396600,97
1479400200,93
1479403800,35
1479407400,16
1479411000,20
1479414600,16
1479418200,18
1479421800,15
1479425400,17
1479429000,33
1479432600,58
1479436200,60
1479439800,47
1479443400,75
1479447000,73
1479450600,79
1479454200,106
1479457800,32
1479461400,48
1479465000,73
1479468600,70
1479472200,74
1479475800,86
1479479400,49
1479483000,38
1479486600,23
1479490200,19
1479493800,16
1479497400,18
1479501000,22
1479504600,18
1479508200,34
1479511800,62
1479515400,56
1479519000,59
1479522600,60
1479526200,45
1479529800,23
1479533400,45
1479537000,22
1479540600,41
1479544200,24
1479547800,25
1479551400,20
1479555000,25
1479558600,47
1479562200,39
1479565800,58
1479569400,2
1479573000,-2
1479576600,-1
1479580200,-1
1479583800,0
1479587400,0
1479591000,1
1479594600,0
1479598200,0
1479601800,0
1479605400,0
1479609000,0
1479612600,0
