EpochTime,3.feed_26.PM25B_UG_M3..3.feed_26.PM25T_UG_M3
1477891800,8
1477895400,8
1477899000,8
1477902600,7
1477906200,6
1477909800,4
1477913400,2
1477917000,7
1477920600,7
1477924200,4
1477927800,1
1477931400,0
1477935000,2
1477938600,2
1477942200,1
1477945800,2
1477949400,1
1477953000,1
1477956600,11
1477960200,14
1477963800,11
1477967400,12
1477971000,11
1477974600,16
1477978200,11
1477981800,10
1477985400,10
1477989000,8
1477992600,9
1477996200,6
1477999800,7
1478003400,8
1478007000,8
1478010600,13
1478014200,10
1478017800,17
1478021400,19
1478025000,18
1478028600,17
1478032200,13
1478035800,16
1478039400,14
1478043000,15
1478046600,18
1478050200,14
1478053800,17
1478057400,16
1478061000,17
1478064600,22
1478068200,17
1478071800,17
1478075400,19
1478079000,19
1478082600,16
1478086200,25
1478089800,28
1478093400,31
1478097000,36
1478100600,23
1478104200,20
1478107800,15
1478111400,17
1478115000,6
1478118600,15
1478122200,14
1478125800,12
1478129400,19
1478133000,17
1478136600,20
1478140200,16
1478143800,19
1478147400,20
1478151000,19
1478154600,18
1478158200,16
1478161800,15
1478165400,9
1478169000,12
1478172600,10
1478176200,7
1478179800,8
1478183400,7
1478187000,10
1478190600,8
1478194200,6
1478197800,1
1478201400,1
1478205000,2
1478208600,1
1478212200,2
1478215800,3
1478219400,4
1478223000,6
1478226600,7
1478230200,5
1478233800,6
1478237400,4
1478241000,0
1478244600,2
1478248200,2
1478251800,3
1478255400,3
1478259000,5
1478262600,7
1478266200,10
1478269800,6
1478273400,2
1478277000,0
1478280600,4
1478284200,5
1478287800,1
1478291400,2
1478295000,3
1478298600,2
1478302200,6
1478305800,10
1478309400,16
1478313000,13
1478316600,17
1478320200,22
1478323800,17
1478327400,18
1478331000,13
1478334600,17
1478338200,14
1478341800,16
1478345400,13
1478349000,14
1478352600,17
1478356200,16
1478359800,7
1478363400,5
1478367000,4
1478370600,4
1478374200,2
1478377800,3
1478381400,6
1478385000,5
1478388600,8
1478392200,12
1478395800,13
1478399400,14
1478403000,13
1478406600,12
1478410200,13
1478413800,15
1478417400,15
1478421000,14
1478424600,13
1478428200,13
1478431800,17
1478435400,16
1478439000,18
1478442600,17
1478446200,23
1478449800,18
1478453400,19
1478457000,12
1478460600,8
1478464200,7
1478467800,6
1478471400,11
1478475000,16
1478478600,20
1478482200,21
1478485800,24
1478489400,17
1478493000,14
1478496600,16
1478500200,11
1478503800,13
1478507400,14
1478511000,12
1478514600,13
1478518200,13
1478521800,15
1478525400,17
1478529000,18
1478532600,12
1478536200,15
1478539800,5
1478543400,8
1478547000,5
1478550600,2
1478554200,6
1478557800,7
1478561400,5
1478565000,10
1478568600,11
1478572200,9
1478575800,8
1478579400,13
1478583000,10
1478586600,6
1478590200,14
1478593800,11
1478597400,8
1478601000,7
1478604600,13
1478608200,10
1478611800,15
1478615400,21
1478619000,29
1478622600,18
1478626200,23
1478629800,25
1478633400,23
1478637000,22
1478640600,26
1478644200,26
1478647800,22
1478651400,24
1478655000,31
1478658600,27
1478662200,37
1478665800,40
1478669400,32
1478673000,28
1478676600,24
1478680200,18
1478683800,14
1478687400,10
1478691000,9
1478694600,12
1478698200,8
1478701800,6
1478705400,7
1478709000,4
1478712600,5
1478716200,5
1478719800,3
1478723400,5
1478727000,5
1478730600,4
1478734200,5
1478737800,5
1478741400,5
1478745000,7
1478748600,5
1478752200,7
1478755800,8
1478759400,4
1478763000,5
1478766600,7
1478770200,11
1478773800,7
1478777400,11
1478781000,14
1478784600,12
1478788200,8
1478791800,7
1478795400,6
1478799000,7
1478802600,7
1478806200,8
1478809800,8
1478813400,6
1478817000,4
1478820600,4
1478824200,6
1478827800,9
1478831400,5
1478835000,8
1478838600,7
1478845800,3
1478849400,3
1478853000,7
1478856600,8
1478860200,6
1478863800,7
1478867400,10
1478871000,8
1478874600,9
1478878200,7
1478881800,5
1478885400,3
1478889000,3
1478892600,5
1478896200,3
1478899800,4
1478903400,6
1478907000,9
1478910600,8
1478914200,9
1478917800,8
1478921400,8
1478925000,7
1478932200,10
1478935800,11
1478939400,8
1478943000,9
1478946600,7
1478950200,7
1478953800,10
1478957400,12
1478961000,12
1478964600,7
1478968200,4
1478971800,2
1478975400,2
1478979000,4
1478982600,5
1478986200,6
1478989800,9
1478993400,12
1478997000,13
1479000600,15
1479004200,19
1479007800,23
1479011400,23
1479018600,19
1479022200,25
1479025800,23
1479029400,21
1479033000,24
1479036600,23
1479040200,18
1479043800,20
1479047400,18
1479051000,7
1479054600,8
1479058200,7
1479061800,8
1479065400,6
1479069000,7
1479072600,6
1479076200,18
1479079800,13
1479083400,18
1479087000,20
1479090600,19
1479094200,20
1479097800,19
1479101400,19
1479105000,23
1479108600,19
1479112200,19
1479115800,23
1479119400,21
1479123000,25
1479126600,25
1479130200,32
1479133800,36
1479137400,18
1479141000,12
1479144600,9
1479148200,7
1479151800,7
1479155400,10
1479159000,10
1479162600,8
1479166200,36
1479169800,24
1479173400,19
1479177000,15
1479180600,12
1479184200,13
1479187800,17
1479191400,19
1479195000,18
1479198600,15
1479202200,13
1479205800,17
1479209400,16
1479213000,23
1479216600,21
1479220200,30
1479223800,36
1479227400,33
1479231000,20
1479234600,16
1479238200,15
1479241800,12
1479245400,12
1479249000,17
1479252600,18
1479256200,22
1479259800,24
1479263400,20
1479267000,18
1479270600,22
1479274200,21
1479277800,18
1479281400,19
1479285000,24
1479288600,27
1479292200,23
1479295800,23
1479299400,26
1479303000,38
1479306600,22
1479310200,22
1479313800,22
1479317400,20
1479321000,23
1479324600,14
1479328200,19
1479331800,14
1479335400,20
1479339000,18
1479342600,18
1479346200,22
1479349800,25
1479353400,20
1479357000,24
1479360600,27
1479364200,27
1479367800,25
1479371400,25
1479375000,14
1479378600,21
1479382200,24
1479385800,24
1479389400,33
1479393000,31
1479396600,35
1479400200,39
1479403800,37
1479407400,23
1479411000,14
1479414600,19
1479418200,18
1479421800,24
1479425400,23
1479429000,21
1479432600,24
1479436200,22
1479439800,16
1479443400,21
1479447000,18
1479450600,19
1479454200,18
1479457800,20
1479461400,18
1479465000,20
1479468600,17
1479472200,22
1479475800,36
1479479400,36
1479483000,35
1479486600,32
1479497400,11
1479501000,12
1479504600,10
1479508200,13
1479511800,19
1479515400,19
1479519000,32
1479522600,25
1479526200,22
1479529800,22
1479533400,28
1479537000,25
1479540600,22
1479544200,20
1479547800,16
1479551400,17
1479555000,15
1479558600,10
1479562200,18
1479565800,12
1479569400,7
1479573000,4
1479576600,3
1479580200,4
1479583800,5
1479587400,3
1479591000,5
1479594600,5
1479598200,3
1479601800,3
1479605400,7
1479609000,5
1479612600,4
1479616200,6
1479619800,2
1479623400,0
1479627000,2
1479630600,4
1479634200,3
1479637800,2
1479641400,3
1479645000,3
1479648600,3
1479652200,3
1479655800,2
1479659400,4
1479663000,7
1479666600,5
1479670200,2
1479673800,6
1479677400,5
1479681000,2
1479684600,2
1479688200,5
1479691800,5
1479695400,7
1479699000,7
1479702600,7
1479709800,3
1479713400,5
1479717000,4
1479720600,5
1479724200,4
1479727800,3
1479731400,4
1479735000,4
1479738600,5
1479742200,3
1479745800,1
1479749400,3
1479753000,3
1479756600,5
1479760200,7
1479763800,7
1479767400,6
1479771000,3
1479774600,2
1479778200,7
1479781800,7
1479785400,10
1479789000,7
1479796200,4
1479799800,9
1479803400,7
1479807000,6
1479810600,12
1479814200,10
1479817800,13
1479821400,10
1479825000,7
1479828600,7
1479832200,9
1479835800,6
1479839400,8
1479843000,8
1479846600,7
1479850200,7
1479853800,6
1479857400,9
1479861000,13
1479864600,17
1479868200,18
1479871800,17
1479875400,17
1479882600,15
1479886200,17
1479889800,16
1479893400,19
1479897000,15
1479900600,10
1479904200,18
1479907800,18
1479918600,8
1479922200,9
1479925800,14
1479929400,12
1479933000,9
1479936600,12
1479940200,17
1479943800,13
1479947400,14
1479951000,10
1479954600,16
1479958200,14
1479961800,16
1479965400,16
1479969000,17
1479972600,17
1479976200,15
1479979800,17
1479983400,20
1479987000,16
1479990600,27
1479994200,27
1479997800,24
1480001400,21
1480005000,17
1480008600,15
1480012200,14
1480015800,11
1480019400,8
1480023000,9
1480026600,9
1480030200,8
1480033800,7
1480037400,5
1480041000,3
1480044600,0
1480048200,5
1480051800,6
1480055400,4
1480059000,6
1480062600,6
1480066200,8
1480069800,6
1480073400,6
1480077000,8
1480080600,7
1480084200,9
1480087800,8
1480091400,6
1480095000,3
1480098600,4
1480102200,4
1480105800,6
1480109400,9
1480113000,8
1480116600,6
1480120200,8
1480123800,10
1480127400,9
1480131000,7
1480134600,7
1480138200,9
1480141800,10
1480145400,9
1480149000,8
1480152600,6
1480156200,12
1480159800,9
1480163400,7
1480167000,8
1480170600,18
1480174200,11
1480177800,15
1480181400,9
1480185000,10
1480188600,6
1480192200,8
1480195800,7
1480199400,8
1480203000,9
1480206600,9
1480210200,7
1480213800,5
1480217400,6
1480221000,6
1480224600,9
1480228200,9
1480231800,9
1480235400,7
1480239000,5
1480242600,3
1480246200,6
1480249800,10
1480253400,9
1480257000,13
1480260600,11
1480264200,7
1480267800,7
1480271400,6
1480275000,7
1480278600,10
1480282200,9
1480285800,15
1480289400,11
1480293000,14
1480296600,16
1480300200,20
1480303800,21
1480307400,17
1480311000,19
1480314600,18
1480318200,19
1480321800,19
1480325400,22
1480329000,14
1480332600,18
1480336200,14
1480339800,19
1480343400,17
1480347000,20
1480350600,16
1480354200,18
1480357800,18
1480361400,24
1480365000,22
1480368600,19
1480372200,15
1480375800,16
1480379400,11
1480383000,18
1480386600,11
1480390200,11
1480393800,15
1480397400,12
1480401000,13
1480404600,14
1480408200,11
1480411800,13
1480415400,13
1480419000,16
1480422600,12
1480426200,13
1480429800,22
1480433400,19
1480437000,6
1480440600,4
1480444200,6
1480447800,6
1480451400,6
1480455000,6
1480458600,10
1480462200,9
1480465800,10
1480469400,15
1480473000,12
1480476600,10
1480480200,7
1480483800,10
1480487400,13
1480491000,12
1480494600,12
1480498200,14
1480501800,21
1480505400,14
1480509000,16
1480512600,10
1480516200,5
1480519800,11
1480523400,6
1480527000,5
1480530600,4
1480534200,4
1480537800,5
1480541400,4
1480545000,6
1480548600,4
1480552200,5
1480555800,5
1480559400,3
1480563000,3
1480566600,3
1480570200,3
1480573800,5
1480577400,7
1480581000,7
1480584600,6
1480588200,3
1480591800,5
1480595400,4
1480599000,8
1480602600,6
1480606200,4
1480609800,2
1480613400,1
1480617000,3
1480620600,2
1480624200,2
1480627800,1
1480631400,5
1480635000,4
1480638600,5
1480642200,6
1480645800,7
1480649400,5
1480653000,3
1480656600,3
1480660200,9
1480663800,5
1480667400,1
1480671000,3
1480674600,5
1480678200,7
1480681800,6
1480685400,7
1480689000,5
1480692600,5
1480696200,5
1480699800,4
1480703400,7
1480707000,4
1480710600,5
1480714200,4
1480717800,5
1480721400,4
1480725000,3
1480728600,4
1480732200,3
1480735800,4
1480739400,6
1480743000,6
1480746600,5
1480750200,5
1480753800,4
1480757400,3
1480761000,4
1480764600,6
1480768200,5
1480771800,7
1480775400,7
1480779000,4
1480782600,7
1480786200,9
1480789800,7
1480793400,7
1480797000,9
1480800600,10
1480804200,7
1480807800,7
1480811400,9
1480815000,10
1480818600,7
1480822200,3
1480825800,4
1480829400,5
1480833000,4
1480836600,3
1480840200,6
1480843800,7
1480847400,7
1480851000,7
1480854600,11
1480858200,9
1480861800,10
1480865400,13
1480869000,13
1480872600,10
1480876200,8
1480879800,7
1480883400,8
1480887000,7
1480890600,9
1480894200,8
1480897800,5
1480901400,7
1480905000,7
1480908600,8
1480912200,8
1480915800,8
1480919400,5
1480923000,7
1480926600,7
1480930200,3
1480933800,2
1480937400,3
1480941000,4
1480944600,10
1480948200,6
1480951800,8
1480955400,6
1480959000,10
1480962600,7
1480966200,6
1480969800,9
1480973400,6
1480977000,5
1480980600,12
1480984200,10
1480987800,12
1480991400,15
1480995000,11
1480998600,16
1481002200,17
1481005800,12
1481009400,10
1481013000,10
1481016600,8
1481020200,7
1481023800,7
1481027400,7
1481031000,6
1481034600,7
1481038200,8
1481041800,6
1481045400,5
1481049000,6
1481052600,4
1481056200,1
1481059800,2
1481063400,4
1481067000,3
1481070600,5
1481074200,8
1481077800,7
1481081400,6
1481085000,5
1481088600,5
1481092200,9
1481095800,11
1481099400,16
1481103000,19
1481106600,16
1481110200,18
1481113800,19
1481117400,19
1481121000,16
1481124600,17
1481128200,17
1481131800,15
1481135400,13
1481139000,11
1481142600,7
1481146200,6
1481149800,6
1481153400,6
1481157000,4
1481160600,5
1481164200,8
1481167800,6
1481171400,5
1481175000,4
1481178600,8
1481182200,8
1481185800,8
1481189400,6
1481193000,6
1481196600,12
1481200200,9
1481203800,10
1481207400,11
1481211000,9
1481214600,7
1481218200,7
1481221800,8
1481225400,8
1481229000,11
1481232600,7
1481236200,5
1481239800,2
1481243400,6
1481247000,5
1481250600,5
1481254200,6
1481257800,5
1481261400,5
1481265000,7
1481268600,11
1481272200,6
1481275800,8
1481279400,7
1481283000,6
1481286600,12
1481290200,10
1481293800,10
1481297400,10
1481301000,13
1481304600,11
1481308200,10
1481311800,10
1481315400,12
1481319000,9
1481322600,7
1481326200,7
1481329800,10
1481333400,8
1481337000,7
1481340600,8
1481344200,8
1481347800,10
1481351400,10
1481355000,13
1481358600,13
1481362200,10
1481365800,11
1481369400,9
1481373000,10
1481376600,13
1481380200,11
1481383800,8
1481387400,8
1481391000,7
1481394600,7
1481398200,8
1481401800,7
1481405400,8
1481409000,11
1481412600,11
1481416200,13
1481419800,12
1481423400,9
1481427000,10
1481430600,13
1481434200,9
1481437800,9
1481441400,12
1481445000,13
1481448600,13
1481452200,10
1481455800,15
1481459400,14
1481463000,18
1481466600,15
1481470200,13
1481473800,16
1481477400,15
1481481000,10
1481484600,11
1481488200,10
1481491800,11
1481495400,9
1481499000,12
1481502600,17
1481506200,9
1481509800,12
1481513400,11
1481517000,15
1481520600,10
1481524200,16
1481527800,16
1481531400,10
1481535000,6
1481538600,6
1481542200,7
1481545800,5
1481549400,6
1481553000,9
1481556600,7
1481560200,6
1481563800,5
1481567400,8
1481571000,6
1481574600,8
1481578200,8
1481581800,12
1481585400,12
1481589000,11
1481592600,10
1481596200,11
1481599800,15
1481603400,16
1481607000,17
1481610600,15
1481614200,18
1481617800,15
1481621400,17
1481625000,17
1481628600,18
1481632200,22
1481635800,24
1481639400,22
1481643000,20
1481646600,20
1481650200,21
1481653800,20
1481657400,23
1481661000,24
1481664600,18
1481668200,20
1481671800,14
1481675400,15
1481679000,14
1481682600,14
1481686200,12
1481689800,12
1481693400,11
1481697000,15
1481700600,17
1481704200,17
1481707800,17
1481711400,15
1481715000,14
1481718600,11
1481722200,15
1481725800,18
1481729400,12
1481733000,10
1481736600,11
1481740200,11
1481743800,11
1481747400,9
1481751000,10
1481754600,9
1481758200,12
1481761800,8
1481765400,9
1481769000,8
1481772600,7
1481776200,10
1481779800,16
1481783400,14
1481787000,13
1481790600,9
1481794200,6
1481797800,8
1481801400,7
1481805000,14
1481808600,12
1481812200,10
1481815800,9
1481819400,7
1481823000,4
1481826600,5
1481830200,9
1481833800,5
1481837400,4
1481841000,9
1481844600,9
1481848200,10
1481851800,7
1481855400,12
1481859000,12
1481862600,11
1481866200,11
1481869800,11
1481873400,11
1481877000,9
1481880600,10
1481884200,12
1481887800,15
1481891400,11
1481895000,14
1481898600,14
1481902200,14
1481905800,14
1481909400,10
1481913000,8
1481916600,14
1481920200,10
1481923800,14
1481927400,12
1481931000,9
1481934600,8
1481938200,8
1481941800,16
1481945400,12
